Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename:  cjee08fn05.csv,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2008",,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2008 - Final, NCJ 237912",,,,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version:  5/30/2012,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2008",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,
Counties,60501,27326,24239,25688,42.5,3657,3037,3335,13,12285,10870,11385,44.3,11384,10332,10968,42.7,Counties
Municipalities,80406,34382,27442,30495,37.9,28217,21520,24539,80.5,3817,3584,3617,11.9,2348,2338,2339,7.7,Municipalities
,,,,,,,,,,,,,,,,,,
Rhode Island,52004,6650,6380,6471,12.4,3564,3349,3419,52.8,1374,1320,1341,20.7,1712,1711,1711,26.4,Rhode Island
State,20426,3264,3242,3256,15.9,308,305,306,9.4,1244,1226,1239,38.1,1712,1711,1711,52.5,State
"Local, total",31578,3386,3138,3215,10.2,3256,3044,3113,96.8,130,94,102,3.2,0,0,0,0,"Local, total"
Municipalities,29377,3386,3138,3215,10.9,3256,3044,3113,96.8,130,94,102,3.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
South Carolina,261049,29658,28185,28801,11,14076,13293,13543,47,4734,4071,4427,15.4,10848,10821,10831,37.6,South Carolina
State,77958,10851,10839,10843,13.9,2058,2056,2057,19,735,726,729,6.7,8058,8057,8057,74.3,State
"Local, total",183091,18807,17346,17958,9.8,12018,11237,11486,64,3999,3345,3698,20.6,2790,2764,2774,15.4,"Local, total"
Counties,31817,12262,11296,11665,36.7,6053,5614,5734,49.2,3454,2952,3192,27.4,2755,2730,2739,23.5,Counties
Municipalities,20874,6545,6050,6293,30.1,5965,5623,5752,91.4,545,393,506,8,35,34,35,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
South Dakota,43439,4745,4201,4386,10.1,2159,1896,1975,45,1008,849,910,20.7,1578,1456,1501,34.2,South Dakota
State,13410,1869,1729,1791,13.4,308,299,303,16.9,644,550,588,32.8,917,880,900,50.3,State
"Local, total",30029,2876,2472,2595,8.6,1851,1597,1672,64.4,364,299,322,12.4,661,576,601,23.2,"Local, total"
Counties,3917,1683,1416,1522,38.9,706,574,632,41.5,334,284,307,20.2,643,558,583,38.3,Counties
Municipalities,5978,1193,1056,1073,17.9,1145,1023,1040,96.9,30,15,15,1.4,18,18,18,1.7,Municipalities
,,,,,,,,,,,,,,,,,,
Tennessee,328347,41965,39248,40233,12.3,20840,19218,19856,49.4,7717,6893,7124,17.7,13408,13137,13253,32.9,Tennessee
State,86099,12118,12034,12091,14,2252,2213,2250,18.6,2486,2477,2480,20.5,7380,7344,7361,60.9,State
"Local, total",242248,29847,27214,28142,11.6,18588,17005,17606,62.6,5231,4416,4644,16.5,6028,5793,5892,20.9,"Local, total"
Counties,143035,14999,14173,14536,10.2,6367,5975,6153,42.3,3521,3299,3392,23.3,5111,4899,4991,34.3,Counties
Municipalities,89597,14848,13041,13606,15.2,12221,11030,11453,84.2,1710,1117,1252,9.2,917,894,901,6.6,Municipalities
,,,,,,,,,,,,,,,,,,
Texas,1370719,170277,162451,165398,12.1,68650,64962,66381,40.1,28204,25716,26487,16,73423,71773,72530,43.9,Texas
State,290022,54835,54043,54443,18.8,4339,4272,4302,7.9,5550,5460,5519,10.1,44946,44311,44622,82,State
"Local, total",1080697,115442,108408,110955,10.3,64311,60690,62079,55.9,22654,20256,20968,18.9,28477,27462,27908,25.2,"Local, total"
Counties,137765,62853,60237,61368,44.5,16726,16360,16538,26.9,17650,16415,16922,27.6,28477,27462,27908,45.5,Counties
Municipalities,178487,52589,48171,49587,27.8,47585,44330,45541,91.8,5004,3841,4046,8.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Utah,134939,15997,13663,14507,10.8,7088,5623,6167,42.5,3326,2795,2981,20.5,5583,5245,5359,36.9,Utah
State,50879,6050,5576,5761,11.3,912,818,862,15,1736,1593,1648,28.6,3402,3165,3251,56.4,State
"Local, total",84060,9947,8087,8746,10.4,6176,4805,5305,60.7,1590,1202,1333,15.2,2181,2080,2108,24.1,"Local, total"
Counties,11516,4924,4338,4555,39.6,1797,1495,1615,35.5,946,763,832,18.3,2181,2080,2108,46.3,Counties
Municipalities,15962,5023,3749,4191,26.3,4379,3310,3690,88,644,439,501,12,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Vermont,39871,3555,3265,3370,8.5,1671,1419,1505,44.7,694,661,676,20.1,1190,1185,1189,35.3,Vermont
State,15103,2490,2389,2433,16.1,663,591,618,25.4,637,613,626,25.7,1190,1185,1189,48.9,State
"Local, total",24768,1065,876,937,3.8,1008,828,887,94.7,57,48,50,5.3,0,0,0,0,"Local, total"
Counties,92,74,64,67,72.8,26,25,26,38.8,48,39,41,61.2,0,0,0,0,Counties
Municipalities,4812,991,812,870,18.1,982,803,861,99,9,9,9,1,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Virginia,450997,57645,54119,55715,12.4,24927,23257,24004,43.1,9701,8724,9150,16.4,23017,22138,22561,40.5,Virginia
State,127645,22516,21508,21934,17.2,3298,3059,3184,14.5,3979,3601,3707,16.9,15239,14848,15043,68.6,State
"Local, total",323352,35129,32611,33781,10.4,21629,20198,20820,61.6,5722,5123,5443,16.1,7778,7290,7518,22.3,"Local, total"
Counties,191246,17467,16071,16716,8.7,9922,9172,9501,56.8,3199,2825,3035,18.2,4346,4074,4180,25,Counties
Municipalities,117460,17662,16540,17065,14.5,11707,11026,11319,66.3,2523,2298,2408,14.1,3432,3216,3338,19.6,Municipalities
,,,,,,,,,,,,,,,,,,
Washington,349729,39035,36994,37955,10.9,15695,15086,15406,40.6,8852,8073,8369,22,14488,13835,14180,37.4,Washington
State,122541,13850,13150,13511,11,2083,2034,2047,15.2,2061,1892,1967,14.6,9706,9224,9497,70.3,State
"Local, total",227188,25185,23844,24444,10.8,13612,13052,13359,54.7,6791,6181,6402,26.2,4782,4611,4683,19.2,"Local, total"
Counties,40049,14636,13969,14227,35.5,4670,4465,4542,31.9,5420,5114,5232,36.8,4546,4390,4453,31.3,Counties
Municipalities,43382,10549,9875,10217,23.6,8942,8587,8817,86.3,1371,1067,1170,11.5,236,221,230,2.3,Municipalities
,,,,,,,,,,,,,,,,,,
West Virginia,101681,10715,9463,9721,9.6,4546,3627,3804,39.1,2580,2274,2342,24.1,3589,3562,3575,36.8,West Virginia
State,39065,5803,5757,5781,14.8,1004,984,990,17.1,1418,1397,1412,24.4,3381,3376,3379,58.5,State
"Local, total",62616,4912,3706,3940,6.3,3542,2643,2814,71.4,1162,877,930,23.6,208,186,196,5,"Local, total"
Counties,7592,2375,2155,2251,29.6,1253,1155,1192,53,914,814,863,38.3,208,186,196,8.7,Counties
Municipalities,9616,2537,1551,1689,17.6,2289,1488,1622,96,248,63,67,4,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Wisconsin,283351,40779,34032,36346,12.8,18713,15394,16313,44.9,7069,5207,5671,15.6,14997,13431,14362,39.5,Wisconsin
State,69019,14150,12622,13547,19.6,922,906,912,6.7,2261,1957,2132,15.7,10967,9759,10503,77.5,State
"Local, total",214332,26629,21410,22799,10.6,17791,14488,15401,67.6,4808,3250,3539,15.5,4030,3672,3859,16.9,"Local, total"
Counties,43689,12644,11477,11986,27.4,5421,4955,5143,42.9,3323,2924,3079,25.7,3900,3598,3764,31.4,Counties
Municipalities,38931,13985,9933,10813,27.8,12370,9533,10258,94.9,1485,326,460,4.3,130,74,95,0.9,Municipalities
,,,,,,,,,,,,,,,,,,
Wyoming,49400,4845,4536,4642,9.4,2153,2042,2069,44.6,1052,921,968,20.9,1640,1573,1605,34.6,Wyoming
State,13016,1822,1778,1799,13.8,288,288,288,16,558,519,538,29.9,976,971,973,54.1,State
"Local, total",36384,3023,2758,2843,7.8,1865,1754,1781,62.6,494,402,430,15.1,664,602,632,22.2,"Local, total"
Counties,7206,1784,1662,1718,23.8,770,735,745,43.4,358,325,345,20.1,656,602,628,36.6,Counties
Municipalities,4316,1239,1096,1125,26.1,1095,1019,1036,92.1,136,77,85,7.6,8,0,4,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Notes:  Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,
"a/ Total full-time equivalent employment includes employment of states and all types of local governments including independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,,
