Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0205.csv,,,,,,,,,,,,,,,,,,,,,,
"table #:  5 Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2002",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2002, NCJ 209179",,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
authors:  Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  6/29/2005,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2002",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
Municipalities,"17,005","4,731","4,221","4,456",26.2,,"3,819","3,419","3,620",81.2,,369,259,293,6.6,,543,543,543,12.2,,Municipalities

New York,"1,212,390","192,752","172,168","182,248",15,,"95,591","81,261","88,793",48.7,,"34,770","29,936","31,668",17.4,,"62,391","60,971","61,787",33.9,,New York
State,"252,512","61,307","60,225","60,964",24.1,,"6,243","6,081","6,159",10.1,,"19,628","19,065","19,491",32,,"35,436","35,079","35,314",57.9,,State
"Local, total","959,878","131,445","111,943","121,284",12.6,,"89,348","75,180","82,634",68.1,,"15,142","10,871","12,177",10,,"26,955","25,892","26,473",21.8,,"Local, total"
Counties,"117,194","30,362","27,402","28,790",24.6,,"14,031","12,422","13,085",45.4,,"4,366","3,796","4,104",14.3,,"11,965","11,184","11,601",40.3,,Counties
Municipalities,"529,847","101,083","84,541","92,494",17.5,,"75,317","62,758","69,549",75.2,,"10,776","7,075","8,073",8.7,,"14,990","14,708","14,872",16.1,,Municipalities
North Carolina,"473,553","55,988","53,382","54,456",11.5,,"24,384","22,918","23,396",43,,"6,882","6,567","6,670",12.2,,"24,722","23,897","24,390",44.8,,North Carolina
State,"134,898","29,917","29,061","29,533",21.9,,"3,379","3,371","3,375",11.4,,"6,013","5,792","5,852",19.8,,"20,525","19,898","20,306",68.8,,State
"Local, total","338,655","26,071","24,321","24,923",7.4,,"21,005","19,547","20,021",80.3,,869,775,818,3.3,,"4,197","3,999","4,084",16.4,,"Local, total"
Counties,"278,149","12,450","11,643","11,966",4.3,,"7,486","6,964","7,161",59.8,,769,682,723,6,,"4,195","3,997","4,082",34.1,,Counties
Municipalities,"49,524","13,621","12,678","12,957",26.2,,"13,519","12,583","12,860",99.3,,100,93,95,0.7,,2,2,2,0,,Municipalities
North Dakota,"39,504","3,359","2,925","3,038",7.7,,"1,488","1,387","1,417",46.6,,960,750,781,25.7,,911,788,840,27.6,,North Dakota
State,"16,625","1,381","1,306","1,331",8,,225,222,223,16.8,,534,497,505,37.9,,622,587,603,45.3,,State
"Local, total","22,879","1,978","1,619","1,707",7.5,,"1,263","1,165","1,194",69.9,,426,253,276,16.2,,289,201,237,13.9,,"Local, total"
Counties,"3,717","1,077",898,965,26,,513,475,489,50.7,,279,224,241,25,,285,199,235,24.4,,Counties
Municipalities,"3,371",901,721,742,22,,750,690,705,95,,147,29,35,4.7,,4,2,2,0.3,,Municipalities
Ohio,"617,254","84,991","76,327","79,699",12.9,,"37,233","31,724","33,635",42.2,,"21,761","19,217","20,358",25.5,,"25,997","25,386","25,706",32.3,,Ohio
State,"138,086","22,821","22,302","22,686",16.4,,"2,675","2,661","2,672",11.8,,"2,936","2,498","2,829",12.5,,"17,210","17,143","17,185",75.8,,State
"Local, total","479,168","62,170","54,025","57,013",11.9,,"34,558","29,063","30,963",54.3,,"18,825","16,719","17,529",30.7,,"8,787","8,243","8,521",14.9,,"Local, total"
Counties,"100,306","29,604","27,792","28,567",28.5,,"7,952","7,453","7,658",26.8,,"13,480","12,582","12,959",45.4,,"8,172","7,757","7,950",27.8,,Counties
Municipalities,"95,580","32,566","26,233","28,446",29.8,,"26,606","21,610","23,305",81.9,,"5,345","4,137","4,570",16.1,,615,486,571,2,,Municipalities
Oklahoma,"205,573","23,045","21,120","21,819",10.6,,"11,231","10,288","10,625",48.7,,"4,473","3,873","4,066",18.6,,"7,341","6,959","7,128",32.7,,Oklahoma
State,"66,341","10,911","10,336","10,585",16,,"1,905","1,812","1,852",17.5,,"2,810","2,597","2,691",25.4,,"6,196","5,927","6,042",57.1,,State
"Local, total","139,232","12,134","10,784","11,234",8.1,,"9,326","8,476","8,773",78.1,,"1,663","1,276","1,375",12.2,,"1,145","1,032","1,086",9.7,,"Local, total"
Counties,"18,272","4,194","3,754","3,933",21.5,,"2,175","1,934","2,030",51.6,,925,836,865,22,,"1,094",984,"1,038",26.4,,Counties
Municipalities,"31,259","7,940","7,030","7,301",23.4,,"7,151","6,542","6,743",92.4,,738,440,510,7,,51,48,48,0.7,,Municipalities
Oregon,"183,390","23,747","21,605","22,530",12.3,,"9,281","8,678","8,870",39.4,,"5,217","4,392","4,802",21.3,,"9,249","8,535","8,858",39.3,,Oregon
State,"55,292","9,999","9,211","9,657",17.5,,"1,788","1,647","1,677",17.4,,"3,266","2,813","3,097",32.1,,"4,945","4,751","4,883",50.6,,State
"Local, total","128,098","13,748","12,394","12,873",10,,"7,493","7,031","7,193",55.9,,"1,951","1,579","1,705",13.2,,"4,304","3,784","3,975",30.9,,"Local, total"
Counties,"21,978","8,383","7,443","7,796",35.5,,"2,526","2,342","2,411",30.9,,"1,553","1,317","1,410",18.1,,"4,304","3,784","3,975",51,,Counties
Municipalities,"19,526","5,365","4,951","5,077",26,,"4,967","4,689","4,782",94.2,,398,262,295,5.8,,0,0,0,0,,Municipalities
Pennsylvania,"565,393","84,361","73,195","77,954",13.8,,"36,812","28,590","31,736",40.7,,"18,532","16,963","17,615",22.6,,"29,017","27,642","28,603",36.7,,Pennsylvania
State,"157,088","24,980","24,473","24,945",15.9,,"5,640","5,637","5,640",22.6,,"2,863","2,813","2,860",11.5,,"16,477","16,023","16,445",65.9,,State
"Local, total","408,305","59,381","48,722","53,009",13,,"31,172","22,953","26,096",49.2,,"15,669","14,150","14,755",27.8,,"12,540","11,619","12,158",22.9,,"Local, total"
Counties,"60,696","25,047","22,211","23,565",38.8,,"2,855","2,322","2,560",10.9,,"11,931","10,531","11,118",47.2,,"10,261","9,358","9,887",42,,Counties
Municipalities,"74,954","34,334","26,511","29,444",39.3,,"28,317","20,631","23,536",79.9,,"3,738","3,619","3,637",12.4,,"2,279","2,261","2,271",7.7,,Municipalities
Rhode Island,"52,698","6,715","6,237","6,420",12.2,,"3,620","3,239","3,392",52.8,,"1,318","1,226","1,255",19.5,,"1,777","1,772","1,773",27.6,,Rhode Island
State,"20,085","3,261","3,209","3,226",16.1,,304,299,301,9.3,,"1,180","1,138","1,152",35.7,,"1,777","1,772","1,773",55,,State
"Local, total","32,613","3,454","3,028","3,194",9.8,,"3,316","2,940","3,091",96.8,,138,88,103,3.2,,0,0,0,0,,"Local, total"
Municipalities,"29,810","3,454","3,028","3,194",10.7,,"3,316","2,940","3,091",96.8,,138,88,103,3.2,,0,0,0,0,,Municipalities
South Carolina,"240,876","28,861","27,514","28,065",11.7,,"13,882","13,075","13,384",47.7,,"4,224","3,737","3,945",14.1,,"10,755","10,702","10,736",38.3,,South Carolina
State,"78,362","11,990","11,967","11,976",15.3,,"3,123","3,111","3,115",26,,686,679,682,5.7,,"8,181","8,177","8,179",68.3,,State
"Local, total","162,514","16,871","15,547","16,089",9.9,,"10,759","9,964","10,269",63.8,,"3,538","3,058","3,263",20.3,,"2,574","2,525","2,557",15.9,,"Local, total"
Counties,"28,111","10,853","10,005","10,406",37,,"5,278","4,787","4,992",48,,"3,045","2,736","2,901",27.9,,"2,530","2,482","2,513",24.1,,Counties
Municipalities,"18,855","6,018","5,542","5,683",30.1,,"5,481","5,177","5,277",92.9,,493,322,362,6.4,,44,43,44,0.8,,Municipalities
South Dakota,"42,943","4,167","3,605","3,804",8.9,,"1,935","1,674","1,738",45.7,,863,719,779,20.5,,"1,369","1,212","1,287",33.8,,South Dakota
State,"13,136","1,679","1,540","1,613",12.3,,278,275,277,17.2,,576,492,532,33,,825,773,804,49.8,,State
"Local, total","29,807","2,488","2,065","2,191",7.4,,"1,657","1,399","1,461",66.7,,287,227,247,11.3,,544,439,483,22,,"Local, total"
Counties,"3,688","1,418","1,171","1,259",34.1,,634,536,560,44.5,,257,208,228,18.1,,527,427,471,37.4,,Counties
Municipalities,"5,616","1,070",894,932,16.6,,"1,023",863,901,96.7,,30,19,19,2,,17,12,12,1.3,,Municipalities
Tennessee,"306,367","37,854","35,474","36,453",11.9,,"18,530","16,897","17,557",48.2,,"6,411","5,965","6,131",16.8,,"12,913","12,612","12,765",35,,Tennessee
State,"83,862","10,788","10,712","10,749",12.8,,"1,956","1,951","1,953",18.2,,"2,001","1,990","1,994",18.6,,"6,831","6,771","6,802",63.3,,State
"Local, total","222,505","27,066","24,762","25,704",11.6,,"16,574","14,946","15,604",60.7,,"4,410","3,975","4,137",16.1,,"6,082","5,841","5,963",23.2,,"Local, total"
Counties,"127,079","13,264","12,520","12,850",10.1,,"4,764","4,412","4,566",35.5,,"3,115","2,938","3,008",23.4,,"5,385","5,170","5,276",41.1,,Counties
Municipalities,"86,731","13,802","12,242","12,854",14.8,,"11,810","10,534","11,038",85.9,,"1,295","1,037","1,129",8.8,,697,671,687,5.3,,Municipalities
Texas,"1,251,912","159,737","152,467","155,437",12.4,,"62,941","59,326","60,559",39,,"25,204","23,205","24,035",15.5,,"71,592","69,936","70,843",45.6,,Texas
State,"269,674","54,788","54,070","54,457",20.2,,"3,743","3,715","3,728",6.8,,"5,246","5,162","5,217",9.6,,"45,799","45,193","45,512",83.6,,State
"Local, total","982,238","104,949","98,397","100,980",10.3,,"59,198","55,611","56,831",56.3,,"19,958","18,043","18,818",18.6,,"25,793","24,743","25,331",25.1,,"Local, total"
Counties,"120,885","56,095","53,342","54,697",45.2,,"14,900","14,270","14,562",26.6,,"15,402","14,329","14,804",27.1,,"25,793","24,743","25,331",46.3,,Counties
Municipalities,"172,846","48,854","45,055","46,283",26.8,,"44,298","41,341","42,269",91.3,,"4,556","3,714","4,014",8.7,,0,0,0,0,,Municipalities
Utah,"123,366","14,494","12,203","13,095",10.6,,"6,358","5,010","5,512",42.1,,"3,039","2,468","2,696",20.6,,"5,097","4,725","4,887",37.3,,Utah
State,"49,092","5,986","5,299","5,586",11.4,,920,760,820,14.7,,"1,704","1,476","1,580",28.3,,"3,362","3,063","3,186",57,,State
"Local, total","74,274","8,508","6,904","7,509",10.1,,"5,438","4,250","4,692",62.5,,"1,335",992,"1,116",14.9,,"1,735","1,662","1,701",22.7,,"Local, total"
Counties,"10,516","4,206","3,738","3,971",37.8,,"1,655","1,389","1,522",38.3,,817,688,749,18.9,,"1,734","1,661","1,700",42.8,,Counties
Municipalities,"13,736","4,302","3,166","3,538",25.8,,"3,783","2,861","3,170",89.6,,518,304,367,10.4,,1,1,1,0,,Municipalities
Vermont,"38,056","2,941","2,668","2,784",7.3,,"1,307","1,124","1,180",42.4,,660,588,630,22.6,,974,956,974,35,,Vermont
State,"13,721","1,942","1,871","1,924",14,,369,369,369,19.2,,599,546,581,30.2,,974,956,974,50.6,,State
"Local, total","24,335",999,797,860,3.5,,938,755,811,94.3,,61,42,49,5.7,,0,0,0,0,,"Local, total"
Counties,85,81,56,67,78.8,,32,23,27,40.3,,49,33,40,59.7,,0,0,0,0,,Counties
Municipalities,"4,217",918,741,793,18.8,,906,732,784,98.9,,12,9,9,1.1,,0,0,0,0,,Municipalities
Virginia,"411,872","50,768","47,654","49,031",11.9,,"20,160","18,795","19,403",39.6,,"7,917","7,048","7,371",15,,"22,691","21,811","22,257",45.4,,Virginia
State,"120,793","21,939","20,936","21,322",17.7,,"2,705","2,559","2,602",12.2,,"3,848","3,387","3,518",16.5,,"15,386","14,990","15,202",71.3,,State
"Local, total","291,079","28,829","26,718","27,709",9.5,,"17,455","16,236","16,801",60.6,,"4,069","3,661","3,853",13.9,,"7,305","6,821","7,055",25.5,,"Local, total"
Counties,"165,744","14,521","13,388","13,931",8.4,,"8,322","7,704","8,006",57.5,,"2,583","2,284","2,429",17.4,,"3,616","3,400","3,496",25.1,,Counties
Municipalities,"110,579","14,308","13,330","13,778",12.5,,"9,133","8,532","8,795",63.8,,"1,486","1,377","1,424",10.3,,"3,689","3,421","3,559",25.8,,Municipalities
Washington,"320,082","36,681","34,027","35,146",11,,"14,538","13,873","14,110",40.1,,"8,315","7,377","7,787",22.2,,"13,828","12,777","13,249",37.7,,Washington
State,"114,329","13,407","12,521","12,937",11.3,,"2,252","2,252","2,252",17.4,,"1,992","1,800","1,899",14.7,,"9,163","8,469","8,786",67.9,,State
"Local, total","205,753","23,274","21,506","22,209",10.8,,"12,286","11,621","11,858",53.4,,"6,323","5,577","5,888",26.5,,"4,665","4,308","4,463",20.1,,"Local, total"
Counties,"36,573","13,727","12,765","13,177",36,,"4,303","4,137","4,208",31.9,,"5,011","4,547","4,744",36,,"4,413","4,081","4,225",32.1,,Counties
Municipalities,"38,682","9,547","8,741","9,032",23.3,,"7,983","7,484","7,650",84.7,,"1,312","1,030","1,144",12.7,,252,227,238,2.6,,Municipalities
West Virginia,"93,276","6,956","6,236","6,500",7,,"3,883","3,454","3,615",55.6,,"2,297","2,043","2,127",32.7,,776,739,758,11.7,,West Virginia
State,"34,279","2,662","2,619","2,645",7.7,,963,952,956,36.1,,"1,220","1,197","1,212",45.8,,479,470,477,18,,State
"Local, total","58,997","4,294","3,617","3,855",6.5,,"2,920","2,502","2,659",69,,"1,077",846,915,23.7,,297,269,281,7.3,,"Local, total"
Counties,"7,112","2,189","2,033","2,108",29.6,,"1,016",970,993,47.1,,877,794,834,39.6,,296,269,281,13.3,,Counties
Municipalities,"8,750","2,105","1,584","1,747",20,,"1,904","1,532","1,666",95.4,,200,52,81,4.6,,1,0,0,0,,Municipalities
Wisconsin,"289,740","37,802","32,457","34,490",11.9,,"18,317","15,298","16,172",46.9,,"6,498","5,382","5,826",16.9,,"12,987","11,777","12,492",36.2,,Wisconsin
State,"70,873","12,536","11,227","12,004",16.9,,935,906,921,7.7,,"2,188","1,846","2,041",17,,"9,413","8,475","9,042",75.3,,State
"Local, total","218,867","25,266","21,230","22,486",10.3,,"17,382","14,392","15,251",67.8,,"4,310","3,536","3,785",16.8,,"3,574","3,302","3,450",15.3,,"Local, total"
Counties,"45,475","12,239","11,040","11,551",25.4,,"5,062","4,571","4,758",41.2,,"3,603","3,167","3,343",28.9,,"3,574","3,302","3,450",29.9,,Counties
Municipalities,"40,655","13,027","10,190","10,935",26.9,,"12,320","9,821","10,493",96,,707,369,442,4,,0,0,0,0,,Municipalities
Wyoming,"41,377","4,174","3,875","3,962",9.6,,"1,924","1,776","1,822",46,,837,716,745,18.8,,"1,413","1,383","1,395",35.2,,Wyoming
State,"11,235","1,639","1,601","1,614",14.4,,274,274,274,17,,407,374,384,23.8,,958,953,956,59.2,,State
"Local, total","30,142","2,535","2,274","2,348",7.8,,"1,650","1,502","1,548",65.9,,430,342,361,15.4,,455,430,439,18.7,,"Local, total"
Counties,"5,673","1,392","1,288","1,318",23.2,,632,584,593,45,,305,274,286,21.7,,455,430,439,33.3,,Counties
Municipalities,"3,719","1,143",986,"1,030",27.7,,"1,018",918,955,92.7,,125,68,75,7.3,,0,0,0,0,,Municipalities

Notes:  Local government data are estimates subject to variability.
"a/ Total full-time equivalent employment includes employment of States and all types of local governments including independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines."
b/ Justice system employment of independent school districts and special school districts (primarily for special police) are not available.
