Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee14fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2014",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2014 - Final (Update) NCJ 254124",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2014",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
New York - Municipalities,"693,201","87,348","80,232","83,664",12.1,"66,778","61,312","63,856",76.3,"8,116","6,548","7,339",8.8,"12,454","12,372","12,469",14.9
North Carolina - Total,"550,173","61,656","58,708","59,761",10.9,"28,306","26,423","27,194",45.5,"7,793","7,131","7,230",12.1,"25,557","25,154","25,337",42.4
North Carolina - State,"145,495","29,438","28,971","28,992",19.9,"2,869","2,869","2,869",9.9,"6,739","6,272","6,293",21.7,"19,830","19,830","19,830",68.4
"North Carolina - Local, total","404,678","32,218","29,737","30,769",7.6,"25,437","23,554","24,325",79.1,"1,054",859,937,3,"5,727","5,324","5,507",17.9
North Carolina - Counties,"308,845","16,818","15,195","15,851",5.1,"10,499","9,422","9,834",62,894,717,787,5,"5,425","5,056","5,230",33
North Carolina - Municipalities,"57,648","15,400","14,542","14,918",25.9,"14,938","14,132","14,491",97.1,160,142,150,1,302,268,277,1.9
North Dakota - Total,"45,807","4,306","3,869","3,995",8.7,"1,743","1,666","1,684",42.2,"1,040",860,897,22.5,"1,523","1,343","1,414",35.4
North Dakota - State,"18,752","1,781","1,631","1,684",9,212,205,207,12.3,636,591,602,35.7,933,835,875,52
"North Dakota - Local, total","27,055","2,525","2,238","2,311",8.5,"1,531","1,461","1,477",63.9,404,269,295,12.8,590,508,539,23.3
North Dakota - Counties,"4,224","1,414","1,240","1,293",30.6,554,505,513,39.7,270,227,241,18.6,590,508,539,41.7
North Dakota - Municipalities,"4,640","1,111",998,"1,018",21.9,977,956,964,94.7,134,42,54,5.3,0,0,0,0
Ohio - Total,"579,027","76,773","68,333","71,808",12.4,"33,694","28,833","30,805",42.9,"21,295","18,410","19,553",27.2,"21,784","21,090","21,450",29.9
Ohio - State,"136,355","19,074","18,511","18,763",13.8,"2,608","2,599","2,607",13.9,"3,349","2,816","3,043",16.2,"13,117","13,096","13,113",69.9
"Ohio - Local, total","442,672","57,699","49,822","53,045",12,"31,086","26,234","28,198",53.2,"17,946","15,594","16,510",31.1,"8,667","7,994","8,337",15.7
Ohio - Counties,"89,759","30,208","27,244","28,534",31.8,"8,929","7,843","8,303",29.1,"13,259","11,910","12,462",43.7,"8,020","7,491","7,769",27.2
Ohio - Municipalities,"81,413","26,046","21,654","23,504",28.9,"20,722","17,473","18,894",80.4,"4,677","3,678","4,042",17.2,647,503,568,2.4
Oklahoma - Total,"216,398","23,075","21,364","21,947",10.1,"11,633","10,671","11,027",50.2,"4,797","4,260","4,400",20,"6,645","6,433","6,520",29.7
Oklahoma - State,"67,729","9,512","9,277","9,370",13.8,"1,916","1,866","1,886",20.1,"2,927","2,806","2,856",30.5,"4,669","4,605","4,628",49.4
"Oklahoma - Local, total","148,669","13,563","12,087","12,577",8.5,"9,717","8,805","9,141",72.7,"1,870","1,454","1,544",12.3,"1,976","1,828","1,892",15
Oklahoma - Counties,"16,654","5,589","4,853","5,058",30.4,"2,581","2,141","2,251",44.5,"1,170","1,008","1,045",20.7,"1,838","1,704","1,762",34.8
Oklahoma - Municipalities,"34,311","7,975","7,234","7,519",21.9,"7,137","6,664","6,890",91.6,700,446,499,6.6,138,124,130,1.7
Oregon - Total,"190,229","22,727","21,100","21,760",11.4,"9,125","8,527","8,759",40.3,"4,885","4,394","4,614",21.2,"8,717","8,179","8,387",38.5
Oregon - State,"66,966","9,707","9,263","9,448",14.1,"1,468","1,331","1,360",14.4,"3,094","2,920","3,020",32,"5,145","5,012","5,068",53.6
"Oregon - Local, total","123,263","13,020","11,837","12,312",10,"7,657","7,196","7,399",60.1,"1,791","1,474","1,594",12.9,"3,572","3,167","3,319",27
Oregon - Counties,"19,602","7,642","6,754","7,123",36.3,"2,714","2,445","2,574",36.1,"1,376","1,162","1,250",17.5,"3,552","3,147","3,299",46.3
Oregon - Municipalities,"21,438","5,378","5,083","5,189",24.2,"4,943","4,751","4,825",93,415,312,344,6.6,20,20,20,0.4
Pennsylvania - Total,"569,998","88,462","76,889","81,446",14.3,"37,458","28,952","32,134",39.5,"18,640","17,185","17,741",21.8,"32,364","30,752","31,571",38.8
Pennsylvania - State,"162,248","28,702","27,649","28,102",17.3,"6,898","6,566","6,671",23.7,"3,050","3,050","3,050",10.9,"18,754","18,033","18,381",65.4
"Pennsylvania - Local, total","407,750","59,760","49,240","53,344",13.1,"30,560","22,386","25,463",47.7,"15,590","14,135","14,691",27.5,"13,610","12,719","13,190",24.7
Pennsylvania - Counties,"59,163","27,031","23,002","24,376",41.2,"4,730","3,002","3,419",14,"11,802","10,386","10,903",44.7,"10,499","9,614","10,054",41.2
Pennsylvania - Municipalities,"64,067","28,496","23,083","25,345",39.6,"21,598","16,230","18,422",72.7,"3,787","3,748","3,787",14.9,"3,111","3,105","3,136",12.4
Rhode Island - Total,"47,913","5,889","5,629","5,704",11.9,"3,046","2,856","2,912",51.1,"1,317","1,253","1,271",22.3,"1,526","1,520","1,521",26.7
Rhode Island - State,"18,659","3,058","3,034","3,046",16.3,345,345,345,11.3,"1,187","1,169","1,180",38.7,"1,526","1,520","1,521",49.9
"Rhode Island - Local, total","29,254","2,831","2,595","2,658",9.1,"2,701","2,511","2,567",96.6,130,84,91,3.4,0,0,0,0
Rhode Island - Municipalities,"15,019","1,686","1,585","1,616",10.8,"1,607","1,515","1,545",95.6,79,70,71,4.4,0,0,0,0
South Carolina - Total,"257,027","31,157","29,476","30,192",11.7,"14,398","13,472","13,854",45.9,"5,049","4,451","4,705",15.6,"11,710","11,553","11,633",38.5
South Carolina - State,"78,707","11,171","11,067","11,118",14.1,"2,060","2,055","2,058",18.5,843,829,836,7.5,"8,268","8,183","8,224",74
"South Carolina - Local, total","178,320","19,986","18,409","19,074",10.7,"12,338","11,417","11,796",61.8,"4,206","3,622","3,869",20.3,"3,442","3,370","3,409",17.9
South Carolina - Counties,"33,300","13,833","12,677","13,186",39.6,"6,741","6,149","6,405",48.6,"3,699","3,207","3,422",26,"3,393","3,321","3,359",25.5
South Carolina - Municipalities,"21,696","6,153","5,732","5,888",27.1,"5,597","5,268","5,391",91.6,507,415,447,7.6,49,49,50,0.8
South Dakota - Total,"45,649","4,718","4,190","4,390",9.6,"2,066","1,838","1,915",43.6,"1,033",878,946,21.5,"1,619","1,474","1,529",34.8
South Dakota - State,"14,588","1,914","1,776","1,843",12.6,348,329,337,18.3,682,590,635,34.5,884,857,871,47.3
"South Dakota - Local, total","31,061","2,804","2,414","2,547",8.2,"1,718","1,509","1,578",62,351,288,311,12.2,735,617,658,25.8
South Dakota - Counties,"3,547","1,550","1,293","1,385",39,527,439,469,33.9,315,261,282,20.4,708,593,634,45.8
South Dakota - Municipalities,"6,799","1,254","1,121","1,162",17.1,"1,191","1,070","1,109",95.4,36,27,29,2.5,27,24,24,2.1
Tennessee - Total,"322,047","42,117","39,166","40,425",12.6,"21,683","19,907","20,686",51.2,"7,804","7,019","7,320",18.1,"12,630","12,240","12,419",30.7
Tennessee - State,"79,258","11,312","11,238","11,273",14.2,"1,767","1,752","1,761",15.6,"2,523","2,483","2,496",22.1,"7,022","7,003","7,016",62.2
"Tennessee - Local, total","242,789","30,805","27,928","29,152",12,"19,916","18,155","18,925",64.9,"5,281","4,536","4,824",16.5,"5,608","5,237","5,403",18.5
Tennessee - Counties,"152,019","15,791","14,260","14,825",9.8,"7,581","6,905","7,110",48,"4,079","3,468","3,714",25.1,"4,131","3,887","4,001",27
Tennessee - Municipalities,"80,724","15,014","13,668","14,327",17.7,"12,335","11,250","11,815",82.5,"1,202","1,068","1,110",7.7,"1,477","1,350","1,402",9.8
Texas - Total,"1,432,184","175,016","167,301","170,337",11.9,"76,354","72,977","74,192",43.6,"29,654","26,858","27,912",16.4,"69,008","67,466","68,233",40.1
Texas - State,"302,479","52,830","51,878","52,429",17.3,"6,836","6,762","6,797",13,"5,798","5,523","5,733",10.9,"40,196","39,593","39,899",76.1
"Texas - Local, total","1,129,705","122,186","115,423","117,908",10.4,"69,518","66,215","67,395",57.2,"23,856","21,335","22,179",18.8,"28,812","27,873","28,334",24
Texas - Counties,"154,008","69,599","65,415","66,968",43.5,"21,305","20,227","20,624",30.8,"19,482","17,315","18,010",26.9,"28,812","27,873","28,334",42.3
Texas - Municipalities,"187,325","52,587","50,008","50,940",27.2,"48,213","45,988","46,771",91.8,"4,374","4,020","4,169",8.2,0,0,0,0
Utah - Total,"140,385","16,040","13,608","14,409",10.3,"7,331","5,581","6,081",42.2,"3,282","2,792","3,011",20.9,"5,427","5,235","5,317",36.9
Utah - State,"54,038","5,748","5,390","5,550",10.3,941,830,868,15.6,"1,611","1,467","1,544",27.8,"3,196","3,093","3,138",56.5
"Utah - Local, total","86,347","10,292","8,218","8,859",10.3,"6,390","4,751","5,213",58.8,"1,671","1,325","1,467",16.6,"2,231","2,142","2,179",24.6
Utah - Counties,"14,258","5,119","4,403","4,630",32.5,"1,905","1,425","1,545",33.4,983,836,906,19.6,"2,231","2,142","2,179",47.1
Utah - Municipalities,"15,929","5,122","3,788","4,194",26.3,"4,434","3,299","3,633",86.6,688,489,561,13.4,0,0,0,0
Vermont - Total,"39,926","3,626","3,271","3,375",8.5,"1,780","1,476","1,567",46.4,743,704,713,21.1,"1,103","1,091","1,095",32.4
Vermont - State,"14,483","2,507","2,404","2,424",16.7,710,638,652,26.9,703,681,685,28.3,"1,094","1,085","1,087",44.8
"Vermont - Local, total","25,443","1,119",867,951,3.7,"1,070",838,915,96.2,40,23,28,2.9,9,6,8,0.8
Vermont - Counties,57,36,19,24,42.1,6,5,6,25,30,14,18,75,0,0,0,0
Vermont - Municipalities,"2,182",510,409,435,19.9,494,396,420,96.6,10,9,10,2.3,6,4,5,1.1
Virginia - Total,"445,881","57,604","54,253","55,771",12.5,"22,327","20,902","21,553",38.6,"9,484","8,473","8,892",15.9,"25,793","24,878","25,326",45.4
Virginia - State,"126,789","21,693","20,805","21,160",16.7,"3,282","3,130","3,203",15.1,"4,056","3,725","3,806",18,"14,355","13,950","14,151",66.9
"Virginia - Local, total","319,092","35,911","33,448","34,611",10.8,"19,045","17,772","18,350",53,"5,428","4,748","5,086",14.7,"11,438","10,928","11,175",32.3
Virginia - Counties,"187,868","17,036","15,640","16,293",8.7,"9,630","8,904","9,243",56.7,"3,184","2,776","2,980",18.3,"4,222","3,960","4,070",25
Virginia - Municipalities,"117,781","16,080","15,069","15,543",13.2,"9,415","8,868","9,107",58.6,"2,244","1,972","2,106",13.5,"4,421","4,229","4,330",27.9
Washington - Total,"339,812","36,746","33,646","35,522",10.5,"14,221","13,828","13,991",39.4,"8,779","7,788","8,219",23.1,"13,746","12,030","13,312",37.5
Washington - State,"119,914","13,081","11,376","12,680",10.6,"2,249","2,211","2,222",17.5,"1,987","1,777","1,905",15,"8,845","7,388","8,553",67.5
"Washington - Local, total","219,898","23,665","22,270","22,842",10.4,"11,972","11,617","11,769",51.5,"6,792","6,011","6,314",27.6,"4,901","4,642","4,759",20.8
Washington - Counties,"40,031","15,099","14,065","14,456",36.1,"4,834","4,641","4,706",32.6,"5,702","5,105","5,325",36.8,"4,563","4,319","4,425",30.6
Washington - Municipalities,"40,568","8,568","8,206","8,386",20.7,"7,140","6,977","7,063",84.2,"1,090",906,989,11.8,338,323,334,4
West Virginia - Total,"103,673","10,736","10,007","10,298",9.9,"4,332","3,909","4,076",39.6,"2,825","2,571","2,667",25.9,"3,579","3,527","3,555",34.5
West Virginia - State,"40,281","6,064","5,972","6,029",15,"1,045","1,021","1,031",17.1,"1,630","1,588","1,615",26.8,"3,389","3,363","3,383",56.1
"West Virginia - Local, total","63,392","4,672","4,035","4,269",6.7,"3,287","2,888","3,045",71.3,"1,195",983,"1,052",24.6,190,164,172,4
West Virginia - Counties,"7,486","2,619","2,288","2,414",32.2,"1,387","1,228","1,290",53.4,"1,042",896,952,39.4,190,164,172,7.1
West Virginia - Municipalities,"9,882","2,053","1,747","1,855",18.8,"1,900","1,660","1,755",94.6,153,87,100,5.4,0,0,0,0
Wisconsin - Total,"280,659","37,695","32,686","34,494",12.3,"17,771","14,834","15,667",45.4,"6,092","4,985","5,413",15.7,"13,832","12,867","13,414",38.9
Wisconsin - State,"72,551","12,926","11,940","12,544",17.3,895,868,884,7,"2,236","1,963","2,142",17.1,"9,795","9,109","9,518",75.9
"Wisconsin - Local, total","208,108","24,769","20,746","21,950",10.5,"16,876","13,966","14,783",67.3,"3,856","3,022","3,271",14.9,"4,037","3,758","3,896",17.7
Wisconsin - Counties,"44,563","13,428","11,590","12,156",27.3,"6,144","5,154","5,404",44.5,"3,295","2,708","2,895",23.8,"3,989","3,728","3,857",31.7
Wisconsin - Municipalities,"35,057","11,133","9,039","9,659",27.6,"10,536","8,697","9,249",95.8,549,312,371,3.8,48,30,39,0.4
Wyoming - Total,"50,919","5,085","4,814","4,922",9.7,"1,978","1,885","1,916",38.9,"1,078",954,999,20.3,"2,029","1,975","2,007",40.8
Wyoming - State,"13,484","2,170","2,133","2,152",16,276,276,276,12.8,565,530,548,25.5,"1,329","1,327","1,328",61.7
"Wyoming - Local, total","37,435","2,915","2,681","2,770",7.4,"1,702","1,609","1,640",59.2,513,424,451,16.3,700,648,679,24.5
Wyoming - Counties,"7,796","1,666","1,545","1,605",20.6,605,574,586,36.5,361,323,340,21.2,700,648,679,42.3
Wyoming - Municipalities,"4,709","1,249","1,136","1,165",24.7,"1,097","1,035","1,054",90.5,152,101,111,9.5,0,0,0,0
Note: Local government data are estimates subject to variability. Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,
"a/Total full-time equivalent employment includes employment of states and all types of local governments, including independent school districts and special districts, which are not displayed separately. The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,
