Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: jeee11t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2011",,,,,,,,,,,,,,,,,,
"Report title: Justice Expenditure and Employment Extracts 2011 Final, NCJ 250631",,,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,,
"Author: Jennifer Bronson, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version: 6/29/2018,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2011",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,,
Counties,61109,28216,23549,25292,41.4,5545,3327,4068,16.1,12221,10448,11058,43.7,10450,9774,10166,40.2,Counties
Municipalities,62009,30511,22927,25392,40.9,24033,16556,18949,74.6,3714,3607,3676,14.5,2764,2764,2767,10.9,Municipalities
,,,,,,,,,,,,,,,,,,
Rhode Island,49487,6559,6133,6243,12.6,3725,3356,3444,55.2,1295,1239,1261,20.2,1539,1538,1538,24.6,Rhode Island
State,18900,3008,2989,3001,15.9,305,303,304,10.1,1164,1148,1159,38.6,1539,1538,1538,51.2,State
"Local, total",30587,3551,3144,3242,10.6,3420,3053,3140,96.9,131,91,102,3.1,0,0,0,0,"Local, total"
Municipalities,17221,2174,2050,2087,12.1,2086,1968,2003,96,88,82,84,4,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
South Carolina,252753,30328,28822,29471,11.7,14622,13849,14195,48.2,4788,4133,4374,14.8,10918,10840,10902,37,South Carolina
State,77342,10176,10134,10156,13.1,1932,1930,1930,19,780,754,768,7.6,7464,7450,7458,73.4,State
"Local, total",175411,20152,18688,19315,11,12690,11919,12265,63.5,4008,3379,3606,18.7,3454,3390,3444,17.8,"Local, total"
Counties,32690,14227,12903,13463,41.2,7239,6538,6849,50.9,3540,3012,3208,23.8,3448,3353,3406,25.3,Counties
Municipalities,20603,6078,5785,5918,28.7,5571,5381,5482,92.6,468,367,398,6.7,39,37,38,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
South Dakota,45460,4916,4286,4487,9.9,2201,1927,2004,44.7,1054,870,939,20.9,1661,1489,1544,34.4,South Dakota
State,14458,1855,1729,1797,12.4,328,315,322,17.9,665,577,623,34.7,862,837,852,47.4,State
"Local, total",31002,3061,2557,2690,8.7,1873,1612,1682,62.5,389,293,316,11.7,799,652,692,25.7,"Local, total"
Counties,3766,1698,1360,1469,39,581,465,501,34.1,344,269,303,20.6,773,626,665,45.3,Counties
Municipalities,7054,1364,1197,1236,17.5,1293,1147,1181,95.6,45,24,28,2.3,26,26,27,2.2,Municipalities
,,,,,,,,,,,,,,,,,,
Tennessee,327678,40229,37840,38731,11.8,20016,18544,19060,49.2,7364,6694,6920,17.9,12849,12602,12751,32.9,Tennessee
State,86215,11128,11075,11116,12.9,1707,1697,1706,15.3,2461,2453,2457,22.1,6960,6925,6953,62.5,State
"Local, total",241463,29101,26765,27615,11.4,18309,16847,17354,62.8,4903,4241,4463,16.2,5889,5677,5798,21,"Local, total"
Counties,133673,14236,13068,13531,10.1,5988,5537,5711,42.2,3547,3052,3230,23.9,4701,4479,4590,33.9,Counties
Municipalities,101182,14960,13697,14154,14,12321,11310,11643,82.3,1356,1189,1275,9,1283,1198,1236,8.7,Municipalities
,,,,,,,,,,,,,,,,,,
Texas,1448718,177575,170085,173213,12,79475,75827,77240,44.6,28573,26207,27172,15.7,69527,68051,68801,39.7,Texas
State,318370,56131,55205,55712,17.5,6647,6556,6603,11.9,5745,5537,5706,10.2,43739,43112,43403,77.9,State
"Local, total",1130348,121444,114880,117501,10.4,72828,69271,70637,60.1,22828,20670,21466,18.3,25788,24939,25398,21.6,"Local, total"
Counties,150873,69213,64839,67002,44.4,23725,22972,23473,35,19700,16928,18131,27.1,25788,24939,25398,37.9,Counties
Municipalities,183127,53427,50041,51317,28,49103,46299,47261,92.1,4324,3742,4056,7.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Utah,147230,16533,14044,14858,10.1,7798,6078,6617,44.5,3423,2955,3115,21,5312,5011,5126,34.5,Utah
State,53501,5728,5364,5506,10.3,864,783,814,14.8,1655,1587,1624,29.5,3209,2994,3068,55.7,State
"Local, total",93729,10805,8680,9352,10,6934,5295,5803,62.1,1768,1368,1491,15.9,2103,2017,2058,22,"Local, total"
Counties,16271,5371,4587,4891,30.1,2195,1675,1877,38.4,1073,895,956,19.5,2103,2017,2058,42.1,Counties
Municipalities,16674,5936,4093,4614,27.7,5241,3620,4079,88.4,695,473,535,11.6,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Vermont,39637,3317,2996,3098,7.8,1537,1249,1344,43.4,716,687,693,22.4,1064,1060,1061,34.2,Vermont
State,14419,2220,2147,2179,15.1,474,423,451,20.7,684,666,669,30.7,1062,1058,1059,48.6,State
"Local, total",25218,1097,849,919,3.6,1063,826,893,97.2,32,21,24,2.6,2,2,2,0.2,"Local, total"
Counties,46,32,20,24,52.2,8,7,8,33.3,24,13,16,66.7,0,0,0,0,Counties
Municipalities,2192,537,431,457,20.8,529,423,449,98.2,8,8,8,1.8,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Virginia,439786,56435,52895,54397,12.4,22221,20469,21180,38.9,9224,8216,8605,15.8,24990,24210,24612,45.2,Virginia
State,124930,20938,20151,20498,16.4,2991,2844,2934,14.3,3899,3553,3635,17.7,14048,13754,13929,68,State
"Local, total",314856,35497,32744,33899,10.8,19230,17625,18246,53.8,5325,4663,4970,14.7,10942,10456,10683,31.5,"Local, total"
Counties,180366,16670,15182,15760,8.7,9397,8509,8834,56.1,2818,2450,2615,16.6,4455,4223,4311,27.4,Counties
Municipalities,123696,16950,15719,16280,13.2,9833,9116,9412,57.8,2507,2213,2355,14.5,4610,4390,4513,27.7,Municipalities
,,,,,,,,,,,,,,,,,,
Washington,341175,37875,35975,36887,10.8,15094,14820,14949,40.5,8593,7726,8071,21.9,14188,13429,13867,37.6,Washington
State,121136,13413,12805,13239,10.9,2255,2223,2242,16.9,1957,1861,1925,14.5,9201,8721,9072,68.5,State
"Local, total",220039,24462,23170,23648,10.7,12839,12597,12707,53.7,6636,5865,6146,26,4987,4708,4795,20.3,"Local, total"
Counties,41289,15347,14366,14731,35.7,5145,5011,5063,34.4,5437,4850,5051,34.3,4765,4505,4617,31.3,Counties
Municipalities,44128,9115,8804,8956,20.3,7694,7586,7644,85.4,1199,1015,1095,12.2,222,203,217,2.4,Municipalities
,,,,,,,,,,,,,,,,,,
West Virginia,103111,10435,9722,9980,9.7,4154,3718,3852,38.6,2723,2478,2585,25.9,3558,3526,3543,35.5,West Virginia
State,39882,6039,5960,6002,15,1045,1022,1030,17.2,1563,1517,1545,25.7,3431,3421,3427,57.1,State
"Local, total",63229,4396,3762,3978,6.3,3109,2696,2822,70.9,1160,961,1040,26.1,127,105,116,2.9,"Local, total"
Counties,7940,2530,2178,2329,29.3,1374,1185,1262,54.2,1029,888,951,40.8,127,105,116,5,Counties
Municipalities,9555,1866,1584,1718,18,1735,1511,1629,94.8,131,73,89,5.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Wisconsin,279514,38462,33354,34974,12.5,18256,14960,15686,44.9,6002,5104,5512,15.8,14204,13290,13776,39.4,Wisconsin
State,70891,13250,12333,12841,18.1,914,889,899,7,2278,2007,2178,17,10058,9437,9764,76,State
"Local, total",208623,25212,21021,22133,10.6,17342,14071,14787,66.8,3724,3097,3334,15.1,4146,3853,4012,18.1,"Local, total"
Counties,47131,14612,11787,12350,26.2,7268,5176,5403,43.7,3244,2788,2973,24.1,4100,3823,3974,32.2,Counties
Municipalities,35748,15976,9175,9714,27.2,15455,8836,9315,95.9,475,309,361,3.7,46,30,38,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Wyoming,52097,5348,5047,5150,9.9,2038,1956,1979,38.4,1145,980,1031,20,2165,2111,2140,41.6,Wyoming
State,13416,2288,2234,2258,16.8,299,299,299,13.2,593,544,566,25.1,1396,1391,1393,61.7,State
"Local, total",38681,3060,2813,2892,7.5,1739,1657,1680,58.1,552,436,465,16.1,769,720,747,25.8,"Local, total"
Counties,7895,1761,1613,1667,21.1,605,572,582,34.9,401,335,352,21.1,755,706,733,44,Counties
Municipalities,4974,1258,1159,1185,23.8,1107,1058,1072,90.5,151,101,113,9.5,0,0,0,0,Municipalities
Note: Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,
"a/Total full-time equivalent employment includes employment of states and all types of local governments including include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,
b/Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,,
