Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0505.csv,,,,,,,,,,,,,,,,,,,,,,
"table #.  5 Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2005",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2005, NCJ 219370",,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  8/10/2007,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2005",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
"Local, total","77,894","8,138","7,211","7,589",9.7,,"5,741","5,119","5,376",70.8,,567,316,408,5.4,,"1,830","1,776","1,805",23.8,,"Local, total"
Counties,"8,509","3,194","2,855","3,033",35.6,,"1,795","1,589","1,692",55.8,,143,54,109,3.6,,"1,256","1,212","1,232",40.6,,Counties
Municipalities,"17,546","4,944","4,356","4,556",26,,"3,946","3,530","3,684",80.9,,424,262,299,6.6,,574,564,573,12.6,,Municipalities

New York,"1,184,138","187,224","166,448","174,804",14.8,,"93,813","79,819","85,424",48.9,,"34,584","29,042","31,096",17.8,,"58,827","57,587","58,284",33.3,,New York
State,"245,385","59,881","58,480","59,416",24.2,,"6,543","6,386","6,507",11,,"19,637","18,862","19,406",32.7,,"33,701","33,232","33,503",56.4,,State
"Local, total","938,753","127,343","107,968","115,388",12.3,,"87,270","73,433","78,917",68.4,,"14,947","10,180","11,690",10.1,,"25,126","24,355","24,781",21.5,,"Local, total"
Counties,"112,351","29,348","26,796","28,049",25,,"13,112","11,632","12,299",43.8,,"4,288","3,783","4,046",14.4,,"11,948","11,381","11,704",41.7,,Counties
Municipalities,"511,981","97,995","81,172","87,339",17.1,,"74,158","61,801","66,618",76.3,,"10,659","6,397","7,644",8.8,,"13,178","12,974","13,077",15,,Municipalities

North Carolina,"483,380","58,447","55,520","56,877",11.8,,"25,812","24,057","24,780",43.6,,"6,873","6,582","6,677",11.7,,"25,762","24,881","25,420",44.7,,North Carolina
State,"135,201","30,255","29,408","29,855",22.1,,"3,400","3,386","3,393",11.4,,"6,077","5,880","5,930",19.9,,"20,778","20,142","20,532",68.8,,State
"Local, total","348,179","28,192","26,112","27,022",7.8,,"22,412","20,671","21,387",79.1,,796,702,747,2.8,,"4,984","4,739","4,888",18.1,,"Local, total"
Counties,"283,991","13,420","12,457","12,856",4.5,,"8,008","7,365","7,575",58.9,,680,588,631,4.9,,"4,732","4,504","4,650",36.2,,Counties
Municipalities,"52,506","14,772","13,655","14,166",27,,"14,404","13,306","13,812",97.5,,116,114,116,0.8,,252,235,238,1.7,,Municipalities

North Dakota,"41,192","3,584","3,035","3,173",7.7,,"1,549","1,384","1,405",44.3,,"1,007",765,818,25.8,,"1,028",886,950,29.9,,North Dakota
State,"18,099","1,467","1,309","1,378",7.6,,180,177,179,13,,559,501,523,38,,728,631,676,49.1,,State
"Local, total","23,093","2,117","1,726","1,795",7.8,,"1,369","1,207","1,226",68.3,,448,264,295,16.4,,300,255,274,15.3,,"Local, total"
Counties,"3,844","1,140",969,"1,025",26.7,,562,497,509,49.7,,278,217,242,23.6,,300,255,274,26.7,,Counties
Municipalities,"3,373",977,757,770,22.8,,807,710,717,93.1,,170,47,53,6.9,,--,--,--,--,,Municipalities

Ohio,"620,329","83,974","75,365","78,614",12.7,,"36,883","31,414","33,186",42.2,,"21,636","18,918","20,191",25.7,,"25,455","25,033","25,237",32.1,,Ohio
State,"136,233","22,019","21,460","21,852",16,,"2,691","2,674","2,686",12.3,,"2,903","2,426","2,761",12.6,,"16,425","16,360","16,405",75.1,,State
"Local, total","484,096","61,955","53,905","56,762",11.7,,"34,192","28,740","30,500",53.7,,"18,733","16,492","17,430",30.7,,"9,030","8,673","8,832",15.6,,"Local, total"
Counties,"100,340","30,208","28,787","29,430",29.3,,"8,087","7,897","7,995",27.2,,"13,744","12,793","13,233",45,,"8,377","8,097","8,202",27.9,,Counties
Municipalities,"96,301","31,747","25,118","27,332",28.4,,"26,105","20,843","22,505",82.3,,"4,989","3,699","4,197",15.4,,653,576,630,2.3,,Municipalities

Oklahoma,"205,268","23,150","20,634","21,611",10.5,,"11,696","10,200","10,866",50.3,,"4,655","4,038","4,171",19.3,,"6,799","6,396","6,574",30.4,,Oklahoma
State,"64,944","10,274","9,801","9,999",15.4,,"1,901","1,801","1,850",18.5,,"2,665","2,519","2,580",25.8,,"5,708","5,481","5,569",55.7,,State
"Local, total","140,324","12,876","10,833","11,612",8.3,,"9,795","8,399","9,016",77.6,,"1,990","1,519","1,591",13.7,,"1,091",915,"1,005",8.7,,"Local, total"
Counties,"17,398","4,850","4,175","4,512",25.9,,"2,634","2,283","2,474",54.8,,"1,187","1,036","1,092",24.2,,"1,029",856,946,21,,Counties
Municipalities,"30,765","8,026","6,658","7,100",23.1,,"7,161","6,116","6,542",92.1,,803,483,499,7,,62,59,59,0.8,,Municipalities

Oregon,"182,351","23,530","21,425","22,312",12.2,,"9,471","8,590","8,869",39.7,,"5,055","4,523","4,849",21.7,,"9,004","8,312","8,594",38.5,,Oregon
State,"57,893","9,518","8,966","9,271",16,,"1,340","1,191","1,220",13.2,,"3,182","2,895","3,090",33.3,,"4,996","4,880","4,961",53.5,,State
"Local, total","124,458","14,012","12,459","13,041",10.5,,"8,131","7,399","7,649",58.7,,"1,873","1,628","1,759",13.5,,"4,008","3,432","3,633",27.9,,"Local, total"
Counties,"20,899","8,475","7,372","7,808",37.4,,"2,987","2,613","2,782",35.6,,"1,480","1,327","1,393",17.8,,"4,008","3,432","3,633",46.5,,Counties
Municipalities,"20,522","5,537","5,087","5,233",25.5,,"5,144","4,786","4,867",93,,393,301,366,7,,--,--,--,--,,Municipalities

Pennsylvania,"576,461","86,146","73,933","78,302",13.6,,"36,891","28,113","31,138",39.8,,"18,940","17,034","17,681",22.6,,"30,315","28,786","29,483",37.7,,Pennsylvania
State,"159,632","26,504","25,979","26,183",16.4,,"5,977","5,915","5,955",22.7,,"3,002","2,992","3,001",11.5,,"17,525","17,072","17,227",65.8,,State
"Local, total","416,829","59,642","47,954","52,119",12.5,,"30,914","22,198","25,183",48.3,,"15,938","14,042","14,680",28.2,,"12,790","11,714","12,256",23.5,,"Local, total"
Counties,"58,320","25,170","21,958","23,278",39.9,,"2,681","2,208","2,380",10.2,,"12,141","10,453","11,072",47.6,,"10,348","9,297","9,826",42.2,,Counties
Municipalities,"74,309","34,472","25,996","28,841",38.8,,"28,233","19,990","22,803",79.1,,"3,797","3,589","3,608",12.5,,"2,442","2,417","2,430",8.4,,Municipalities

Rhode Island,"50,052","6,399","6,016","6,166",12.3,,"3,291","2,965","3,092",50.1,,"1,365","1,313","1,335",21.7,,"1,743","1,738","1,739",28.2,,Rhode Island
State,"19,934","3,320","3,287","3,307",16.6,,314,308,310,9.4,,"1,263","1,241","1,258",38,,"1,743","1,738","1,739",52.6,,State
"Local, total","30,118","3,079","2,729","2,859",9.5,,"2,977","2,657","2,782",97.3,,102,72,77,2.7,,--,--,--,--,,"Local, total"
Municipalities,"27,785","3,079","2,729","2,859",10.3,,"2,977","2,657","2,782",97.3,,102,72,77,2.7,,--,--,--,--,,Municipalities

South Carolina,"244,278","28,004","26,568","27,111",11.1,,"13,293","12,506","12,795",47.2,,"4,517","3,944","4,179",15.4,,"10,194","10,118","10,137",37.4,,South Carolina
State,"76,495","9,915","9,905","9,908",13,,"1,858","1,858","1,858",18.8,,692,685,687,6.9,,"7,365","7,362","7,363",74.3,,State
"Local, total","167,783","18,089","16,663","17,203",10.3,,"11,435","10,648","10,937",63.6,,"3,825","3,259","3,492",20.3,,"2,829","2,756","2,774",16.1,,"Local, total"
Counties,"31,545","11,960","10,962","11,358",36,,"5,850","5,327","5,516",48.6,,"3,322","2,916","3,107",27.4,,"2,788","2,719","2,735",24.1,,Counties
Municipalities,"19,256","6,129","5,701","5,845",30.4,,"5,585","5,321","5,421",92.7,,503,343,385,6.6,,41,37,39,0.7,,Municipalities

South Dakota,"43,615","4,426","3,690","3,966",9.1,,"2,081","1,779","1,858",46.8,,897,688,784,19.8,,"1,448","1,223","1,324",33.4,,South Dakota
State,"13,466","1,706","1,464","1,616",12,,303,296,301,18.6,,580,442,520,32.2,,823,726,795,49.2,,State
"Local, total","30,149","2,720","2,226","2,350",7.8,,"1,778","1,483","1,557",66.3,,317,246,264,11.2,,625,497,529,22.5,,"Local, total"
Counties,"3,847","1,691","1,301","1,393",36.2,,798,589,633,45.4,,286,228,245,17.6,,607,484,515,37,,Counties
Municipalities,"5,920","1,029",925,957,16.2,,980,894,924,96.6,,31,18,19,2,,18,13,14,1.5,,Municipalities

Tennessee,"321,939","39,627","36,862","37,895",11.8,,"18,873","16,802","17,548",46.3,,"6,663","6,300","6,464",17.1,,"14,091","13,760","13,883",36.6,,Tennessee
State,"82,771","11,387","11,329","11,360",13.7,,"1,975","1,964","1,968",17.3,,"2,254","2,245","2,250",19.8,,"7,158","7,120","7,142",62.9,,State
"Local, total","239,168","28,240","25,533","26,535",11.1,,"16,898","14,838","15,580",58.7,,"4,409","4,055","4,214",15.9,,"6,933","6,640","6,741",25.4,,"Local, total"
Counties,"142,019","14,204","13,336","13,623",9.6,,"4,951","4,547","4,659",34.2,,"3,014","2,825","2,906",21.3,,"6,239","5,964","6,058",44.5,,Counties
Municipalities,"88,344","14,036","12,197","12,912",14.6,,"11,947","10,291","10,921",84.6,,"1,395","1,230","1,308",10.1,,694,676,683,5.3,,Municipalities

Texas,"1,290,646","158,868","150,834","154,175",11.9,,"63,889","60,170","61,536",39.9,,"25,736","23,185","24,269",15.7,,"69,243","67,479","68,370",44.3,,Texas
State,"274,170","55,410","54,571","55,060",20.1,,"4,133","4,103","4,117",7.5,,"5,535","5,327","5,470",9.9,,"45,742","45,141","45,473",82.6,,State
"Local, total","1,016,476","103,458","96,263","99,115",9.8,,"59,756","56,067","57,419",57.9,,"20,201","17,858","18,799",19,,"23,501","22,338","22,897",23.1,,"Local, total"
Counties,"122,961","54,586","51,254","52,777",42.9,,"15,619","14,816","15,222",28.8,,"15,466","14,100","14,658",27.8,,"23,501","22,338","22,897",43.4,,Counties
Municipalities,"173,650","48,872","45,009","46,338",26.7,,"44,137","41,251","42,197",91.1,,"4,735","3,758","4,141",8.9,,--,--,--,--,,Municipalities

Utah,"127,676","15,348","12,809","13,719",10.7,,"6,797","5,263","5,722",41.7,,"3,112","2,500","2,785",20.3,,"5,439","5,046","5,212",38,,Utah
State,"49,127","6,017","5,481","5,692",11.6,,845,794,817,14.4,,"1,632","1,442","1,512",26.6,,"3,540","3,245","3,363",59.1,,State
"Local, total","78,549","9,331","7,328","8,027",10.2,,"5,952","4,469","4,905",61.1,,"1,480","1,058","1,273",15.9,,"1,899","1,801","1,849",23,,"Local, total"
Counties,"10,623","4,658","4,039","4,214",39.7,,"1,818","1,531","1,556",36.9,,942,708,810,19.2,,"1,898","1,800","1,848",43.9,,Counties
Municipalities,"14,818","4,673","3,289","3,813",25.7,,"4,134","2,938","3,349",87.8,,538,350,463,12.1,,1,1,1,0,,Municipalities

Vermont,"39,419","3,464","3,084","3,212",8.1,,"1,504","1,288","1,357",42.2,,785,635,684,21.3,,"1,175","1,161","1,171",36.5,,Vermont
State,"14,351","2,387","2,253","2,329",16.2,,567,505,534,22.9,,645,587,624,26.8,,"1,175","1,161","1,171",50.3,,State
"Local, total","25,068","1,077",831,883,3.5,,937,783,823,93.2,,140,48,60,6.8,,--,--,--,--,,"Local, total"
Counties,77,63,47,58,75.3,,14,12,13,22.4,,49,35,45,77.6,,--,--,--,--,,Counties
Municipalities,"4,555","1,014",784,825,18.1,,923,771,810,98.2,,91,13,15,1.8,,--,--,--,--,,Municipalities

Virginia,"417,695","51,754","48,339","49,777",11.9,,"21,566","20,094","20,663",41.5,,"8,618","7,572","8,005",16.1,,"21,570","20,673","21,109",42.4,,Virginia
State,"119,455","21,177","20,152","20,654",17.3,,"2,810","2,652","2,748",13.3,,"3,961","3,537","3,684",17.8,,"14,406","13,963","14,222",68.9,,State
"Local, total","298,240","30,577","28,187","29,123",9.8,,"18,756","17,442","17,915",61.5,,"4,657","4,035","4,321",14.8,,"7,164","6,710","6,887",23.6,,"Local, total"
Counties,"182,771","16,691","15,077","15,632",8.6,,"10,032","9,148","9,419",60.3,,"3,079","2,532","2,759",17.6,,"3,580","3,397","3,454",22.1,,Counties
Municipalities,"103,396","13,886","13,110","13,491",13,,"8,724","8,294","8,496",63,,"1,578","1,503","1,562",11.6,,"3,584","3,313","3,433",25.4,,Municipalities

Washington,"329,758","37,701","34,761","35,738",10.8,,"14,885","13,920","14,192",39.7,,"8,424","7,520","7,826",21.9,,"14,392","13,321","13,720",38.4,,Washington
State,"117,167","13,584","12,828","13,196",11.3,,"2,213","2,213","2,213",16.8,,"1,976","1,796","1,889",14.3,,"9,395","8,819","9,094",68.9,,State
"Local, total","212,591","24,117","21,933","22,542",10.6,,"12,672","11,707","11,979",53.1,,"6,448","5,724","5,937",26.3,,"4,997","4,502","4,626",20.5,,"Local, total"
Counties,"39,859","14,445","13,288","13,611",34.1,,"4,549","4,359","4,413",32.4,,"5,153","4,665","4,818",35.4,,"4,743","4,264","4,380",32.2,,Counties
Municipalities,"39,904","9,672","8,645","8,931",22.4,,"8,123","7,348","7,566",84.7,,"1,295","1,059","1,119",12.5,,254,238,246,2.8,,Municipalities

West Virginia,"98,420","10,657","9,263","9,822",10,,"4,485","3,480","3,942",40.1,,"2,610","2,261","2,338",23.8,,"3,562","3,522","3,542",36.1,,West Virginia
State,"37,708","5,686","5,643","5,664",15,,992,976,981,17.3,,"1,383","1,363","1,373",24.2,,"3,311","3,304","3,310",58.4,,State
"Local, total","60,712","4,971","3,620","4,158",6.8,,"3,493","2,504","2,961",71.2,,"1,227",898,965,23.2,,251,218,232,5.6,,"Local, total"
Counties,"8,002","2,298","2,136","2,214",27.7,,"1,113","1,078","1,098",49.6,,935,840,884,39.9,,250,218,232,10.5,,Counties
Municipalities,"9,052","2,673","1,484","1,944",21.5,,"2,380","1,426","1,863",95.8,,292,58,81,4.2,,--,--,--,--,,Municipalities

Wisconsin,"293,622","39,017","33,538","35,730",12.2,,"17,993","15,026","15,956",44.7,,"6,728","5,504","6,046",16.9,,"14,296","13,008","13,728",38.4,,Wisconsin
State,"70,099","13,104","11,818","12,570",17.9,,908,876,894,7.1,,"2,096","1,804","1,980",15.8,,"10,100","9,138","9,696",77.1,,State
"Local, total","223,523","25,913","21,720","23,160",10.4,,"17,085","14,150","15,062",65,,"4,632","3,700","4,066",17.6,,"4,196","3,870","4,032",17.4,,"Local, total"
Counties,"48,493","13,942","12,521","13,117",27,,"5,798","5,275","5,453",41.6,,"3,948","3,376","3,632",27.7,,"4,196","3,870","4,032",30.7,,Counties
Municipalities,"40,381","11,971","9,199","10,043",24.9,,"11,287","8,875","9,609",95.7,,684,324,434,4.3,,--,--,--,--,,Municipalities

Wyoming,"43,766","4,615","4,344","4,433",10.1,,"2,032","1,925","1,967",44.4,,"1,013",885,923,20.8,,"1,570","1,534","1,543",34.8,,Wyoming
State,"11,740","1,717","1,685","1,701",14.5,,262,262,262,15.4,,536,510,523,30.7,,919,913,916,53.9,,State
"Local, total","32,026","2,898","2,659","2,732",8.5,,"1,770","1,663","1,705",62.4,,477,375,400,14.6,,651,621,627,23,,"Local, total"
Counties,"6,668","1,761","1,662","1,694",25.4,,763,726,741,43.7,,347,315,326,19.2,,651,621,627,37,,Counties
Municipalities,"3,767","1,137",997,"1,038",27.6,,"1,007",937,964,92.9,,130,60,74,7.1,,--,--,--,--,,Municipalities

Notes:  Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,,,,,
"a/ Total full-time equivalent employment includes employment of States and all types of local governments including independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,,,,,
b/ Justice system employment of independent school districts and special school districts (primarily for special police) are not available.,,,,,,,,,,,,,,,,,,,,,,
