Bureau of Justice Statistics,,,,,,,,,,,,
Utah,"$399,052 ","$45,212 ",11.3,,"$19,867 ",43.9,,"$9,836 ",21.8,,"$15,510 ",34.3
State,"$162,371 ","$18,002 ",11.1,,"$2,790 ",15.5,,"$5,397 ",30,,"$9,816 ",54.5
"Local, total","$236,681 ","$27,210 ",11.5,,"$17,077 ",62.8,,"$4,439 ",16.3,,"$5,694 ",20.9
Counties,"$32,823 ","$13,716 ",41.8,,"$5,173 ",37.7,,"$2,851 ",20.8,,"$5,693 ",41.5
Municipalities,"$50,611 ","$13,494 ",26.7,,"$11,904 ",88.2,,"$1,588 ",11.8,,$2 ,0

Vermont,"$128,860 ","$12,185 ",9.5,,"$5,442 ",44.7,,"$2,689 ",22.1,,"$4,055 ",33.3
State,"$55,023 ","$9,038 ",16.4,,"$2,443 ",27,,"$2,540 ",28.1,,"$4,055 ",44.9
"Local, total","$73,837 ","$3,147 ",4.3,,"$2,999 ",95.3,,$148 ,4.7,,--,0
Counties,$183 ,$133 ,72.7,,$33 ,25.1,,$100 ,74.9,,--,0
Municipalities,"$14,765 ","$3,014 ",20.4,,"$2,965 ",98.4,,$49 ,1.6,,--,0

Virginia,"$1,399,970 ","$174,061 ",12.4,,"$79,685 ",45.8,,"$32,545 ",18.7,,"$61,831 ",35.5
State,"$424,369 ","$64,776 ",15.3,,"$10,755 ",16.6,,"$15,184 ",23.4,,"$38,837 ",60
"Local, total","$975,601 ","$109,285 ",11.2,,"$68,929 ",63.1,,"$17,361 ",15.9,,"$22,994 ",21
Counties,"$606,631 ","$62,177 ",10.2,,"$37,881 ",60.9,,"$11,327 ",18.2,,"$12,968 ",20.9
Municipalities,"$328,189 ","$47,108 ",14.4,,"$31,048 ",65.9,,"$6,034 ",12.8,,"$10,026 ",21.3

Washington,"$1,348,345 ","$160,111 ",11.9,,"$72,907 ",45.5,,"$36,413 ",22.7,,"$50,791 ",31.7
State,"$457,092 ","$51,700 ",11.3,,"$10,552 ",20.4,,"$9,802 ",19,,"$31,346 ",60.6
"Local, total","$891,253 ","$108,411 ",12.2,,"$62,355 ",57.5,,"$26,611 ",24.5,,"$19,445 ",17.9
Counties,"$165,098 ","$60,434 ",36.6,,"$21,096 ",34.9,,"$20,910 ",34.6,,"$18,428 ",30.5
Municipalities,"$193,336 ","$47,977 ",24.8,,"$41,259 ",86,,"$5,701 ",11.9,,"$1,017 ",2.1

West Virginia,"$279,113 ","$25,339 ",9.1,,"$10,716 ",42.3,,"$7,169 ",28.3,,"$7,455 ",29.4
State,"$113,908 ","$14,711 ",12.9,,"$3,108 ",21.1,,"$4,605 ",31.3,,"$6,998 ",47.6
"Local, total","$165,205 ","$10,628 ",6.4,,"$7,608 ",71.6,,"$2,564 ",24.1,,$457 ,4.3
Counties,"$18,693 ","$5,466 ",29.2,,"$2,694 ",49.3,,"$2,315 ",42.4,,$456 ,8.3
Municipalities,"$23,822 ","$5,162 ",21.7,,"$4,913 ",95.2,,$248 ,4.8,,$1 ,0

Wisconsin,"$1,085,417 ","$140,330 ",12.9,,"$66,222 ",47.2,,"$25,756 ",18.4,,"$48,352 ",34.5
State,"$275,824 ","$49,189 ",17.8,,"$3,702 ",7.5,,"$11,149 ",22.7,,"$34,338 ",69.8
"Local, total","$809,593 ","$91,141 ",11.3,,"$62,520 ",68.6,,"$14,607 ",16,,"$14,014 ",15.4
Counties,"$167,087 ","$48,287 ",28.9,,"$21,916 ",45.4,,"$12,357 ",25.6,,"$14,014 ",29
Municipalities,"$152,180 ","$42,854 ",28.2,,"$40,603 ",94.7,,"$2,251 ",5.3,,--,0

Wyoming,"$135,720 ","$14,645 ",10.8,,"$6,817 ",46.6,,"$3,424 ",23.4,,"$4,403 ",30.1
State,"$39,613 ","$5,656 ",14.3,,"$1,017 ",18,,"$2,099 ",37.1,,"$2,540 ",44.9
"Local, total","$96,107 ","$8,988 ",9.4,,"$5,800 ",64.5,,"$1,325 ",14.7,,"$1,863 ",20.7
Counties,"$20,445 ","$5,350 ",26.2,,"$2,426 ",45.3,,"$1,061 ",19.8,,"$1,863 ",34.8
Municipalities,"$12,150 ","$3,638 ",29.9,,"$3,374 ",92.7,,$264 ,7.3,,--,0

Notes: March payroll data may not sum to total because of rounding. Local government data are estimates subject to variability.,,,,,,,,,,,,
"a/ Total March payroll includes payrolls of States and all types of local governments including independent school districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,
