Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee13fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2013 - Final (Update) NCJ 250327",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2013",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
New York - Municipalities,"672,137","86,273","79,461","82,739",12.3,"66,271","61,041","63,649",76.9,"7,797","6,303","6,899",8.3,"12,205","12,117","12,191",14.7
North Carolina - Total,"549,713","62,995","59,931","60,941",11.1,"28,620","26,779","27,495",45.1,"7,726","7,056","7,163",11.8,"26,649","26,096","26,283",43.1
North Carolina - State,"145,421","31,173","30,503","30,536",21,"3,505","3,495","3,499",11.5,"6,739","6,272","6,293",20.6,"20,929","20,736","20,744",67.9
"North Carolina - Local, total","404,292","31,822","29,428","30,405",7.5,"25,115","23,284","23,996",78.9,987,784,870,2.9,"5,720","5,360","5,539",18.2
North Carolina - Counties,"314,888","17,347","15,728","16,436",5.2,"11,031","9,932","10,389",63.2,832,644,720,4.4,"5,484","5,152","5,327",32.4
North Carolina - Municipalities,"54,738","14,201","13,479","13,879",25.4,"13,780","13,099","13,486",97.2,153,139,146,1.1,268,241,247,1.8
North Dakota - Total,"45,208","4,189","3,703","3,839",8.5,"1,694","1,594","1,622",42.3,"1,016",806,845,22,"1,479","1,303","1,372",35.7
North Dakota - State,"19,238","1,691","1,557","1,604",8.3,199,195,198,12.3,616,566,576,35.9,876,796,830,51.7
"North Dakota - Local, total","25,970","2,498","2,146","2,235",8.6,"1,495","1,399","1,424",63.7,400,240,269,12,603,507,542,24.3
North Dakota - Counties,"4,026","1,383","1,201","1,261",31.3,536,494,500,39.7,245,201,221,17.5,602,506,540,42.8
North Dakota - Municipalities,"4,477","1,115",941,970,21.7,960,902,919,94.7,155,39,51,5.3,0,0,0,0
Ohio - Total,"587,243","76,786","68,264","71,679",12.2,"33,639","28,682","30,622",42.7,"21,423","18,507","19,653",27.4,"21,724","21,075","21,404",29.9
Ohio - State,"137,045","19,147","18,575","18,837",13.7,"2,614","2,606","2,614",13.9,"3,288","2,751","2,984",15.8,"13,245","13,218","13,239",70.3
"Ohio - Local, total","450,198","57,639","49,689","52,842",11.7,"31,025","26,076","28,008",53,"18,135","15,756","16,669",31.5,"8,479","7,857","8,165",15.5
Ohio - Counties,"84,827","27,148","24,746","25,889",30.5,"7,615","6,749","7,257",28,"12,372","11,244","11,680",45.1,"7,161","6,753","6,952",26.9
Ohio - Municipalities,"83,040","26,520","21,612","23,761",28.6,"21,009","17,375","19,065",80.2,"4,809","3,710","4,087",17.2,702,527,609,2.6
Oklahoma - Total,"210,521","23,098","21,352","21,950",10.4,"11,739","10,724","11,103",50.6,"4,744","4,183","4,322",19.7,"6,615","6,445","6,525",29.7
Oklahoma - State,"67,837","9,481","9,226","9,343",13.8,"1,947","1,864","1,910",20.4,"2,840","2,730","2,777",29.7,"4,694","4,632","4,656",49.8
"Oklahoma - Local, total","142,684","13,617","12,126","12,607",8.8,"9,792","8,860","9,193",72.9,"1,904","1,453","1,545",12.3,"1,921","1,813","1,869",14.8
Oklahoma - Counties,"16,769","5,580","4,861","5,071",30.2,"2,552","2,140","2,257",44.5,"1,219","1,017","1,059",20.9,"1,809","1,704","1,755",34.6
Oklahoma - Municipalities,"34,801","8,017","7,270","7,542",21.7,"7,216","6,695","6,921",91.8,686,463,508,6.7,115,112,113,1.5
Oregon - Total,"189,998","22,739","21,052","21,712",11.4,"9,262","8,631","8,861",40.8,"4,805","4,311","4,524",20.8,"8,672","8,110","8,327",38.4
Oregon - State,"66,229","9,607","9,130","9,325",14.1,"1,465","1,280","1,334",14.3,"2,991","2,834","2,923",31.3,"5,151","5,016","5,068",54.3
"Oregon - Local, total","123,769","13,132","11,922","12,387",10,"7,797","7,351","7,527",60.8,"1,814","1,477","1,601",12.9,"3,521","3,094","3,259",26.3
Oregon - Counties,"19,738","7,621","6,683","7,032",35.6,"2,695","2,417","2,522",35.9,"1,432","1,199","1,281",18.2,"3,494","3,067","3,229",45.9
Oregon - Municipalities,"21,308","5,495","5,223","5,318",25,"5,097","4,929","4,990",93.8,379,275,309,5.8,19,19,19,0.4
Pennsylvania - Total,"568,830","88,186","76,385","81,092",14.3,"37,577","28,865","32,198",39.7,"18,651","17,183","17,746",21.9,"31,958","30,337","31,148",38.4
Pennsylvania - State,"159,018","28,621","27,587","27,999",17.6,"6,778","6,461","6,562",23.4,"3,053","3,053","3,053",10.9,"18,790","18,073","18,384",65.7
"Pennsylvania - Local, total","409,812","59,565","48,798","53,093",13,"30,799","22,404","25,636",48.3,"15,598","14,130","14,693",27.7,"13,168","12,264","12,764",24
Pennsylvania - Counties,"60,126","26,814","22,882","24,295",40.4,"4,603","2,942","3,379",13.9,"11,843","10,471","10,989",45.2,"10,368","9,469","9,927",40.9
Pennsylvania - Municipalities,"61,984","27,053","22,211","24,555",39.6,"20,545","15,750","18,027",73.4,"3,716","3,669","3,701",15.1,"2,792","2,792","2,827",11.5
Rhode Island - Total,"47,905","5,972","5,599","5,717",11.9,"3,128","2,819","2,918",51,"1,291","1,227","1,246",21.8,"1,553","1,553","1,553",27.2
Rhode Island - State,"18,456","3,037","3,020","3,031",16.4,319,317,318,10.5,"1,165","1,150","1,160",38.3,"1,553","1,553","1,553",51.2
"Rhode Island - Local, total","29,449","2,935","2,579","2,686",9.1,"2,809","2,502","2,600",96.8,126,77,86,3.2,0,0,0,0
Rhode Island - Municipalities,"15,973","1,818","1,697","1,745",10.9,"1,739","1,629","1,675",96,79,68,70,4,0,0,0,0
South Carolina - Total,"258,695","30,729","29,181","29,873",11.5,"14,090","13,268","13,628",45.6,"5,027","4,422","4,683",15.7,"11,612","11,491","11,562",38.7
South Carolina - State,"78,857","11,042","10,963","11,006",14,"2,020","2,016","2,017",18.3,822,809,815,7.4,"8,200","8,138","8,174",74.3
"South Carolina - Local, total","179,838","19,687","18,218","18,867",10.5,"12,070","11,252","11,611",61.5,"4,205","3,613","3,868",20.5,"3,412","3,353","3,388",18
South Carolina - Counties,"33,409","14,081","12,871","13,400",40.1,"7,060","6,421","6,688",49.9,"3,651","3,142","3,369",25.1,"3,370","3,308","3,343",24.9
South Carolina - Municipalities,"20,247","5,507","5,242","5,334",26.3,"5,030","4,838","4,914",92.1,439,366,382,7.2,38,38,38,0.7
South Dakota - Total,"46,310","4,740","4,178","4,418",9.5,"2,081","1,835","1,924",43.5,"1,031",877,963,21.8,"1,628","1,466","1,531",34.7
South Dakota - State,"14,442","1,888","1,757","1,826",12.6,326,307,316,17.3,684,597,642,35.2,878,853,868,47.5
"South Dakota - Local, total","31,868","2,852","2,421","2,592",8.1,"1,755","1,528","1,608",62,347,280,321,12.4,750,613,663,25.6
South Dakota - Counties,"3,527","1,581","1,251","1,379",39.1,543,410,459,33.3,312,254,286,20.7,726,587,634,46
South Dakota - Municipalities,"6,622","1,287","1,170","1,206",18.2,"1,219","1,118","1,150",95.4,38,26,28,2.3,30,26,28,2.3
Tennessee - Total,"325,967","41,680","38,707","40,077",12.3,"21,560","19,768","20,609",51.4,"7,571","6,737","7,087",17.7,"12,549","12,202","12,381",30.9
Tennessee - State,"80,587","11,173","11,081","11,132",13.8,"1,609","1,603","1,607",14.4,"2,489","2,443","2,458",22.1,"7,075","7,035","7,067",63.5
"Tennessee - Local, total","245,380","30,507","27,626","28,945",11.8,"19,951","18,165","19,002",65.6,"5,082","4,294","4,629",16,"5,474","5,167","5,314",18.4
Tennessee - Counties,"134,145","14,972","13,447","14,087",10.5,"7,086","6,412","6,634",47.1,"3,750","3,114","3,416",24.2,"4,136","3,921","4,037",28.7
Tennessee - Municipalities,"105,293","15,522","14,103","14,913",14.2,"12,846","11,682","12,383",83,"1,338","1,188","1,255",8.4,"1,338","1,233","1,275",8.5
Texas - Total,"1,411,663","173,206","165,086","168,395",11.9,"75,330","71,452","72,919",43.3,"28,482","25,809","26,843",15.9,"69,394","67,825","68,633",40.8
Texas - State,"304,828","52,846","51,991","52,442",17.2,"6,698","6,611","6,652",12.7,"5,663","5,523","5,630",10.7,"40,485","39,857","40,160",76.6
"Texas - Local, total","1,106,835","120,360","113,095","115,953",10.5,"68,632","64,841","66,267",57.1,"22,819","20,286","21,213",18.3,"28,909","27,968","28,473",24.6
Texas - Counties,"152,438","68,832","64,866","66,621",43.7,"20,904","19,991","20,545",30.8,"19,019","16,912","17,615",26.4,"28,909","27,963","28,461",42.7
Texas - Municipalities,"183,399","51,630","48,272","49,252",26.9,"47,800","44,894","45,711",92.8,"3,830","3,378","3,541",7.2,0,0,0,0
Utah - Total,"141,031","15,697","13,320","14,145",10,"7,161","5,543","6,049",42.8,"3,254","2,804","3,000",21.2,"5,282","4,973","5,096",36
Utah - State,"53,868","5,653","5,271","5,427",10.1,857,798,822,15.1,"1,636","1,522","1,573",29,"3,160","2,951","3,032",55.9
"Utah - Local, total","87,163","10,044","8,049","8,718",10,"6,304","4,745","5,227",60,"1,618","1,282","1,427",16.4,"2,122","2,022","2,064",23.7
Utah - Counties,"14,370","5,155","4,382","4,628",32.2,"2,097","1,554","1,703",36.8,938,808,865,18.7,"2,120","2,020","2,060",44.5
Utah - Municipalities,"15,040","4,887","3,660","4,050",26.9,"4,207","3,186","3,504",86.5,680,474,546,13.5,0,0,0,0
Vermont - Total,"39,531","3,614","3,252","3,364",8.5,"1,765","1,456","1,554",46.2,739,694,707,21,"1,110","1,102","1,103",32.8
Vermont - State,"14,314","2,479","2,397","2,412",16.9,675,622,632,26.2,697,675,679,28.2,"1,107","1,100","1,101",45.6
"Vermont - Local, total","25,217","1,135",855,952,3.8,"1,090",834,922,96.8,42,19,28,2.9,3,2,2,0.2
Vermont - Counties,64,30,11,21,32.8,6,5,6,28.6,24,6,15,71.4,0,0,0,0
Vermont - Municipalities,"2,173",536,423,491,22.6,521,412,480,97.8,12,9,9,1.8,3,2,2,0.4
Virginia - Total,"441,389","56,396","53,139","54,692",12.4,"22,034","20,620","21,327",39,"9,518","8,499","8,921",16.3,"24,844","24,020","24,444",44.7
Virginia - State,"125,234","20,841","20,044","20,374",16.3,"3,210","3,073","3,148",15.5,"4,017","3,685","3,757",18.4,"13,614","13,286","13,469",66.1
"Virginia - Local, total","316,155","35,555","33,095","34,318",10.9,"18,824","17,547","18,179",53,"5,501","4,814","5,164",15,"11,230","10,734","10,975",32
Virginia - Counties,"183,335","17,070","15,716","16,330",8.9,"9,441","8,746","9,074",55.6,"3,043","2,635","2,817",17.3,"4,586","4,335","4,439",27.2
Virginia - Municipalities,"120,367","16,489","15,415","15,929",13.2,"9,395","8,806","9,076",57,"2,460","2,180","2,320",14.6,"4,634","4,429","4,533",28.5
Washington - Total,"331,997","36,039","32,432","34,770",10.5,"14,046","13,656","13,804",39.7,"8,308","7,391","7,832",22.5,"13,685","11,385","13,134",37.8
Washington - State,"117,911","13,023","10,683","12,497",10.6,"2,209","2,168","2,183",17.5,"1,997","1,798","1,938",15.5,"8,817","6,717","8,376",67
"Washington - Local, total","214,086","23,016","21,749","22,273",10.4,"11,837","11,488","11,621",52.2,"6,311","5,593","5,894",26.5,"4,868","4,668","4,758",21.4
Washington - Counties,"40,028","14,284","13,354","13,673",34.2,"4,648","4,429","4,484",32.8,"5,064","4,545","4,728",34.6,"4,572","4,380","4,461",32.6
Washington - Municipalities,"39,776","8,446","8,173","8,309",20.9,"7,047","6,943","6,999",84.2,"1,090",931,"1,004",12.1,309,299,306,3.7
West Virginia - Total,"104,603","10,918","10,200","10,480",10,"4,238","3,827","3,991",38.1,"2,858","2,582","2,680",25.6,"3,822","3,791","3,809",36.3
West Virginia - State,"41,120","6,320","6,246","6,284",15.3,"1,056","1,036","1,044",16.6,"1,619","1,570","1,596",25.4,"3,645","3,640","3,644",58
"West Virginia - Local, total","63,483","4,598","3,954","4,196",6.6,"3,182","2,791","2,947",70.2,"1,239","1,012","1,084",25.8,177,151,165,3.9
West Virginia - Counties,"7,788","2,640","2,257","2,400",30.8,"1,363","1,183","1,243",51.8,"1,100",924,992,41.3,177,150,165,6.9
West Virginia - Municipalities,"9,725","1,985","1,686","1,791",18.4,"1,845","1,609","1,698",94.8,140,77,93,5.2,0,0,0,0
Wisconsin - Total,"274,500","37,621","32,660","34,494",12.6,"17,563","14,620","15,471",44.9,"6,133","5,062","5,462",15.8,"13,925","12,978","13,561",39.3
Wisconsin - State,"72,347","13,041","12,085","12,689",17.5,772,734,759,6,"2,390","2,099","2,263",17.8,"9,879","9,252","9,667",76.2
"Wisconsin - Local, total","202,153","24,580","20,575","21,805",10.8,"16,791","13,886","14,712",67.5,"3,743","2,963","3,199",14.7,"4,046","3,726","3,894",17.9
Wisconsin - Counties,"43,335","12,905","10,993","11,574",26.7,"5,981","4,889","5,141",44.4,"3,091","2,561","2,735",23.6,"3,833","3,543","3,698",32
Wisconsin - Municipalities,"36,482","10,964","9,067","9,687",26.6,"10,404","8,726","9,291",95.9,518,314,362,3.7,42,27,34,0.4
Wyoming - Total,"50,352","5,209","4,909","5,022",10,"2,071","1,952","1,993",39.7,"1,077",949,991,19.7,"2,061","2,008","2,038",40.6
Wyoming - State,"13,344","2,192","2,161","2,176",16.3,292,292,292,13.4,559,529,544,25,"1,341","1,340","1,340",61.6
"Wyoming - Local, total","37,008","3,017","2,748","2,846",7.7,"1,779","1,660","1,701",59.8,518,420,447,15.7,720,668,698,24.5
Wyoming - Counties,"7,849","1,730","1,590","1,648",21,649,613,625,37.9,374,321,339,20.6,707,656,684,41.5
Wyoming - Municipalities,"4,570","1,256","1,132","1,167",25.5,"1,114","1,034","1,060",90.8,142,98,107,9.2,0,0,0,0
Note: Local government data are estimates subject to variability. Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,
"a/Total full-time equivalent employment includes employment of states and all types of local governments, including independent school districts and special districts, which are not displayed separately. The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,
