Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee17t05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2017",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2017 - Preliminary NCJ 300017",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2017",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
North Carolina - State,"142,398","29,596","29,125","29,149",20.5,"3,174","3,169","3,170",10.9,"6,989","6,531","6,549",22.5,"19,433","19,425","19,430",66.7
"North Carolina - Local, total","417,360","33,251","30,790","31,851",7.6,"26,286","24,348","25,188",79.1,"1,327","1,146","1,218",3.8,"5,638","5,296","5,445",17.1
North Carolina - Counties,"311,414","16,680","15,324","15,900",5.1,"10,209","9,321","9,691",60.9,"1,082",936,997,6.3,"5,389","5,067","5,212",32.8
North Carolina - Municipalities,"61,320","16,571","15,466","15,950",26,"16,077","15,027","15,496",97.2,245,210,221,1.4,249,229,233,1.5
North Dakota - Total,"47,447","4,650","4,192","4,335",9.1,"1,938","1,848","1,874",43.2,"1,119",902,941,21.7,"1,593","1,442","1,520",35.1
North Dakota - State,"18,938","1,833","1,675","1,736",9.2,202,194,199,11.5,682,612,628,36.2,949,869,909,52.4
"North Dakota - Local, total","28,509","2,817","2,517","2,599",9.1,"1,736","1,654","1,675",64.4,437,290,313,12,644,573,611,23.5
North Dakota - Counties,"4,748","1,649","1,505","1,563",32.9,721,684,690,44.1,284,248,262,16.8,644,573,611,39.1
North Dakota - Municipalities,"4,791","1,142","1,012","1,036",21.6,"1,007",970,985,95.1,135,42,51,4.9,0,0,0,0
Ohio - Total,"587,895","78,792","70,461","74,159",12.6,"34,839","29,894","31,991",43.1,"21,363","18,606","19,871",26.8,"22,590","21,961","22,297",30.1
Ohio - State,"137,560","19,222","18,718","18,993",13.8,"2,640","2,623","2,630",13.8,"3,169","2,716","2,975",15.7,"13,413","13,379","13,388",70.5
"Ohio - Local, total","450,335","59,570","51,743","55,166",12.2,"32,199","27,271","29,361",53.2,"18,194","15,890","16,896",30.6,"9,177","8,582","8,909",16.1
Ohio - Counties,"90,167","30,244","28,148","29,171",32.4,"8,518","7,913","8,192",28.1,"13,180","12,129","12,623",43.3,"8,546","8,106","8,356",28.6
Ohio - Municipalities,"77,092","27,137","21,955","24,121",31.3,"21,536","17,731","19,311",80.1,"4,970","3,748","4,257",17.6,631,476,553,2.3
Oklahoma - Total,"211,138","23,227","21,707","22,267",10.5,"11,898","11,021","11,351",51,"4,476","3,959","4,125",18.5,"6,853","6,727","6,791",30.5
Oklahoma - State,"66,128","9,546","9,338","9,436",14.3,"1,945","1,889","1,917",20.3,"2,663","2,551","2,601",27.6,"4,938","4,898","4,918",52.1
"Oklahoma - Local, total","145,010","13,681","12,369","12,831",8.8,"9,953","9,132","9,434",73.5,"1,813","1,408","1,524",11.9,"1,915","1,829","1,873",14.6
Oklahoma - Counties,"17,079","5,502","5,153","5,305",31.1,"2,614","2,445","2,510",47.3,"1,101","1,003","1,049",19.8,"1,787","1,705","1,746",32.9
Oklahoma - Municipalities,"33,408","8,179","7,216","7,526",22.5,"7,339","6,687","6,924",92,712,405,475,6.3,128,124,127,1.7
Oregon - Total,"202,280","23,606","21,884","22,646",11.2,"9,345","8,683","8,968",39.6,"5,037","4,573","4,790",21.2,"9,224","8,628","8,888",39.2
Oregon - State,"71,614","10,166","9,692","9,905",13.8,"1,619","1,440","1,501",15.2,"3,150","2,996","3,086",31.2,"5,397","5,256","5,318",53.7
"Oregon - Local, total","130,666","13,440","12,192","12,741",9.8,"7,726","7,243","7,467",58.6,"1,887","1,577","1,704",13.4,"3,827","3,372","3,570",28
Oregon - Counties,"20,837","7,969","7,091","7,511",36,"2,727","2,472","2,610",34.7,"1,434","1,266","1,350",18,"3,808","3,353","3,551",47.3
Oregon - Municipalities,"21,210","5,470","5,100","5,229",24.7,"4,999","4,771","4,857",92.9,453,311,354,6.8,18,18,18,0.3
Pennsylvania - Total,"566,950","87,981","77,475","82,104",14.5,"37,606","29,623","33,059",40.3,"18,614","17,185","17,755",21.6,"31,761","30,667","31,290",38.1
Pennsylvania - State,"164,285","27,969","27,384","27,609",16.8,"6,843","6,606","6,679",24.2,"2,997","2,976","2,985",10.8,"18,129","17,802","17,945",65
"Pennsylvania - Local, total","402,665","60,012","50,091","54,495",13.5,"30,763","23,017","26,380",48.4,"15,617","14,209","14,770",27.1,"13,632","12,865","13,345",24.5
Pennsylvania - Counties,"55,585","26,660","24,174","25,379",45.7,"3,534","3,048","3,245",12.8,"12,129","10,892","11,420",45,"10,997","10,234","10,714",42.2
Pennsylvania - Municipalities,"54,986","25,437","19,921","22,341",40.6,"19,390","13,988","16,381",73.3,"3,415","3,305","3,331",14.9,"2,632","2,628","2,629",11.8
Rhode Island - Total,"47,462","5,837","5,556","5,650",11.9,"3,050","2,852","2,923",51.7,"1,315","1,238","1,260",22.3,"1,472","1,466","1,467",26
Rhode Island - State,"18,153","2,998","2,969","2,982",16.4,344,342,342,11.5,"1,182","1,161","1,173",39.3,"1,472","1,466","1,467",49.2
"Rhode Island - Local, total","29,309","2,839","2,587","2,668",9.1,"2,706","2,510","2,581",96.7,133,77,87,3.3,0,0,0,0
Rhode Island - Municipalities,"14,039","1,509","1,411","1,449",10.3,"1,427","1,345","1,380",95.2,82,66,69,4.8,0,0,0,0
South Carolina - Total,"268,206","31,374","29,744","30,395",11.3,"14,805","13,852","14,233",46.8,"5,480","4,931","5,137",16.9,"11,089","10,961","11,025",36.3
South Carolina - State,"79,834","10,602","10,480","10,542",13.2,"2,141","2,102","2,124",20.1,921,907,914,8.7,"7,540","7,471","7,504",71.2
"South Carolina - Local, total","188,372","20,772","19,264","19,853",10.5,"12,664","11,750","12,109",61,"4,559","4,024","4,223",21.3,"3,549","3,490","3,521",17.7
South Carolina - Counties,"36,598","13,968","13,070","13,480",36.8,"6,584","6,085","6,313",46.8,"3,931","3,590","3,742",27.8,"3,453","3,395","3,425",25.4
South Carolina - Municipalities,"21,905","6,804","6,194","6,373",29.1,"6,080","5,665","5,796",90.9,628,434,481,7.5,96,95,96,1.5
South Dakota - Total,"46,960","4,928","4,255","4,489",9.6,"2,244","1,955","2,040",45.4,"1,110",919,999,22.3,"1,574","1,381","1,450",32.3
South Dakota - State,"14,449","1,846","1,691","1,764",12.2,367,352,360,20.4,718,611,662,37.5,761,728,742,42.1
"South Dakota - Local, total","32,511","3,082","2,564","2,725",8.4,"1,877","1,603","1,680",61.7,392,308,337,12.4,813,653,708,26
South Dakota - Counties,"4,262","1,845","1,491","1,621",38,717,581,629,38.8,345,284,312,19.2,783,626,680,41.9
South Dakota - Municipalities,"6,504","1,223","1,073","1,104",17,"1,157","1,022","1,051",95.2,36,24,25,2.3,30,27,28,2.5
Tennessee - Total,"326,878","42,736","39,838","41,327",12.6,"22,119","20,442","21,339",51.6,"8,380","7,546","7,956",19.3,"12,237","11,850","12,032",29.1
Tennessee - State,"79,525","10,459","10,421","10,437",13.1,"1,791","1,785","1,789",17.1,"2,581","2,560","2,565",24.6,"6,087","6,076","6,083",58.3
"Tennessee - Local, total","247,353","32,277","29,417","30,890",12.5,"20,328","18,657","19,550",63.3,"5,799","4,986","5,391",17.5,"6,150","5,774","5,949",19.3
Tennessee - Counties,"160,816","17,493","16,011","16,717",10.4,"7,876","7,249","7,537",45.1,"4,611","4,052","4,331",25.9,"5,006","4,710","4,849",29
Tennessee - Municipalities,"77,072","14,784","13,406","14,173",18.4,"12,452","11,408","12,013",84.8,"1,188",934,"1,060",7.5,"1,144","1,064","1,100",7.8
Texas - Total,"1,516,640","180,107","172,806","175,986",11.6,"79,169","75,879","77,161",43.8,"30,857","28,336","29,504",16.8,"70,081","68,591","69,321",39.4
Texas - State,"314,606","55,390","54,487","54,928",17.5,"7,504","7,454","7,480",13.6,"5,812","5,569","5,688",10.4,"42,074","41,464","41,760",76
"Texas - Local, total","1,202,034","124,717","118,319","121,058",10.1,"71,665","68,425","69,681",57.6,"25,045","22,767","23,816",19.7,"28,007","27,127","27,561",22.8
Texas - Counties,"159,696","69,204","66,432","67,807",42.5,"22,058","21,429","21,689",32,"19,748","18,454","19,149",28.2,"27,398","26,549","26,969",39.8
Texas - Municipalities,"192,115","55,513","51,887","53,251",27.7,"49,607","46,996","47,992",90.1,"5,297","4,313","4,667",8.8,609,578,592,1.1
Utah - Total,"154,014","16,745","14,187","15,055",9.8,"7,779","5,940","6,488",43.1,"3,317","2,897","3,084",20.5,"5,649","5,350","5,483",36.4
Utah - State,"60,529","6,055","5,601","5,808",9.6,994,874,910,15.7,"1,618","1,505","1,571",27,"3,443","3,222","3,327",57.3
"Utah - Local, total","93,485","10,690","8,586","9,247",9.9,"6,785","5,066","5,578",60.3,"1,699","1,392","1,513",16.4,"2,206","2,128","2,156",23.3
Utah - Counties,"15,485","5,319","4,708","4,892",31.6,"2,092","1,663","1,770",36.2,"1,021",917,966,19.7,"2,206","2,128","2,156",44.1
Utah - Municipalities,"17,046","5,335","3,854","4,326",25.4,"4,657","3,379","3,779",87.4,678,475,547,12.6,0,0,0,0
Vermont - Total,"38,032","3,598","3,142","3,283",8.6,"1,744","1,395","1,489",45.4,750,662,699,21.3,"1,104","1,085","1,095",33.4
Vermont - State,"14,319","2,476","2,290","2,351",16.4,668,570,592,25.2,712,640,672,28.6,"1,096","1,080","1,087",46.2
"Vermont - Local, total","23,713","1,122",852,932,3.9,"1,076",825,897,96.2,38,22,27,2.9,8,5,8,0.9
Vermont - Counties,42,42,23,29,69,18,12,14,48.3,24,11,15,51.7,0,0,0,0
Vermont - Municipalities,"1,755",465,389,408,23.2,451,377,395,96.8,11,10,10,2.5,3,2,3,0.7
Virginia - Total,"450,545","57,540","53,756","55,698",12.4,"22,655","21,122","21,908",39.3,"9,976","8,768","9,365",16.8,"24,909","23,866","24,425",43.9
Virginia - State,"125,626","20,610","19,697","20,092",16,"3,213","3,049","3,121",15.5,"4,109","3,756","3,844",19.1,"13,288","12,892","13,127",65.3
"Virginia - Local, total","324,919","36,930","34,059","35,606",11,"19,442","18,073","18,787",52.8,"5,867","5,012","5,521",15.5,"11,621","10,974","11,298",31.7
Virginia - Counties,"201,771","17,812","16,158","17,113",8.5,"10,146","9,355","9,773",57.1,"3,816","3,237","3,607",21.1,"3,850","3,566","3,733",21.8
Virginia - Municipalities,"107,226","15,057","13,936","14,480",13.5,"9,296","8,718","9,014",62.3,"2,051","1,775","1,914",13.2,"3,710","3,443","3,552",24.5
Washington - Total,"383,829","37,436","35,751","36,524",9.5,"14,611","14,251","14,414",39.5,"9,022","8,290","8,583",23.5,"13,803","13,210","13,527",37
Washington - State,"128,573","13,447","12,933","13,166",10.2,"2,209","2,155","2,174",16.5,"2,132","2,062","2,098",15.9,"9,106","8,716","8,894",67.6
"Washington - Local, total","255,256","23,989","22,818","23,358",9.2,"12,402","12,096","12,240",52.4,"6,890","6,228","6,485",27.8,"4,697","4,494","4,633",19.8
Washington - Counties,"35,883","14,041","13,354","13,689",38.1,"4,289","4,212","4,246",31,"5,488","5,060","5,234",38.2,"4,264","4,082","4,209",30.7
Washington - Municipalities,"41,026","9,948","9,464","9,669",23.6,"8,113","7,884","7,994",82.7,"1,402","1,168","1,251",12.9,433,412,424,4.4
West Virginia - Total,"102,013","10,738","10,056","10,304",10.1,"4,197","3,797","3,936",38.2,"2,992","2,743","2,832",27.5,"3,549","3,516","3,536",34.3
West Virginia - State,"39,416","6,055","5,978","6,017",15.3,"1,026",988,999,16.6,"1,699","1,670","1,689",28.1,"3,330","3,320","3,329",55.3
"West Virginia - Local, total","62,597","4,683","4,078","4,287",6.8,"3,171","2,809","2,937",68.5,"1,293","1,073","1,143",26.7,219,196,207,4.8
West Virginia - Counties,"7,813","2,599","2,396","2,478",31.7,"1,252","1,196","1,218",49.2,"1,128","1,004","1,053",42.5,219,196,207,8.4
West Virginia - Municipalities,"9,510","2,084","1,682","1,809",19,"1,919","1,613","1,719",95,165,69,90,5,0,0,0,0
Wisconsin - Total,"284,282","37,991","32,856","34,809",12.2,"17,861","14,966","15,809",45.4,"6,375","5,261","5,664",16.3,"13,755","12,629","13,336",38.3
Wisconsin - State,"72,751","12,988","11,818","12,574",17.3,819,779,806,6.4,"2,487","2,193","2,366",18.8,"9,682","8,846","9,402",74.8
"Wisconsin - Local, total","211,531","25,003","21,038","22,235",10.5,"17,042","14,187","15,003",67.5,"3,888","3,068","3,298",14.8,"4,073","3,783","3,934",17.7
Wisconsin - Counties,"40,946","12,508","11,403","11,863",29,"5,390","4,929","5,097",43,"3,103","2,723","2,872",24.2,"4,015","3,751","3,894",32.8
Wisconsin - Municipalities,"35,579","11,966","9,440","10,129",28.5,"11,248","9,080","9,687",95.6,661,328,402,4,57,32,40,0.4
Wyoming - Total,"50,601","5,004","4,685","4,824",9.5,"2,055","1,928","1,977",41,"1,052",908,976,20.2,"1,897","1,849","1,871",38.8
Wyoming - State,"13,088","2,041","1,990","2,024",15.5,282,282,282,13.9,565,518,549,27.1,"1,194","1,190","1,193",58.9
"Wyoming - Local, total","37,513","2,963","2,695","2,800",7.5,"1,773","1,646","1,695",60.5,487,390,427,15.3,703,659,678,24.2
Wyoming - Counties,"7,908","1,750","1,628","1,685",21.3,709,669,684,40.6,350,312,335,19.9,691,647,666,39.5
Wyoming - Municipalities,"4,250","1,206","1,060","1,108",26.1,"1,064",977,"1,011",91.2,137,78,92,8.3,5,5,5,0.5
Note: Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available. ,,,,,,,,,,,,,,,,,
"a/Total full-time equivalent employment includes employment of states and all types of local governments, including independent school districts and special districts, which are not displayed separately. The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,
