Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee15fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2015",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2015 - Final (Update) NCJ 254125",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2015",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
New York - Municipalities,"700,605","88,339","80,893","84,479",12.1,"67,545","61,733","64,458",76.3,"8,149","6,636","7,386",8.7,"12,645","12,524","12,635",15
North Carolina - Total,"541,123","61,541","58,586","59,596",11,"28,991","27,074","27,820",46.7,"7,830","7,162","7,256",12.2,"24,720","24,350","24,520",41.1
North Carolina - State,"140,669","28,969","28,473","28,502",20.3,"3,157","3,149","3,150",11.1,"6,775","6,297","6,318",22.2,"19,037","19,027","19,034",66.8
"North Carolina - Local, total","400,454","32,572","30,113","31,094",7.8,"25,834","23,925","24,670",79.3,"1,055",865,938,3,"5,683","5,323","5,486",17.6
North Carolina - Counties,"303,648","17,045","15,451","16,056",5.3,"10,795","9,704","10,088",62.8,875,697,762,4.7,"5,375","5,050","5,206",32.4
North Carolina - Municipalities,"57,886","15,527","14,662","15,038",26,"15,039","14,221","14,582",97,180,168,176,1.2,308,273,280,1.9
North Dakota - Total,"47,411","4,478","4,032","4,169",8.8,"1,836","1,763","1,786",42.8,"1,075",876,920,22.1,"1,567","1,393","1,463",35.1
North Dakota - State,"19,339","1,788","1,637","1,694",8.8,198,193,196,11.6,653,596,611,36.1,937,848,887,52.4
"North Dakota - Local, total","28,072","2,690","2,395","2,475",8.8,"1,638","1,570","1,590",64.2,422,280,309,12.5,630,545,576,23.3
North Dakota - Counties,"4,378","1,497","1,329","1,388",31.7,588,556,563,40.6,279,228,249,17.9,630,545,576,41.5
North Dakota - Municipalities,"4,829","1,193","1,066","1,087",22.5,"1,050","1,014","1,027",94.5,143,52,60,5.5,0,0,0,0
Ohio - Total,"583,771","77,620","69,227","72,745",12.5,"34,288","29,347","31,305",43,"21,473","18,696","19,893",27.3,"21,859","21,184","21,547",29.6
Ohio - State,"138,038","18,930","18,432","18,719",13.6,"2,570","2,559","2,568",13.7,"3,331","2,860","3,124",16.7,"13,029","13,013","13,027",69.6
"Ohio - Local, total","445,733","58,690","50,795","54,026",12.1,"31,718","26,788","28,737",53.2,"18,142","15,836","16,769",31,"8,830","8,171","8,520",15.8
Ohio - Counties,"93,155","30,604","27,886","29,152",31.3,"9,083","8,079","8,532",29.3,"13,343","12,134","12,672",43.5,"8,178","7,673","7,948",27.3
Ohio - Municipalities,"81,793","26,664","21,992","23,870",29.2,"21,224","17,798","19,208",80.5,"4,788","3,696","4,090",17.1,652,498,572,2.4
Oklahoma - Total,"217,348","23,288","21,648","22,203",10.2,"12,068","11,096","11,447",51.6,"4,757","4,239","4,368",19.7,"6,463","6,313","6,388",28.8
Oklahoma - State,"68,785","9,410","9,216","9,299",13.5,"1,954","1,915","1,932",20.8,"2,938","2,829","2,875",30.9,"4,518","4,472","4,492",48.3
"Oklahoma - Local, total","148,563","13,878","12,432","12,904",8.7,"10,114","9,181","9,515",73.7,"1,819","1,410","1,493",11.6,"1,945","1,841","1,896",14.7
Oklahoma - Counties,"17,061","5,829","5,118","5,319",31.2,"2,870","2,400","2,514",47.3,"1,143",995,"1,033",19.4,"1,816","1,723","1,772",33.3
Oklahoma - Municipalities,"34,476","8,049","7,314","7,585",22,"7,244","6,781","7,001",92.3,676,415,460,6.1,129,118,124,1.6
Oregon - Total,"192,261","23,060","21,364","22,063",11.5,"9,203","8,567","8,816",40,"4,941","4,465","4,679",21.2,"8,916","8,332","8,568",38.8
Oregon - State,"66,775","9,884","9,433","9,620",14.4,"1,485","1,337","1,370",14.2,"3,155","2,990","3,086",32.1,"5,244","5,106","5,164",53.7
"Oregon - Local, total","125,486","13,176","11,931","12,443",9.9,"7,718","7,230","7,446",59.8,"1,786","1,475","1,593",12.8,"3,672","3,226","3,404",27.4
Oregon - Counties,"20,136","7,775","6,845","7,239",36,"2,767","2,480","2,615",36.1,"1,356","1,159","1,240",17.1,"3,652","3,206","3,384",46.7
Oregon - Municipalities,"21,557","5,401","5,086","5,204",24.1,"4,951","4,750","4,831",92.8,430,316,353,6.8,20,20,20,0.4
Pennsylvania - Total,"567,643","88,480","76,957","81,520",14.4,"37,451","28,999","32,160",39.5,"18,646","17,163","17,721",21.7,"32,383","30,795","31,639",38.8
Pennsylvania - State,"163,453","28,837","27,711","28,206",17.3,"6,973","6,596","6,717",23.8,"3,002","2,981","2,992",10.6,"18,862","18,134","18,497",65.6
"Pennsylvania - Local, total","404,190","59,643","49,246","53,314",13.2,"30,478","22,403","25,443",47.7,"15,644","14,182","14,729",27.6,"13,521","12,661","13,142",24.7
Pennsylvania - Counties,"58,256","27,029","22,957","24,323",41.8,"4,764","2,976","3,388",13.9,"11,905","10,478","10,985",45.2,"10,360","9,503","9,950",40.9
Pennsylvania - Municipalities,"64,229","28,266","23,093","25,350",39.5,"21,368","16,233","18,417",72.7,"3,737","3,702","3,741",14.8,"3,161","3,158","3,192",12.6
Rhode Island - Total,"48,015","5,924","5,675","5,750",12,"3,100","2,933","2,988",52,"1,332","1,256","1,275",22.2,"1,492","1,486","1,487",25.9
Rhode Island - State,"18,338","3,030","3,001","3,015",16.4,338,337,337,11.2,"1,200","1,178","1,191",39.5,"1,492","1,486","1,487",49.3
"Rhode Island - Local, total","29,677","2,894","2,674","2,735",9.2,"2,762","2,596","2,651",96.9,132,78,84,3.1,0,0,0,0
Rhode Island - Municipalities,"15,674","1,746","1,635","1,665",10.6,"1,666","1,572","1,601",96.2,80,63,64,3.8,0,0,0,0
South Carolina - Total,"262,077","31,439","29,719","30,415",11.6,"14,680","13,688","14,082",46.3,"5,179","4,608","4,829",15.9,"11,580","11,423","11,504",37.8
South Carolina - State,"80,181","11,091","10,953","11,028",13.8,"2,078","2,039","2,063",18.7,899,886,893,8.1,"8,114","8,028","8,072",73.2
"South Carolina - Local, total","181,896","20,348","18,766","19,387",10.7,"12,602","11,649","12,019",62,"4,280","3,722","3,936",20.3,"3,466","3,395","3,432",17.7
South Carolina - Counties,"33,479","14,119","12,928","13,405",40,"6,956","6,302","6,560",48.9,"3,769","3,303","3,485",26,"3,394","3,323","3,360",25.1
South Carolina - Municipalities,"21,761","6,229","5,838","5,982",27.5,"5,646","5,347","5,459",91.3,511,419,451,7.5,72,72,72,1.2
South Dakota - Total,"46,577","4,896","4,337","4,542",9.8,"2,198","1,963","2,040",44.9,"1,071",899,969,21.3,"1,627","1,475","1,533",33.8
South Dakota - State,"14,438","1,916","1,775","1,846",12.8,358,341,349,18.9,689,596,645,34.9,869,838,852,46.2
"South Dakota - Local, total","32,139","2,980","2,562","2,696",8.4,"1,840","1,622","1,691",62.7,382,303,324,12,758,637,681,25.3
South Dakota - Counties,"3,699","1,623","1,356","1,450",39.2,567,468,500,34.5,323,275,293,20.2,733,613,657,45.3
South Dakota - Municipalities,"6,947","1,357","1,206","1,246",17.9,"1,273","1,154","1,191",95.6,59,28,31,2.5,25,24,24,1.9
Tennessee - Total,"324,502","42,463","39,579","40,847",12.6,"21,965","20,228","20,992",51.4,"7,872","7,113","7,412",18.1,"12,626","12,238","12,443",30.5
Tennessee - State,"78,383","11,269","11,212","11,234",14.3,"1,783","1,776","1,780",15.8,"2,553","2,518","2,527",22.5,"6,933","6,918","6,927",61.7
"Tennessee - Local, total","246,119","31,194","28,367","29,613",12,"20,182","18,452","19,212",64.9,"5,319","4,595","4,885",16.5,"5,693","5,320","5,516",18.6
Tennessee - Counties,"154,507","16,167","14,724","15,299",9.9,"7,893","7,238","7,448",48.7,"4,055","3,510","3,739",24.4,"4,219","3,976","4,112",26.9
Tennessee - Municipalities,"81,486","15,027","13,643","14,314",17.6,"12,289","11,214","11,764",82.2,"1,264","1,085","1,146",8,"1,474","1,344","1,404",9.8
Texas - Total,"1,457,794","175,507","168,143","171,225",11.7,"77,001","73,755","75,090",43.9,"29,494","26,809","27,851",16.3,"69,012","67,579","68,284",39.9
Texas - State,"304,330","52,128","51,349","51,790",17,"6,803","6,740","6,772",13.1,"5,711","5,537","5,686",11,"39,614","39,072","39,332",75.9
"Texas - Local, total","1,153,464","123,379","116,794","119,435",10.4,"70,198","67,015","68,318",57.2,"23,783","21,272","22,165",18.6,"29,398","28,507","28,952",24.2
Texas - Counties,"156,593","70,460","66,493","68,174",43.5,"22,104","21,102","21,660",31.8,"19,335","17,242","17,923",26.3,"29,021","28,149","28,591",41.9
Texas - Municipalities,"189,347","52,919","50,301","51,261",27.1,"48,094","45,913","46,658",91,"4,448","4,030","4,242",8.3,377,358,361,0.7
Utah - Total,"142,858","16,227","13,609","14,480",10.1,"7,496","5,692","6,228",43,"3,255","2,764","2,961",20.4,"5,476","5,153","5,291",36.5
Utah - State,"55,380","5,753","5,324","5,518",10,973,875,911,16.5,"1,592","1,469","1,531",27.7,"3,188","2,980","3,076",55.7
"Utah - Local, total","87,478","10,474","8,285","8,962",10.2,"6,523","4,817","5,317",59.3,"1,663","1,295","1,430",16,"2,288","2,173","2,215",24.7
Utah - Counties,"14,166","5,286","4,445","4,666",32.9,"1,979","1,452","1,565",33.5,"1,019",820,886,19,"2,288","2,173","2,215",47.5
Utah - Municipalities,"16,248","5,142","3,814","4,257",26.2,"4,498","3,339","3,713",87.2,644,475,544,12.8,0,0,0,0
Vermont - Total,"40,482","3,627","3,217","3,325",8.2,"1,743","1,411","1,507",45.3,772,697,707,21.3,"1,112","1,109","1,111",33.4
Vermont - State,"14,564","2,501","2,393","2,412",16.6,688,612,625,25.9,704,674,679,28.2,"1,109","1,107","1,108",45.9
"Vermont - Local, total","25,918","1,126",824,913,3.5,"1,055",799,882,96.6,68,23,28,3.1,3,2,3,0.3
Vermont - Counties,49,35,18,23,46.9,7,6,7,30.4,28,12,16,69.6,0,0,0,0
Vermont - Municipalities,"2,162",507,394,429,19.8,494,383,416,97,10,9,10,2.3,3,2,3,0.7
Virginia - Total,"443,933","57,211","53,884","55,382",12.5,"22,643","21,207","21,851",39.5,"9,608","8,591","9,009",16.3,"24,960","24,086","24,522",44.3
Virginia - State,"125,749","20,704","19,916","20,227",16.1,"3,281","3,132","3,202",15.8,"4,062","3,757","3,833",18.9,"13,361","13,027","13,192",65.2
"Virginia - Local, total","318,184","36,507","33,968","35,155",11,"19,362","18,075","18,649",53,"5,546","4,834","5,176",14.7,"11,599","11,059","11,330",32.2
Virginia - Counties,"188,249","17,251","15,906","16,561",8.8,"9,810","9,119","9,452",57.1,"3,261","2,860","3,063",18.5,"4,180","3,927","4,046",24.4
Virginia - Municipalities,"116,407","16,430","15,291","15,788",13.6,"9,552","8,956","9,197",58.3,"2,286","1,974","2,113",13.4,"4,592","4,361","4,478",28.4
Washington - Total,"343,231","36,905","34,773","35,791",10.4,"14,489","14,126","14,278",39.9,"8,814","7,966","8,312",23.2,"13,602","12,681","13,201",36.9
Washington - State,"122,220","12,914","12,123","12,602",10.3,"2,238","2,200","2,211",17.5,"2,045","1,924","1,992",15.8,"8,631","7,999","8,399",66.6
"Washington - Local, total","221,011","23,991","22,650","23,189",10.5,"12,251","11,926","12,067",52,"6,769","6,042","6,320",27.3,"4,971","4,682","4,802",20.7
Washington - Counties,"39,959","15,231","14,209","14,595",36.5,"4,961","4,783","4,843",33.2,"5,658","5,087","5,304",36.3,"4,612","4,339","4,448",30.5
Washington - Municipalities,"41,372","8,760","8,441","8,594",20.8,"7,290","7,143","7,224",84.1,"1,111",955,"1,016",11.8,359,343,354,4.1
West Virginia - Total,"102,470","10,946","10,211","10,511",10.3,"4,278","3,887","4,037",38.4,"2,949","2,684","2,781",26.5,"3,719","3,640","3,693",35.1
West Virginia - State,"40,096","6,258","6,153","6,219",15.5,"1,089","1,063","1,072",17.2,"1,663","1,630","1,649",26.5,"3,506","3,460","3,498",56.2
"West Virginia - Local, total","62,374","4,688","4,058","4,292",6.9,"3,189","2,824","2,965",69.1,"1,286","1,054","1,132",26.4,213,180,195,4.5
West Virginia - Counties,"7,553","2,641","2,311","2,439",32.3,"1,308","1,170","1,222",50.1,"1,120",961,"1,022",41.9,213,180,195,8
West Virginia - Municipalities,"10,022","2,047","1,747","1,853",18.5,"1,881","1,654","1,743",94.1,166,93,110,5.9,0,0,0,0
Wisconsin - Total,"285,825","37,852","32,981","34,670",12.1,"18,029","15,022","15,873",45.8,"6,032","5,008","5,392",15.6,"13,791","12,951","13,405",38.7
Wisconsin - State,"74,383","12,863","12,048","12,513",16.8,911,882,897,7.2,"2,225","1,986","2,127",17,"9,727","9,180","9,489",75.8
"Wisconsin - Local, total","211,442","24,989","20,933","22,157",10.5,"17,118","14,140","14,976",67.6,"3,807","3,022","3,265",14.7,"4,064","3,771","3,916",17.7
Wisconsin - Counties,"44,642","13,687","11,714","12,302",27.6,"6,416","5,273","5,537",45,"3,263","2,703","2,891",23.5,"4,008","3,738","3,874",31.5
Wisconsin - Municipalities,"35,036","11,102","9,103","9,723",27.8,"10,516","8,755","9,311",95.8,530,315,370,3.8,56,33,42,0.4
Wyoming - Total,"50,723","5,033","4,751","4,873",9.6,"1,997","1,903","1,936",39.7,"1,059",928,984,20.2,"1,977","1,920","1,953",40.1
Wyoming - State,"13,438","2,104","2,051","2,085",15.5,271,271,271,13,564,514,546,26.2,"1,269","1,266","1,268",60.8
"Wyoming - Local, total","37,285","2,929","2,700","2,788",7.5,"1,726","1,632","1,665",59.7,495,414,438,15.7,708,654,685,24.6
Wyoming - Counties,"7,741","1,659","1,548","1,602",20.7,608,581,592,37,351,321,333,20.8,700,646,677,42.3
Wyoming - Municipalities,"4,688","1,270","1,152","1,186",25.3,"1,118","1,051","1,073",90.5,144,93,105,8.9,8,8,8,0.7
Note: Local government data are estimates subject to variability. Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,
"a/Total full-time equivalent employment includes employment of states and all types of local governments, including independent school districts and special districts, which are not displayed separately. The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,
