Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
Filename:  cjee0705.csv,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2007",,,,,,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2007, NCJ 231540",,,,,,,,,,,,,,,,,,,,,,
Data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
Date of version:  9/14/2010,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by state and type of government, March 2007",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
Counties,"4,060","1,329","1,012","1,179",29,,311,214,253,21.5,,336,158,264,22.4,,682,640,662,56.1,,Counties
Municipalities,"19,277","3,657","2,829","3,100",16.1,,"3,571","2,763","3,029",97.7,,81,61,66,2.1,,5,5,5,0.2,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
New Jersey,"513,111","82,358","72,329","75,684",15,,"41,453","33,792","36,424",48.1,,"23,660","21,444","22,083",29.2,,"17,245","17,093","17,177",22.7,,New Jersey
State,"155,685","29,381","29,089","29,224",18.8,,"4,611","4,576","4,592",15.7,,"14,592","14,349","14,462",49.5,,"10,178","10,164","10,170",34.8,,State
"Local, total","357,426","52,977","43,240","46,460",13.3,,"36,842","29,216","31,832",68.5,,"9,068","7,095","7,621",16.4,,"7,067","6,929","7,007",15.1,,"Local, total"
Counties,"69,321","15,142","14,838","14,992",21.6,,"3,494","3,400","3,442",23,,"4,597","4,509","4,548",30.3,,"7,051","6,929","7,002",46.7,,Counties
Municipalities,"99,174","37,835","28,402","31,468",31.7,,"33,348","25,816","28,390",90.2,,"4,471","2,586","3,073",9.8,,16,0,5,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
New Mexico,"133,660","16,636","15,757","16,198",12.2,,"6,509","5,932","6,220",38.4,,"3,646","3,402","3,523",21.7,,"6,481","6,423","6,455",39.9,,New Mexico
State,"52,255","7,794","7,648","7,731",14.8,,690,690,690,8.9,,"3,127","2,996","3,070",39.7,,"3,977","3,962","3,971",51.4,,State
"Local, total","81,405","8,842","8,109","8,467",10.5,,"5,819","5,242","5,530",65.3,,519,406,453,5.4,,"2,504","2,461","2,484",29.3,,"Local, total"
Counties,"9,465","3,798","3,568","3,710",39.2,,"1,727","1,584","1,673",45.1,,117,71,102,2.7,,"1,954","1,913","1,935",52.2,,Counties
Municipalities,"18,813","5,044","4,541","4,757",25.3,,"4,092","3,658","3,857",81.1,,402,335,351,7.4,,550,548,549,11.5,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
New York,"1,232,744","193,785","172,873","182,364",14.8,,"98,023","83,225","90,321",49.5,,"35,528","30,588","32,301",17.7,,"60,234","59,060","59,742",32.8,,New York
State,"253,354","61,647","60,306","61,216",24.2,,"6,480","6,325","6,423",10.5,,"20,608","19,886","20,425",33.4,,"34,559","34,095","34,368",56.1,,State
"Local, total","979,390","132,138","112,567","121,148",12.4,,"91,543","76,900","83,898",69.3,,"14,920","10,702","11,876",9.8,,"25,675","24,965","25,374",20.9,,"Local, total"
Counties,"123,970","34,821","31,442","33,287",26.9,,"18,034","15,805","16,990",51,,"4,458","3,889","4,183",12.6,,"12,329","11,748","12,114",36.4,,Counties
Municipalities,"524,817","97,317","81,125","87,861",16.7,,"73,509","61,095","66,908",76.2,,"10,462","6,813","7,693",8.8,,"13,346","13,217","13,260",15.1,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
North Carolina,"542,180","61,052","58,272","59,532",10.6,,"27,064","25,377","26,030",43.7,,"7,423","7,256","7,338",12.3,,"26,565","25,639","26,164",43.9,,North Carolina
State,"142,985","32,134","31,444","31,847",22.3,,"3,803","3,791","3,797",11.9,,"6,633","6,583","6,609",20.8,,"21,698","21,070","21,441",67.3,,State
"Local, total","399,195","28,918","26,828","27,685",6.6,,"23,261","21,586","22,233",80.3,,790,673,729,2.6,,"4,867","4,569","4,723",17.1,,"Local, total"
Counties,"323,787","13,948","12,872","13,370",4.1,,"8,659","7,963","8,258",61.8,,649,552,603,4.5,,"4,640","4,357","4,509",33.7,,Counties
Municipalities,"53,210","14,970","13,956","14,315",26.9,,"14,602","13,623","13,975",97.6,,141,121,126,0.9,,227,212,214,1.5,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
North Dakota,"41,431","3,649","3,163","3,288",8,,"1,541","1,428","1,448",44,,"1,001",778,816,24.8,,"1,107",957,"1,024",31.1,,North Dakota
State,"17,918","1,515","1,365","1,421",7.9,,193,184,190,13.4,,566,521,531,37.4,,756,660,700,49.3,,State
"Local, total","23,513","2,134","1,798","1,867",8,,"1,348","1,244","1,258",67.4,,435,257,285,15.3,,351,297,324,17.4,,"Local, total"
Counties,"3,964","1,166","1,018","1,073",27.1,,533,499,507,47.3,,282,222,242,22.6,,351,297,324,30.2,,Counties
Municipalities,"3,484",968,780,794,22.8,,815,745,751,94.6,,153,35,43,5.4,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Ohio,"613,581","83,983","75,326","78,706",12.7,,"35,824","30,825","32,697",41.5,,"22,144","19,143","20,343",25.8,,"26,015","25,358","25,666",32.6,,Ohio
State,"143,206","22,503","21,877","22,184",15.5,,"2,714","2,704","2,711",12.2,,"3,026","2,494","2,748",12.4,,"16,763","16,679","16,725",75.4,,State
"Local, total","470,375","61,480","53,449","56,522",11.8,,"33,110","28,121","29,986",53.1,,"19,118","16,649","17,595",31.1,,"9,252","8,679","8,941",15.8,,"Local, total"
Counties,"99,459","30,768","28,783","29,702",29.9,,"8,257","7,790","8,025",27,,"13,954","12,868","13,356",45,,"8,557","8,125","8,321",28,,Counties
Municipalities,"90,489","30,712","24,666","26,820",29.6,,"24,853","20,331","21,961",81.9,,"5,164","3,781","4,239",15.8,,695,554,620,2.3,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,"215,723","24,047","22,229","22,884",10.7,,"11,936","10,952","11,290",49.3,,"4,841","4,321","4,490",19.6,,"7,270","6,956","7,104",31,,Oklahoma
State,"69,961","10,629","10,257","10,425",14.9,,"1,904","1,861","1,887",18.1,,"2,850","2,733","2,780",26.7,,"5,875","5,663","5,758",55.2,,State
"Local, total","145,762","13,418","11,972","12,459",8.6,,"10,032","9,091","9,403",75.5,,"1,991","1,588","1,710",13.7,,"1,395","1,293","1,346",10.8,,"Local, total"
Counties,"18,074","5,383","4,904","5,106",28.3,,"2,842","2,596","2,679",52.5,,"1,250","1,110","1,179",23.1,,"1,291","1,198","1,248",24.4,,Counties
Municipalities,"32,081","8,035","7,068","7,353",22.9,,"7,190","6,495","6,724",91.4,,741,478,531,7.2,,104,95,98,1.3,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Oregon,"190,197","23,231","21,403","22,179",11.7,,"9,414","8,821","9,014",40.6,,"4,957","4,378","4,674",21.1,,"8,860","8,204","8,491",38.3,,Oregon
State,"59,619","9,722","9,188","9,489",15.9,,"1,398","1,255","1,285",13.5,,"3,202","2,934","3,110",32.8,,"5,122","4,999","5,094",53.7,,State
"Local, total","130,578","13,509","12,215","12,690",9.7,,"8,016","7,566","7,729",60.9,,"1,755","1,444","1,564",12.3,,"3,738","3,205","3,397",26.8,,"Local, total"
Counties,"20,644","7,935","7,097","7,429",36,,"2,918","2,761","2,820",38,,"1,351","1,181","1,263",17,,"3,666","3,155","3,346",45,,Counties
Municipalities,"20,542","5,574","5,118","5,261",25.6,,"5,098","4,805","4,909",93.3,,404,263,301,5.7,,72,50,51,1,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Pennsylvania,"594,225","87,993","76,945","81,670",13.8,,"37,723","29,631","33,051",40.5,,"19,223","17,718","18,249",22.3,,"31,047","29,596","30,370",37.2,,Pennsylvania
State,"160,177","27,063","26,550","26,761",16.7,,"6,447","6,383","6,419",24,,"3,006","3,006","3,006",11.2,,"17,610","17,161","17,336",64.8,,State
"Local, total","434,048","60,930","50,395","54,909",12.7,,"31,276","23,248","26,632",48.5,,"16,217","14,712","15,243",27.8,,"13,437","12,435","13,034",23.7,,"Local, total"
Counties,"61,076","26,690","23,882","25,206",41.3,,"3,224","2,722","2,944",11.7,,"12,484","11,173","11,677",46.3,,"10,982","9,987","10,585",42,,Counties
Municipalities,"76,616","34,240","26,513","29,703",38.8,,"28,052","20,526","23,688",79.7,,"3,733","3,539","3,566",12,,"2,455","2,448","2,449",8.2,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Rhode Island,"53,798","6,798","6,370","6,540",12.6,,"3,685","3,340","3,488",53.3,,"1,372","1,294","1,315",20.1,,"1,741","1,736","1,737",26.6,,Rhode Island
State,"20,435","3,287","3,264","3,275",16,,311,309,310,9.5,,"1,235","1,219","1,228",37.5,,"1,741","1,736","1,737",53,,State
"Local, total","33,363","3,511","3,106","3,265",10.3,,"3,374","3,031","3,178",97.3,,137,75,87,2.7,,0,0,0,0,,"Local, total"
Municipalities,"30,713","3,511","3,106","3,265",10.6,,"3,374","3,031","3,178",97.3,,137,75,87,2.7,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
South Carolina,"254,272","28,720","27,201","27,849",10.7,,"13,564","12,741","13,053",46.9,,"4,496","3,873","4,164",15,,"10,660","10,587","10,632",38.2,,South Carolina
State,"76,213","10,570","10,560","10,564",13.9,,"2,056","2,052","2,054",19.4,,703,700,701,6.6,,"7,811","7,808","7,809",73.9,,State
"Local, total","178,059","18,150","16,641","17,285",9.4,,"11,508","10,689","10,999",63.6,,"3,793","3,173","3,463",20,,"2,849","2,779","2,823",16.3,,"Local, total"
Counties,"31,114","11,786","10,782","11,273",36.2,,"5,738","5,236","5,446",48.3,,"3,232","2,798","3,037",26.9,,"2,816","2,748","2,790",24.7,,Counties
Municipalities,"20,189","6,364","5,859","6,012",29.8,,"5,770","5,453","5,553",92.4,,561,375,426,7.1,,33,31,33,0.5,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
South Dakota,"43,421","4,558","4,009","4,196",9.6,,"1,983","1,758","1,826",43.5,,999,830,894,21.3,,"1,576","1,421","1,476",35.2,,South Dakota
State,"13,897","1,848","1,716","1,776",12.8,,301,294,298,16.8,,643,547,588,33.1,,904,875,890,50.1,,State
"Local, total","29,524","2,710","2,293","2,420",8.1,,"1,682","1,464","1,528",63.1,,356,283,306,12.6,,672,546,586,24.2,,"Local, total"
Counties,"3,927","1,655","1,369","1,464",37.3,,678,569,601,41.1,,323,271,294,20.1,,654,529,569,38.9,,Counties
Municipalities,"5,499","1,055",924,956,17.4,,"1,004",895,927,97,,33,12,12,1.3,,18,17,17,1.8,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Tennessee,"324,520","40,645","38,305","39,186",12,,"19,642","18,076","18,686",47.7,,"7,322","6,788","6,951",17.7,,"13,681","13,441","13,549",34.6,,Tennessee
State,"84,875","11,565","11,501","11,536",13.6,,"2,021","2,008","2,014",17.5,,"2,367","2,360","2,363",20.5,,"7,177","7,133","7,159",62.1,,State
"Local, total","239,645","29,080","26,804","27,650",11.4,,"17,621","16,068","16,672",60.3,,"4,955","4,428","4,588",16.6,,"6,504","6,308","6,390",23.1,,"Local, total"
Counties,"140,780","14,909","14,005","14,390",10.2,,"5,766","5,305","5,517",38.3,,"3,568","3,296","3,396",23.6,,"5,575","5,404","5,477",38.1,,Counties
Municipalities,"89,410","14,171","12,799","13,260",14.8,,"11,855","10,763","11,155",84.1,,"1,387","1,132","1,192",9,,929,904,913,6.9,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Texas,"1,344,442","167,684","160,441","163,379",11.9,,"66,714","63,314","64,621",39.6,,"26,881","24,802","25,594",15.7,,"74,089","72,325","73,164",44.8,,Texas
State,"290,451","55,223","54,364","54,815",18.9,,"4,244","4,182","4,210",7.7,,"5,560","5,437","5,530",10.1,,"45,419","44,745","45,075",82.2,,State
"Local, total","1,053,991","112,461","106,077","108,564",10,,"62,470","59,132","60,411",55.6,,"21,321","19,365","20,064",18.5,,"28,670","27,580","28,089",25.9,,"Local, total"
Counties,"133,722","61,862","58,931","60,193",45,,"16,428","15,895","16,151",26.8,,"16,764","15,456","15,953",26.5,,"28,670","27,580","28,089",46.7,,Counties
Municipalities,"175,635","50,599","47,146","48,371",27.5,,"46,042","43,237","44,260",91.5,,"4,557","3,909","4,111",8.5,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Utah,"132,073","15,623","13,319","14,117",10.5,,"7,004","5,499","5,993",42.5,,"3,202","2,731","2,906",20.6,,"5,417","5,089","5,218",37,,Utah
State,"51,001","5,953","5,489","5,664",11.1,,852,785,809,14.3,,"1,695","1,538","1,598",28.2,,"3,406","3,166","3,257",57.5,,State
"Local, total","81,072","9,670","7,830","8,453",10.1,,"6,152","4,714","5,184",61.3,,"1,507","1,193","1,308",15.5,,"2,011","1,923","1,961",23.2,,"Local, total"
Counties,"11,081","4,624","4,149","4,347",39.2,,"1,708","1,426","1,538",35.4,,905,800,848,19.5,,"2,011","1,923","1,961",45.1,,Counties
Municipalities,"15,471","5,046","3,681","4,106",26.5,,"4,444","3,288","3,646",88.8,,602,393,460,11.2,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Vermont,"39,792","3,637","3,257","3,403",8.6,,"1,695","1,417","1,518",44.6,,737,643,682,20,,"1,205","1,197","1,203",35.4,,Vermont
State,"14,759","2,547","2,404","2,474",16.8,,683,609,636,25.7,,659,598,635,25.7,,"1,205","1,197","1,203",48.6,,State
"Local, total","25,033","1,090",853,929,3.8,,"1,012",808,882,94.9,,78,45,47,5.1,,0,0,0,0,,"Local, total"
Counties,96,73,64,68,70.8,,33,31,33,48.5,,40,33,35,51.5,,0,0,0,0,,Counties
Municipalities,"4,618","1,017",789,861,18.6,,979,777,849,98.6,,38,12,12,1.4,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Virginia,"441,928","53,819","50,355","51,932",11.6,,"22,614","21,059","21,769",41.9,,"8,759","7,792","8,183",15.8,,"22,446","21,504","21,980",42.3,,Virginia
State,"124,536","21,903","20,793","21,300",17.1,,"3,272","3,037","3,157",14.8,,"3,915","3,532","3,643",17.1,,"14,716","14,224","14,500",68.1,,State
"Local, total","317,392","31,916","29,562","30,632",9.5,,"19,342","18,022","18,612",60.8,,"4,844","4,260","4,540",14.8,,"7,730","7,280","7,480",24.4,,"Local, total"
Counties,"190,161","17,028","15,708","16,324",8.6,,"9,809","9,109","9,437",57.8,,"2,919","2,558","2,750",16.8,,"4,300","4,041","4,137",25.3,,Counties
Municipalities,"113,076","14,888","13,854","14,308",12.7,,"9,533","8,913","9,175",64.1,,"1,925","1,702","1,790",12.5,,"3,430","3,239","3,343",23.4,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Washington,"340,052","37,592","35,637","36,518",10.5,,"14,944","14,453","14,662",40.2,,"8,546","7,803","8,116",22.2,,"14,102","13,381","13,740",37.6,,Washington
State,"119,970","13,252","12,564","12,934",10.8,,"2,167","2,119","2,131",16.5,,"2,028","1,864","1,949",15.1,,"9,057","8,581","8,854",68.5,,State
"Local, total","220,082","24,340","23,073","23,584",10.4,,"12,777","12,334","12,531",53.1,,"6,518","5,939","6,167",26.1,,"5,045","4,800","4,886",20.7,,"Local, total"
Counties,"39,967","14,572","13,859","14,121",35.3,,"4,623","4,498","4,546",32.2,,"5,168","4,813","4,946",35,,"4,781","4,548","4,629",32.8,,Counties
Municipalities,"40,296","9,768","9,214","9,463",23.5,,"8,154","7,836","7,985",84.4,,"1,350","1,126","1,221",12.9,,264,252,257,2.7,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
West Virginia,"101,073","10,308","9,595","9,855",9.8,,"4,220","3,784","3,919",39.8,,"2,585","2,337","2,448",24.8,,"3,503","3,474","3,488",35.4,,West Virginia
State,"38,060","5,734","5,682","5,712",15,,"1,018","1,001","1,007",17.6,,"1,412","1,383","1,404",24.6,,"3,304","3,298","3,301",57.8,,State
"Local, total","63,013","4,574","3,913","4,143",6.6,,"3,202","2,783","2,912",70.3,,"1,173",954,"1,044",25.2,,199,176,187,4.5,,"Local, total"
Counties,"7,766","2,408","2,207","2,306",29.7,,"1,201","1,144","1,165",50.5,,"1,008",887,954,41.4,,199,176,187,8.1,,Counties
Municipalities,"9,483","2,166","1,706","1,837",19.4,,"2,001","1,639","1,747",95.1,,165,67,90,4.9,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,"281,645","38,665","33,006","35,085",12.4,,"18,151","15,072","15,912",45.4,,"6,169","5,049","5,469",15.6,,"14,345","12,885","13,704",39.1,,Wisconsin
State,"68,714","13,348","11,963","12,777",18.6,,904,868,885,6.9,,"2,138","1,863","2,028",15.9,,"10,306","9,232","9,864",77.2,,State
"Local, total","212,931","25,317","21,043","22,308",10.4,,"17,247","14,204","15,027",67.4,,"4,031","3,186","3,441",15.4,,"4,039","3,653","3,840",17.2,,"Local, total"
Counties,"43,484","12,488","11,296","11,789",27.1,,"5,332","4,863","5,035",42.7,,"3,258","2,861","3,014",25.6,,"3,898","3,572","3,740",31.7,,Counties
Municipalities,"38,738","12,829","9,747","10,519",27.2,,"11,915","9,341","9,992",95,,773,325,427,4.1,,141,81,100,1,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Wyoming,"48,050","4,801","4,460","4,602",9.3,,"2,098","1,969","2,016",43.8,,"1,039",888,950,20.6,,"1,664","1,603","1,636",35.5,,Wyoming
State,"12,842","1,832","1,804","1,818",14.2,,279,279,279,15.3,,531,507,519,28.5,,"1,022","1,018","1,020",56.1,,State
"Local, total","35,208","2,969","2,656","2,784",7.7,,"1,819","1,690","1,737",62.4,,508,381,431,15.5,,642,585,616,22.1,,"Local, total"
Counties,"7,277","1,757","1,590","1,681",23.1,,742,700,718,42.7,,373,305,347,20.6,,642,585,616,36.6,,Counties
Municipalities,"4,046","1,212","1,066","1,103",27.3,,"1,077",990,"1,019",92.4,,135,76,84,7.6,,0,0,0,0,,Municipalities
,,,,,,,,,,,,,,,,,,,,,,
Notes:  Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,,,,,
"a/ Total full-time equivalent employment includes employment of States and all types of local governments including independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,,,,,
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,,,,,,
