Bureau of Justice Statistics,,,,,,,,,,,,,
State,"3,157","2,298","2,261","2,275",72.1,,"$10,582 ",974,776,882,27.9,,"$2,991 "
"Local, total","18,612","14,627","14,183","14,416",77.5,,"$64,561 ","4,715","3,839","4,196",22.5,,"$14,149 "
Counties,"9,437","7,383","7,074","7,248",76.8,,"$34,756 ","2,426","2,035","2,189",23.2,,"$7,877 "
Municipalities,"9,175","7,244","7,109","7,168",78.1,,"$29,805 ","2,289","1,804","2,007",21.9,,"$6,272 "
,,,,,,,,,,,,,
Washington,"14,662","10,412","10,254","10,310",70.3,,"$63,432 ","4,532","4,199","4,352",29.7,,"$18,777 "
State,"2,131","1,097","1,097","1,097",51.5,,"$7,381 ","1,070","1,022","1,034",48.5,,"$4,981 "
"Local, total","12,531","9,315","9,157","9,213",73.5,,"$56,051 ","3,462","3,177","3,318",26.5,,"$13,796 "
Counties,"4,546","3,208","3,155","3,173",69.8,,"$18,025 ","1,415","1,343","1,373",30.2,,"$5,425 "
Municipalities,"7,985","6,107","6,002","6,040",75.6,,"$38,026 ","2,047","1,834","1,945",24.4,,"$8,371 "
,,,,,,,,,,,,,
West Virginia,"3,919","3,221","3,004","3,069",78.3,,"$10,255 ",999,780,850,21.7,,"$1,825 "
State,"1,007",654,654,654,64.9,,"$2,752 ",364,347,353,35.1,,$820 
"Local, total","2,912","2,567","2,350","2,415",82.9,,"$7,503 ",635,433,497,17.1,,"$1,004 "
Counties,"1,165",963,944,952,81.7,,"$2,804 ",238,200,213,18.3,,$437 
Municipalities,"1,747","1,604","1,406","1,463",83.7,,"$4,698 ",397,233,284,16.3,,$568 
,,,,,,,,,,,,,
Wisconsin,"15,912","12,997","11,837","12,123",76.2,,"$57,385 ","5,154","3,235","3,789",23.8,,"$12,493 "
State,885,584,584,584,66,,"$2,756 ",320,284,301,34,,"$1,158 "
"Local, total","15,027","12,413","11,253","11,539",76.8,,"$54,628 ","4,834","2,951","3,488",23.2,,"$11,335 "
Counties,"5,035","3,792","3,571","3,645",72.4,,"$16,259 ","1,540","1,292","1,390",27.6,,"$5,089 "
Municipalities,"9,992","8,621","7,682","7,894",79,,"$38,370 ","3,294","1,659","2,098",21,,"$6,246 "
,,,,,,,,,,,,,
Wyoming,"2,016","1,440","1,396","1,407",69.8,,"$5,917 ",658,573,609,30.2,,"$1,838 "
State,279,183,183,183,65.6,,$950 ,96,96,96,34.4,,$368 
"Local, total","1,737","1,257","1,213","1,224",70.5,,"$4,966 ",562,477,513,29.5,,"$1,470 "
Counties,718,507,501,502,69.9,,"$1,928 ",235,199,216,30.1,,$608 
Municipalities,"1,019",750,712,722,70.9,,"$3,038 ",327,278,297,29.1,,$862 
,,,,,,,,,,,,,
Notes: March payroll data may not add due to rounding.  For the same reason these data may not sum to equal police protection March payrolls on table 6.  Local government data are estimates subject to variability.,,,,,,,,,,,,,
… Data missing.,,,,,,,,,,,,,
