Bureau of Justice Statistics,,,,,,,,,,,,
Counties,"$365,094 ","$164,863 ",45.2,,"$42,326 ",25.7,,"$50,300 ",30.5,,"$72,237 ",43.8
Municipalities,"$560,977 ","$171,062 ",30.5,,"$158,057 ",92.4,,"$13,006 ",7.6,, $-   ,0

Utah,"$369,582 ","$42,507 ",11.5,,"$18,679 ",43.9,,"$9,760 ",23,,"$14,068 ",33.1
State,"$153,141 ","$17,670 ",11.5,,"$2,910 ",16.5,,"$5,697 ",32.2,,"$9,063 ",51.3
"Local, total","$216,441 ","$24,837 ",11.5,,"$15,769 ",63.5,,"$4,063 ",16.4,,"$5,005 ",20.2
Counties,"$31,719 ","$12,481 ",39.3,,"$4,859 ",38.9,,"$2,619 ",21,,"$5,003 ",40.1
Municipalities,"$44,630 ","$12,356 ",27.7,,"$10,910 ",88.3,,"$1,444 ",11.7,,$2 ,0

Vermont,"$117,471 ","$10,372 ",8.8,,"$4,727 ",45.6,,"$2,401 ",23.1,,"$3,244 ",31.3
State,"$48,081 ","$7,369 ",15.3,,"$1,875 ",25.4,,"$2,250 ",30.5,,"$3,244 ",44
"Local, total","$69,390 ","$3,003 ",4.3,,"$2,852 ",95,,$151 ,5,, $-   ,0
Counties,$219 ,$177 ,81.1,,$61 ,34.5,,$116 ,65.5,, $-   ,0
Municipalities,"$13,344 ","$2,825 ",21.2,,"$2,790 ",98.8,,$35 ,1.2,, $-   ,0

Virginia,"$1,297,376 ","$159,830 ",12.3,,"$72,976 ",45.7,,"$28,499 ",17.8,,"$58,354 ",36.5
State,"$390,976 ","$60,301 ",15.4,,"$10,192 ",16.9,,"$13,463 ",22.3,,"$36,646 ",60.8
"Local, total","$906,400 ","$99,529 ",11,,"$62,785 ",63.1,,"$15,036 ",15.1,,"$21,708 ",21.8
Counties,"$534,516 ","$52,648 ",9.8,,"$31,249 ",59.4,,"$9,809 ",18.6,,"$11,590 ",22
Municipalities,"$325,524 ","$46,882 ",14.4,,"$31,536 ",67.3,,"$5,227 ",11.2,,"$10,118 ",21.6

Washington,"$1,246,768 ","$147,710 ",11.8,,"$67,114 ",45.4,,"$33,163 ",22.5,,"$47,433 ",32.1
State,"$414,377 ","$49,122 ",11.9,,"$9,782 ",19.9,,"$9,603 ",19.5,,"$29,737 ",60.5
"Local, total","$832,391 ","$98,588 ",11.8,,"$57,331 ",58.2,,"$23,560 ",23.9,,"$17,697 ",18
Counties,"$147,559 ","$54,595 ",37,,"$19,267 ",35.3,,"$18,607 ",34.1,,"$16,721 ",30.6
Municipalities,"$175,485 ","$43,993 ",25.1,,"$38,064 ",86.5,,"$4,953 ",11.3,,$976 ,2.2

West Virginia,"$265,731 ","$22,967 ",8.6,,"$9,871 ",43,,"$6,465 ",28.1,,"$6,631 ",28.9
State,"$108,292 ","$13,356 ",12.3,,"$2,967 ",22.2,,"$4,251 ",31.8,,"$6,138 ",46
"Local, total","$157,440 ","$9,610 ",6.1,,"$6,904 ",71.8,,"$2,214 ",23,,$492 ,5.1
Counties,"$16,379 ","$5,022 ",30.7,,"$2,515 ",50.1,,"$2,016 ",40.1,,$492 ,9.8
Municipalities,"$21,306 ","$4,588 ",21.5,,"$4,389 ",95.7,,$198 ,4.3,,$1 ,0

Wisconsin,"$1,007,280 ","$131,004 ",13,,"$64,704 ",49.4,,"$24,354 ",18.6,,"$41,946 ",32
State,"$268,249 ","$44,548 ",16.6,,"$3,427 ",7.7,,"$10,918 ",24.5,,"$30,203 ",67.8
"Local, total","$739,031 ","$86,456 ",11.7,,"$61,276 ",70.9,,"$13,436 ",15.5,,"$11,744 ",13.6
Counties,"$151,198 ","$43,491 ",28.8,,"$20,308 ",46.7,,"$11,439 ",26.3,,"$11,744 ",27
Municipalities,"$147,741 ","$42,965 ",29.1,,"$40,969 ",95.4,,"$1,996 ",4.6,, $-   ,0

Wyoming,"$123,553 ","$14,211 ",11.5,,"$7,052 ",49.6,,"$3,012 ",21.2,,"$4,147 ",29.2
State,"$37,243 ","$5,739 ",15.4,,"$1,021 ",17.8,,"$1,857 ",32.4,,"$2,860 ",49.8
"Local, total","$86,310 ","$8,473 ",9.8,,"$6,031 ",71.2,,"$1,155 ",13.6,,"$1,288 ",15.2
Counties,"$18,017 ","$4,746 ",26.3,,"$2,581 ",54.4,,$877 ,18.5,,"$1,288 ",27.1
Municipalities,"$11,889 ","$3,727 ",31.3,,"$3,449 ",92.6,,$277 ,7.4,, $-   ,0

Notes: March payroll data may not sum to total because of rounding. Local government data are estimates subject to variability.,,,,,,,,,,,,
"a/ Total March payroll includes payrolls of States and all types of local governments including independent school districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the  ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,
