Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0305.csv,,,,,,,,,,,,,,,,,,,,,,
"table #:  5 Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2003",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2003, NCJ 212350",,,,,,,,,,,,,,,,,,,,,,
data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
authors:  Kristen A. Hughes and Steven W. Perry,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  1/12/2005,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by State and type of government, March 2003",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,,
"Local, total","75,715","7,339","6,540","6,900",9.1,,"5,275","4,718","4,994",72.4,,459,290,338,4.9,,"1,605","1,532","1,568",22.7,,"Local, total"
Counties,"7,607","2,791","2,529","2,670",35.1,,"1,633","1,481","1,556",58.3,,85,48,78,2.9,,"1,073","1,000","1,036",38.8,,Counties
Municipalities,"18,140","4,548","4,011","4,230",23.3,,"3,642","3,237","3,438",81.3,,374,242,260,6.1,,532,532,532,12.6,,Municipalities

New York,"1,193,262","187,874","167,300","176,622",14.8,,"94,180","80,065","86,585",49,,"33,616","28,611","30,589",17.3,,"60,078","58,624","59,448",33.7,,New York
State,"248,150","59,191","57,869","58,711",23.7,,"6,236","6,073","6,149",10.5,,"19,204","18,464","18,977",32.3,,"33,751","33,332","33,585",57.2,,State
"Local, total","945,112","128,683","109,431","117,911",12.5,,"87,944","73,992","80,436",68.2,,"14,412","10,147","11,612",9.8,,"26,327","25,292","25,863",21.9,,"Local, total"
Counties,"115,104","30,706","27,704","29,111",25.3,,"14,411","12,835","13,477",46.3,,"4,317","3,696","4,025",13.8,,"11,978","11,173","11,609",39.9,,Counties
Municipalities,"517,744","97,977","81,727","88,800",17.2,,"73,533","61,157","66,959",75.4,,"10,095","6,451","7,587",8.5,,"14,349","14,119","14,254",16.1,,Municipalities

North Carolina,"469,942","55,373","52,868","53,684",11.4,,"24,716","23,258","23,730",44.2,,"6,861","6,555","6,660",12.4,,"23,796","23,055","23,294",43.4,,North Carolina
State,"131,265","28,714","28,008","28,219",21.5,,"3,301","3,292","3,297",11.7,,"5,993","5,804","5,865",20.8,,"19,420","18,912","19,057",67.5,,State
"Local, total","338,677","26,659","24,860","25,465",7.5,,"21,415","19,966","20,433",80.2,,868,751,795,3.1,,"4,376","4,143","4,237",16.6,,"Local, total"
Counties,"277,685","12,631","11,775","12,121",4.4,,"7,778","7,226","7,437",61.4,,724,637,681,5.6,,"4,129","3,912","4,003",33,,Counties
Municipalities,"49,922","14,028","13,085","13,344",26.7,,"13,637","12,740","12,996",97.4,,144,114,114,0.9,,247,231,234,1.8,,Municipalities

North Dakota,"41,178","3,380","3,009","3,110",7.6,,"1,486","1,395","1,417",45.6,,909,748,771,24.8,,985,866,922,29.6,,North Dakota
State,"18,009","1,418","1,324","1,358",7.5,,221,215,219,16.1,,528,488,496,36.5,,669,621,643,47.3,,State
"Local, total","23,169","1,962","1,685","1,752",7.6,,"1,265","1,180","1,198",68.4,,381,260,275,15.7,,316,245,279,15.9,,"Local, total"
Counties,"3,876","1,119",970,"1,022",26.4,,526,495,503,49.2,,280,232,242,23.7,,313,243,277,27.1,,Counties
Municipalities,"3,273",843,715,730,22.3,,739,685,695,95.2,,101,28,33,4.5,,3,2,2,0.3,,Municipalities

Ohio,"619,869","83,543","75,082","78,124",12.6,,"36,791","31,483","33,076",42.3,,"21,366","18,935","20,003",25.6,,"25,386","24,664","25,045",32.1,,Ohio
State,"136,871","22,246","21,743","22,093",16.1,,"2,698","2,685","2,695",12.2,,"2,882","2,451","2,753",12.5,,"16,666","16,607","16,645",75.3,,State
"Local, total","482,998","61,297","53,339","56,031",11.6,,"34,093","28,798","30,381",54.2,,"18,484","16,484","17,250",30.8,,"8,720","8,057","8,400",15,,"Local, total"
Counties,"98,829","29,274","27,398","28,221",28.6,,"7,614","7,169","7,346",26,,"13,504","12,575","12,988",46,,"8,156","7,654","7,887",27.9,,Counties
Municipalities,"94,956","32,023","25,941","27,810",29.3,,"26,479","21,629","23,035",82.8,,"4,980","3,909","4,262",15.3,,564,403,513,1.8,,Municipalities

Oklahoma,"201,632","22,878","20,671","21,597",10.7,,"11,244","10,108","10,593",49,,"4,547","3,878","4,148",19.2,,"7,087","6,685","6,856",31.7,,Oklahoma
State,"65,511","10,435","9,899","10,141",15.5,,"1,891","1,774","1,827",18,,"2,697","2,510","2,608",25.7,,"5,847","5,615","5,706",56.3,,State
"Local, total","136,121","12,443","10,772","11,456",8.4,,"9,353","8,334","8,766",76.5,,"1,850","1,368","1,540",13.4,,"1,240","1,070","1,150",10,,"Local, total"
Counties,"18,685","4,707","4,097","4,358",23.3,,"2,374","2,099","2,202",50.5,,"1,138",969,"1,047",24,,"1,195","1,029","1,109",25.4,,Counties
Municipalities,"31,105","7,736","6,675","7,098",22.8,,"6,979","6,235","6,564",92.5,,712,399,493,6.9,,45,41,41,0.6,,Municipalities

Oregon,"181,607","22,361","20,355","21,049",11.6,,"8,732","8,118","8,274",39.3,,"4,936","4,196","4,477",21.3,,"8,693","8,041","8,298",39.4,,Oregon
State,"57,022","8,959","8,290","8,575",15,,"1,307","1,161","1,185",13.8,,"3,012","2,634","2,811",32.8,,"4,640","4,495","4,579",53.4,,State
"Local, total","124,585","13,402","12,065","12,474",10,,"7,425","6,957","7,089",56.8,,"1,924","1,562","1,666",13.4,,"4,053","3,546","3,719",29.8,,"Local, total"
Counties,"20,551","8,035","7,121","7,447",36.2,,"2,456","2,276","2,354",31.6,,"1,526","1,299","1,374",18.5,,"4,053","3,546","3,719",49.9,,Counties
Municipalities,"19,794","5,367","4,944","5,027",25.4,,"4,969","4,681","4,735",94.2,,398,263,292,5.8,,0,0,0,0,,Municipalities

Pennsylvania,"569,356","84,424","73,549","78,232",13.7,,"36,830","28,668","31,781",40.6,,"18,293","17,026","17,632",22.5,,"29,301","27,855","28,819",36.8,,Pennsylvania
State,"159,463","25,085","24,603","25,028",15.7,,"5,817","5,814","5,816",23.2,,"2,957","2,927","2,950",11.8,,"16,311","15,862","16,262",65,,State
"Local, total","409,893","59,339","48,946","53,204",13,,"31,013","22,854","25,965",48.8,,"15,336","14,099","14,682",27.6,,"12,990","11,993","12,557",23.6,,"Local, total"
Counties,"60,530","25,305","22,485","23,888",39.5,,"2,879","2,267","2,546",10.7,,"11,722","10,492","11,061",46.3,,"10,704","9,726","10,281",43,,Counties
Municipalities,"75,583","34,034","26,461","29,316",38.8,,"28,134","20,587","23,419",79.9,,"3,614","3,607","3,621",12.4,,"2,286","2,267","2,276",7.8,,Municipalities

Rhode Island,"55,944","6,769","6,303","6,469",11.6,,"3,730","3,340","3,467",53.6,,"1,285","1,214","1,252",19.4,,"1,754","1,749","1,750",27.1,,Rhode Island
State,"20,080","3,216","3,183","3,199",15.9,,293,292,292,9.1,,"1,169","1,142","1,157",36.2,,"1,754","1,749","1,750",54.7,,State
"Local, total","35,864","3,553","3,120","3,270",9.1,,"3,437","3,048","3,175",97.1,,116,72,95,2.9,,0,0,0,0,,"Local, total"
Municipalities,"33,095","3,553","3,120","3,270",9.9,,"3,437","3,048","3,175",97.1,,116,72,95,2.9,,0,0,0,0,,Municipalities

South Carolina,"242,222","29,588","27,923","28,496",11.8,,"14,596","13,597","13,922",48.9,,"4,345","3,733","3,951",13.9,,"10,647","10,593","10,623",37.3,,South Carolina
State,"77,275","11,704","11,686","11,693",15.1,,"3,121","3,111","3,115",26.6,,683,676,679,5.8,,"7,900","7,899","7,899",67.6,,State
"Local, total","164,947","17,884","16,237","16,803",10.2,,"11,475","10,486","10,807",64.3,,"3,662","3,057","3,272",19.5,,"2,747","2,694","2,724",16.2,,"Local, total"
Counties,"29,330","11,566","10,517","10,946",37.3,,"5,758","5,139","5,358",48.9,,"3,101","2,723","2,903",26.5,,"2,707","2,655","2,685",24.5,,Counties
Municipalities,"19,293","6,318","5,720","5,857",30.4,,"5,717","5,347","5,449",93,,561,334,369,6.3,,40,39,39,0.7,,Municipalities

South Dakota,"43,445","4,235","3,699","3,865",8.9,,"1,926","1,721","1,757",45.5,,909,745,809,20.9,,"1,400","1,233","1,299",33.6,,South Dakota
State,"13,062","1,687","1,532","1,606",12.3,,280,274,276,17.2,,604,513,551,34.3,,803,745,779,48.5,,State
"Local, total","30,383","2,548","2,167","2,259",7.4,,"1,646","1,447","1,481",65.6,,305,232,258,11.4,,597,488,520,23,,"Local, total"
Counties,"3,726","1,520","1,241","1,319",35.4,,665,553,575,43.6,,273,213,237,18,,582,475,507,38.4,,Counties
Municipalities,"5,739","1,028",926,940,16.4,,981,894,906,96.4,,32,19,21,2.2,,15,13,13,1.4,,Municipalities

Tennessee,"311,601","38,603","36,060","37,024",11.9,,"19,196","17,306","18,026",48.7,,"6,346","5,963","6,082",16.4,,"13,061","12,791","12,916",34.9,,Tennessee
State,"83,495","10,922","10,853","10,885",13,,"2,004","1,998","2,001",18.4,,"2,030","2,024","2,026",18.6,,"6,888","6,831","6,858",63,,State
"Local, total","228,106","27,681","25,207","26,139",11.5,,"17,192","15,308","16,025",61.3,,"4,316","3,939","4,056",15.5,,"6,173","5,960","6,058",23.2,,"Local, total"
Counties,"129,980","13,357","12,635","12,934",10,,"4,900","4,537","4,674",36.1,,"3,108","2,940","3,012",23.3,,"5,349","5,158","5,248",40.6,,Counties
Municipalities,"90,052","14,324","12,572","13,205",14.7,,"12,292","10,771","11,351",86,,"1,208",999,"1,044",7.9,,824,802,810,6.1,,Municipalities

Texas,"1,253,022","160,405","152,649","155,979",12.4,,"62,620","59,090","60,554",38.8,,"25,565","23,532","24,444",15.7,,"72,220","70,027","70,981",45.5,,Texas
State,"265,748","55,765","54,905","55,370",20.8,,"4,036","4,004","4,019",7.3,,"5,328","5,239","5,305",9.6,,"46,401","45,662","46,046",83.2,,State
"Local, total","987,274","104,640","97,744","100,609",10.2,,"58,584","55,086","56,535",56.2,,"20,237","18,293","19,139",19,,"25,819","24,365","24,935",24.8,,"Local, total"
Counties,"121,066","55,997","53,023","54,308",44.9,,"14,616","14,211","14,434",26.6,,"15,562","14,447","14,939",27.5,,"25,819","24,365","24,935",45.9,,Counties
Municipalities,"171,532","48,643","44,721","46,301",27,,"43,968","40,875","42,101",90.9,,"4,675","3,846","4,200",9.1,,0,0,0,0,,Municipalities

Utah,"122,209","14,390","12,316","13,146",10.8,,"6,472","5,175","5,599",42.6,,"2,902","2,431","2,708",20.6,,"5,016","4,710","4,839",36.8,,Utah
State,"47,674","5,801","5,217","5,483",11.5,,893,823,854,15.6,,"1,643","1,411","1,533",28,,"3,265","2,983","3,096",56.5,,State
"Local, total","74,535","8,589","7,099","7,663",10.3,,"5,579","4,352","4,745",61.9,,"1,259","1,020","1,175",15.3,,"1,751","1,727","1,743",22.7,,"Local, total"
Counties,"10,701","4,362","3,975","4,145",38.7,,"1,789","1,558","1,659",40,,823,691,744,17.9,,"1,750","1,726","1,742",42,,Counties
Municipalities,"13,579","4,227","3,124","3,518",25.9,,"3,790","2,794","3,086",87.7,,436,329,431,12.3,,1,1,1,0,,Municipalities

Vermont,"38,660","3,023","2,741","2,858",7.4,,"1,369","1,169","1,236",43.2,,665,598,638,22.3,,989,974,984,34.4,,Vermont
State,"13,538","1,991","1,902","1,953",14.4,,403,380,390,20,,599,548,579,29.6,,989,974,984,50.4,,State
"Local, total","25,122","1,032",839,905,3.6,,966,789,846,93.5,,66,50,59,6.5,,0,0,0,0,,"Local, total"
Counties,92,84,64,77,83.7,,29,23,27,35.1,,55,41,50,64.9,,0,0,0,0,,Counties
Municipalities,"4,431",948,775,828,18.7,,937,766,819,98.9,,11,9,9,1.1,,0,0,0,0,,Municipalities

Virginia,"411,100","49,571","46,672","47,922",11.7,,"20,418","19,077","19,660",41,,"7,869","7,031","7,372",15.4,,"21,284","20,564","20,890",43.6,,Virginia
State,"115,818","20,503","19,695","20,025",17.3,,"2,754","2,598","2,672",13.3,,"3,702","3,319","3,439",17.2,,"14,047","13,778","13,914",69.5,,State
"Local, total","295,282","29,068","26,977","27,897",9.4,,"17,664","16,479","16,988",60.9,,"4,167","3,712","3,933",14.1,,"7,237","6,786","6,976",25,,"Local, total"
Counties,"171,519","14,815","13,607","14,094",8.2,,"8,579","7,922","8,156",57.9,,"2,666","2,331","2,500",17.7,,"3,570","3,354","3,438",24.4,,Counties
Municipalities,"109,945","14,253","13,370","13,803",12.6,,"9,085","8,557","8,832",64,,"1,501","1,381","1,433",10.4,,"3,667","3,432","3,538",25.6,,Municipalities

Washington,"321,153","37,305","34,403","35,619",11.1,,"14,856","13,905","14,331",40.2,,"8,272","7,328","7,691",21.6,,"14,177","13,170","13,597",38.2,,Washington
State,"112,606","13,488","12,727","13,114",11.6,,"2,212","2,212","2,212",16.9,,"1,942","1,752","1,844",14.1,,"9,334","8,763","9,058",69.1,,State
"Local, total","208,547","23,817","21,676","22,505",10.8,,"12,644","11,693","12,119",53.9,,"6,330","5,576","5,847",26,,"4,843","4,407","4,539",20.2,,"Local, total"
Counties,"36,670","13,891","13,019","13,293",36.3,,"4,407","4,317","4,347",32.7,,"4,906","4,525","4,649",35,,"4,578","4,177","4,297",32.3,,Counties
Municipalities,"39,468","9,926","8,657","9,212",23.3,,"8,237","7,376","7,772",84.4,,"1,424","1,051","1,198",13,,265,230,242,2.6,,Municipalities

West Virginia,"93,383","9,746","8,999","9,341",10,,"3,963","3,533","3,765",40.3,,"2,446","2,177","2,266",24.3,,"3,337","3,289","3,310",35.4,,West Virginia
State,"37,215","5,362","5,307","5,336",14.3,,970,959,964,18.1,,"1,350","1,320","1,335",25,,"3,042","3,028","3,037",56.9,,State
"Local, total","56,168","4,384","3,692","4,005",7.1,,"2,993","2,574","2,801",69.9,,"1,096",857,931,23.2,,295,261,273,6.8,,"Local, total"
Counties,"7,325","2,172","2,038","2,102",28.7,,998,969,982,46.7,,880,808,847,40.3,,294,261,273,13,,Counties
Municipalities,"9,131","2,212","1,654","1,903",20.8,,"1,995","1,605","1,819",95.6,,216,49,84,4.4,,1,0,0,0,,Municipalities

Wisconsin,"288,044","38,990","32,988","35,225",12.2,,"18,909","15,414","16,305",46.3,,"6,670","5,468","5,975",17,,"13,411","12,106","12,945",36.7,,Wisconsin
State,"71,040","12,728","11,468","12,288",17.3,,925,901,913,7.4,,"2,133","1,846","2,050",16.7,,"9,670","8,721","9,325",75.9,,State
"Local, total","217,004","26,262","21,520","22,937",10.6,,"17,984","14,513","15,392",67.1,,"4,537","3,622","3,925",17.1,,"3,741","3,385","3,620",15.8,,"Local, total"
Counties,"46,574","13,126","11,407","12,120",26,,"5,618","4,780","5,046",41.6,,"3,767","3,242","3,454",28.5,,"3,741","3,385","3,620",29.9,,Counties
Municipalities,"40,209","13,136","10,113","10,817",26.9,,"12,366","9,733","10,346",95.6,,770,380,471,4.4,,0,0,0,0,,Municipalities

Wyoming,"43,651","4,772","4,351","4,467",10.2,,"2,326","2,080","2,158",48.3,,979,837,860,19.3,,"1,467","1,434","1,449",32.4,,Wyoming
State,"12,103","1,712","1,681","1,696",14,,249,249,249,14.7,,495,468,481,28.4,,968,964,966,57,,State
"Local, total","31,548","3,060","2,670","2,771",8.8,,"2,077","1,831","1,909",68.9,,484,369,379,13.7,,499,470,483,17.4,,"Local, total"
Counties,"6,327","1,708","1,577","1,608",25.4,,869,808,821,51.1,,340,299,304,18.9,,499,470,483,30,,Counties
Municipalities,"3,966","1,352","1,093","1,163",29.3,,"1,208","1,023","1,088",93.6,,144,70,75,6.4,,0,0,0,0,,Municipalities

Notes:  Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,,,,,
"a/ Total full-time equivalent employment includes employment of States and all types of local governments including independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,,,,,
b/ Justice system employment of independent school districts and special school districts (primarily for special police) are not available.,,,,,,,,,,,,,,,,,,,,,,
