Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename:  jeeus0905.csv,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2009 (final)",,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2009, NCJ 247018",,,,,,,,,,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version:  ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2009 (revised)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,
State,172622,29116,27462,28374,16.4,6815,6432,6653,23.4,3093,3065,3089,10.9,19208,17965,18632,65.7,State
"Local, total",431406,57792,46986,51474,11.9,23477,17234,19231,37.4,18701,15761,17085,33.2,15614,13991,15158,29.4,"Local, total"
Counties,111108,30957,25414,27918,25.1,4066,3004,3387,12.1,14349,11491,12593,45.1,12542,10919,11938,42.8,Counties
Municipalities,96348,26835,21572,23556,24.4,19411,14230,15844,67.3,4352,4270,4492,19.1,3072,3072,3220,13.7,Municipalities
,,,,,,,,,,,,,,,,,,
Rhode Island,50465,5973,5549,5672,11.2,3044,2657,2767,48.8,1308,1272,1285,22.7,1621,1620,1620,28.6,Rhode Island
State,19669,3298,3146,3176,16.1,499,362,384,12.1,1178,1164,1172,36.9,1621,1620,1620,51,State
"Local, total",30796,2675,2403,2496,8.1,2545,2295,2383,95.5,130,108,113,4.5,0,0,0,0,"Local, total"
Municipalities,19262,2675,2403,2496,13,2545,2295,2383,95.5,130,108,113,4.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
South Carolina,252181,30476,28851,29587,11.7,14107,13218,13612,46,5157,4486,4797,16.2,11212,11147,11178,37.8,South Carolina
State,77262,10469,10457,10462,13.5,1884,1881,1882,18,770,763,766,7.3,7815,7813,7814,74.7,State
"Local, total",174919,20007,18394,19125,10.9,12223,11337,11730,61.3,4387,3723,4031,21.1,3397,3334,3364,17.6,"Local, total"
Counties,34695,14283,12943,13586,39.2,6967,6282,6609,48.6,3955,3363,3649,26.9,3361,3298,3328,24.5,Counties
Municipalities,19890,5724,5451,5539,27.8,5256,5055,5121,92.5,432,360,382,6.9,36,36,36,0.6,Municipalities
,,,,,,,,,,,,,,,,,,
South Dakota,45975,4764,4183,4378,9.5,2126,1884,1959,44.7,971,824,883,20.2,1667,1475,1536,35.1,South Dakota
State,14053,1860,1730,1794,12.8,303,294,301,16.8,662,570,610,34,895,866,883,49.2,State
"Local, total",31922,2904,2453,2584,8.1,1823,1590,1658,64.2,309,254,273,10.6,772,609,653,25.3,"Local, total"
Counties,4858,1587,1269,1361,28,560,442,475,34.9,283,237,254,18.7,744,590,632,46.4,Counties
Municipalities,10770,1317,1184,1223,11.4,1263,1148,1183,96.7,26,17,19,1.6,28,19,21,1.7,Municipalities
,,,,,,,,,,,,,,,,,,
Tennessee,330441,41221,39034,39937,12.1,19935,18417,19031,47.7,7394,6980,7136,17.9,13892,13637,13770,34.5,Tennessee
State,84387,11811,11769,11796,14,2215,2210,2211,18.7,2501,2497,2499,21.2,7095,7062,7086,60.1,State
"Local, total",246054,29410,27265,28141,11.4,17720,16207,16820,59.8,4893,4483,4637,16.5,6797,6575,6684,23.8,"Local, total"
Counties,132274,14758,13922,14250,10.8,5754,5358,5521,38.7,3508,3230,3317,23.3,5496,5334,5412,38,Counties
Municipalities,103458,14652,13343,13891,13.4,11966,10849,11299,81.3,1385,1253,1320,9.5,1301,1241,1272,9.2,Municipalities
,,,,,,,,,,,,,,,,,,
Texas,1434524,175477,168829,171700,12,71057,67833,69144,40.3,28155,26384,27109,15.8,76265,74612,75447,43.9,Texas
State,300112,54523,53706,54136,18,4395,4327,4358,8.1,5709,5581,5685,10.5,44419,43798,44093,81.4,State
"Local, total",1134412,120954,115123,117564,10.4,66662,63506,64786,55.1,22446,20803,21424,18.2,31846,30814,31354,26.7,"Local, total"
Counties,163765,69533,66727,68075,41.6,19550,19077,19385,28.5,18137,16836,17336,25.5,31846,30814,31354,46.1,Counties
Municipalities,191984,51421,48396,49489,25.8,47112,44429,45401,91.7,4309,3967,4088,8.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Utah,141671,16389,13896,14730,10.4,7400,5577,6136,41.7,3232,2893,3026,20.5,5757,5426,5568,37.8,Utah
State,51606,6009,5573,5725,11.1,873,775,808,14.1,1704,1590,1629,28.5,3432,3208,3288,57.4,State
"Local, total",90065,10380,8323,9005,10,6527,4802,5328,59.2,1528,1303,1397,15.5,2325,2218,2280,25.3,"Local, total"
Counties,11855,5162,4548,4813,40.6,1860,1464,1617,33.6,977,866,916,19,2325,2218,2280,47.4,Counties
Municipalities,14976,5218,3775,4192,28,4667,3338,3711,88.5,551,437,481,11.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Vermont,40680,2973,2781,2829,7,1136,991,1027,36.3,727,688,698,24.7,1110,1102,1104,39,Vermont
State,14598,2414,2321,2345,16.1,654,593,610,26,650,626,631,26.9,1110,1102,1104,47.1,State
"Local, total",26082,559,460,484,1.9,482,398,417,86.2,77,62,67,13.8,0,0,0,0,"Local, total"
Counties,148,78,59,65,43.9,15,11,12,18.5,63,48,53,81.5,0,0,0,0,Counties
Municipalities,3184,481,401,419,13.2,467,387,405,96.7,14,14,14,3.3,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Virginia,443940,58155,54628,56139,12.6,23671,21996,22696,40.4,10268,9279,9702,17.3,24216,23353,23741,42.3,Virginia
State,125570,21707,20854,21192,16.9,3172,2942,3047,14.4,3927,3593,3685,17.4,14608,14319,14460,68.2,State
"Local, total",318370,36448,33774,34947,11,20499,19054,19649,56.2,6341,5686,6017,17.2,9608,9034,9281,26.6,"Local, total"
Counties,182252,17699,16224,16837,9.2,10017,9251,9557,56.8,3031,2644,2845,16.9,4651,4329,4435,26.3,Counties
Municipalities,127964,18749,17550,18110,14.2,10482,9803,10092,55.7,3310,3042,3172,17.5,4957,4705,4846,26.8,Municipalities
,,,,,,,,,,,,,,,,,,
Washington,353100,39927,37734,38663,10.9,14880,14496,14638,37.9,9201,8326,8654,22.4,15846,14912,15371,39.8,Washington
State,125423,14630,13755,14201,11.3,2333,2285,2305,16.2,2027,1856,1934,13.6,10270,9614,9962,70.1,State
"Local, total",227677,25297,23979,24462,10.7,12547,12211,12333,50.4,7174,6470,6720,27.5,5576,5298,5409,22.1,"Local, total"
Counties,46520,16068,15120,15443,33.2,4863,4718,4760,30.8,5874,5333,5511,35.7,5331,5069,5172,33.5,Counties
Municipalities,44030,9229,8859,9019,20.5,7684,7493,7573,84,1300,1137,1209,13.4,245,229,237,2.6,Municipalities
,,,,,,,,,,,,,,,,,,
West Virginia,101854,10113,9449,9685,9.5,3988,3612,3721,38.4,2615,2365,2474,25.5,3510,3472,3490,36,West Virginia
State,39505,5860,5801,5836,14.8,1013,993,998,17.1,1480,1454,1476,25.3,3367,3354,3362,57.6,State
"Local, total",62349,4253,3648,3849,6.2,2975,2619,2723,70.7,1135,911,998,25.9,143,118,128,3.3,"Local, total"
Counties,8287,2334,2029,2156,26,1193,1082,1127,52.3,998,829,901,41.8,143,118,128,5.9,Counties
Municipalities,10781,1919,1619,1693,15.7,1782,1537,1596,94.3,137,82,97,5.7,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Wisconsin,284345,40010,34546,36408,12.8,17288,14481,15204,41.8,6770,5564,6007,16.5,15952,14501,15197,41.7,Wisconsin
State,70457,14664,13309,14002,19.9,902,872,886,6.3,2541,2145,2344,16.7,11221,10292,10772,76.9,State
"Local, total",213888,25346,21237,22406,10.5,16386,13609,14318,63.9,4229,3419,3663,16.3,4731,4209,4425,19.7,"Local, total"
Counties,70660,14050,12274,12880,18.2,5718,5032,5241,40.7,3679,3074,3265,25.3,4653,4168,4374,34,Counties
Municipalities,49408,11296,8963,9526,19.3,10668,8577,9077,95.3,550,345,398,4.2,78,41,51,0.5,Municipalities
,,,,,,,,,,,,,,,,,,
Wyoming,50864,4760,4478,4576,9,2037,1932,1960,42.8,1044,921,965,21.1,1679,1625,1651,36.1,Wyoming
State,13628,1933,1888,1910,14,302,302,302,15.8,580,539,559,29.3,1051,1047,1049,54.9,State
"Local, total",37236,2827,2590,2666,7.2,1735,1630,1658,62.2,464,382,406,15.2,628,578,602,22.6,"Local, total"
Counties,8862,1580,1451,1498,16.9,630,597,606,40.5,322,276,290,19.4,628,578,602,40.2,Counties
Municipalities,5387,1247,1139,1168,21.7,1105,1033,1052,90.1,142,106,116,9.9,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Notes:  Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,
"a/ Total full-time equivalent employment includes employment of states and all types of local governments including independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,,
