Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee16t05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2016 - Final NCJ 300061",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 07/07/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2016",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
North Carolina - Total,"548,795","63,289","60,332","61,433",11.2,"29,060","27,085","27,940",45.5,8086,"7,453","7,543",12.3,"26,143","25,794","25,950",42.2
North Carolina - State,"140,047","30,562","30,092","30,117",21.5,"3,185","3,179","3,180",10.6,6927,"6,474","6,492",21.6,"20,450","20,439","20,445",67.9
"North Carolina - Local, total","408,748","32,727","30,240","31,316",7.7,"25,875","23,906","24,760",79.1,1159,979,"1,051",3.4,"5,693","5,355","5,505",17.6
North Carolina - Counties,"307,897","16,897","15,372","15,985",5.2,"10,649","9,562","9,980",62.4,949,790,850,5.3,"5,299","5,020","5,155",32.2
North Carolina - Municipalities,"59,122","15,830","14,868","15,331",25.9,"15,226","14,344","14,780",96.4,210,189,201,1.3,394,335,350,2.3
North Dakota - Total,"48,023","4,710","4,268","4,413",9.2,"1,950","1,870","1,893",42.9,1134,939,980,22.2,"1,626","1,459","1,540",34.9
North Dakota - State,"19,321","1,872","1,720","1,778",9.2,200,197,198,11.1,711,650,664,37.3,961,873,916,51.5
"North Dakota - Local, total","28,702","2,838","2,548","2,635",9.2,"1,750","1,673","1,695",64.3,423,289,316,12,665,586,624,23.7
North Dakota - Counties,"4,509","1,572","1,425","1,485",32.9,640,606,612,41.2,267,233,249,16.8,665,586,624,42
North Dakota - Municipalities,"5,115","1,266","1,123","1,150",22.5,"1,110","1,067","1,083",94.2,156,56,67,5.8,0,0,0,0
Ohio - Total,"588,550","77,761","69,464","73,045",12.4,"34,219","29,359","31,391",43,21377,"18,602","19,812",27.1,"22,165","21,503","21,842",29.9
Ohio - State,"137,846","19,069","18,596","18,869",13.7,"2,605","2,594","2,599",13.8,3266,"2,819","3,080",16.3,"13,198","13,183","13,190",69.9
"Ohio - Local, total","450,704","58,692","50,868","54,176",12,"31,614","26,765","28,792",53.1,18111,"15,783","16,732",30.9,"8,967","8,320","8,652",16
Ohio - Counties,"93,615","31,017","27,886","29,225",31.2,"9,334","8,033","8,544",29.2,13332,"12,007","12,565",43,"8,351","7,846","8,116",27.8
Ohio - Municipalities,"81,761","26,258","22,037","23,907",29.2,"20,871","17,790","19,208",80.3,4771,"3,773","4,163",17.4,616,474,536,2.2
Oklahoma - Total,"215,986","23,498","21,854","22,443",10.4,"12,187","11,243","11,612",51.7,4639,"4,093","4,241",18.9,"6,672","6,518","6,590",29.4
Oklahoma - State,"68,649","9,677","9,475","9,573",13.9,"2,000","1,941","1,969",20.6,2853,"2,754","2,803",29.3,"4,824","4,780","4,801",50.2
"Oklahoma - Local, total","147,337","13,821","12,379","12,870",8.7,"10,187","9,302","9,643",74.9,1786,"1,339","1,438",11.2,"1,848","1,738","1,789",13.9
Oklahoma - Counties,"16,471","5,554","4,917","5,113",31,"2,788","2,405","2,509",49.1,1083,929,977,19.1,"1,683","1,583","1,627",31.8
Oklahoma - Municipalities,"34,583","8,267","7,462","7,757",22.4,"7,399","6,897","7,134",92,703,410,461,5.9,165,155,162,2.1
Oregon - Total,"197,696","23,376","21,541","22,320",11.3,"9,330","8,616","8,914",39.9,4996,"4,488","4,710",21.1,"9,050","8,437","8,696",39
Oregon - State,"68,128","10,047","9,570","9,780",14.4,"1,573","1,379","1,438",14.7,3139,"2,985","3,082",31.5,"5,335","5,206","5,260",53.8
"Oregon - Local, total","129,568","13,329","11,971","12,540",9.7,"7,757","7,237","7,476",59.6,1857,"1,503","1,628",13,"3,715","3,231","3,436",27.4
Oregon - Counties,"20,356","7,821","6,774","7,225",35.5,"2,719","2,397","2,549",35.3,1407,"1,166","1,260",17.4,"3,695","3,211","3,416",47.3
Oregon - Municipalities,"22,266","5,508","5,197","5,315",23.9,"5,038","4,840","4,927",92.7,450,337,368,6.9,20,20,20,0.4
Pennsylvania - Total,"562,276","87,531","76,817","81,148",14.4,"36,947","29,022","32,129",39.6,19006,"17,570","18,113",22.3,"31,578","30,225","30,906",38.1
Pennsylvania - State,"162,573","28,046","27,115","27,477",16.9,"6,974","6,599","6,719",24.5,3019,"2,999","3,009",11,"18,053","17,517","17,749",64.6
"Pennsylvania - Local, total","399,703","59,485","49,702","53,671",13.4,"29,973","22,423","25,410",47.3,15987,"14,571","15,104",28.1,"13,525","12,708","13,157",24.5
Pennsylvania - Counties,"57,734","27,203","23,309","24,629",42.7,"4,716","3,022","3,432",13.9,12114,"10,728","11,222",45.6,"10,373","9,559","9,975",40.5
Pennsylvania - Municipalities,"65,170","27,917","23,185","25,387",39,"20,894","16,195","18,325",72.2,3871,"3,841","3,880",15.3,"3,152","3,149","3,182",12.5
Rhode Island - Total,"48,206","5,934","5,694","5,776",12,"3,157","2,997","3,057",52.9,1324,"1,250","1,271",22,"1,453","1,447","1,448",25.1
Rhode Island - State,"18,302","2,989","2,960","2,974",16.2,350,350,350,11.8,1186,"1,163","1,176",39.5,"1,453","1,447","1,448",48.7
"Rhode Island - Local, total","29,904","2,945","2,734","2,802",9.4,"2,807","2,647","2,707",96.6,138,87,95,3.4,0,0,0,0
Rhode Island - Municipalities,"15,746","1,806","1,688","1,729",11,"1,722","1,620","1,659",96,84,68,70,4,0,0,0,0
South Carolina - Total,"262,417","30,816","29,157","29,829",11.4,"14,672","13,727","14,104",47.3,5151,"4,588","4,800",16.1,"10,993","10,842","10,925",36.6
South Carolina - State,"79,917","10,614","10,491","10,563",13.2,"2,098","2,059","2,083",19.7,891,876,884,8.4,"7,625","7,556","7,596",71.9
"South Carolina - Local, total","182,500","20,202","18,666","19,266",10.6,"12,574","11,668","12,021",62.4,4260,"3,712","3,916",20.3,"3,368","3,286","3,329",17.3
South Carolina - Counties,"33,884","13,981","12,845","13,310",39.3,"6,908","6,302","6,556",49.3,3753,"3,305","3,474",26.1,"3,320","3,238","3,280",24.6
South Carolina - Municipalities,"21,895","6,221","5,821","5,956",27.2,"5,666","5,366","5,465",91.8,507,407,442,7.4,48,48,49,0.8
South Dakota - Total,"46,338","4,924","4,363","4,580",9.9,"2,272","2,008","2,100",45.9,1073,920,990,21.6,"1,579","1,435","1,490",32.5
South Dakota - State,"14,106","1,850","1,718","1,787",12.7,356,343,350,19.6,695,607,656,36.7,799,768,781,43.7
"South Dakota - Local, total","32,232","3,074","2,645","2,793",8.7,"1,916","1,665","1,750",62.7,378,313,334,12,780,667,709,25.4
South Dakota - Counties,"3,765","1,693","1,425","1,528",40.6,605,505,545,35.7,337,282,303,19.8,751,638,680,44.5
South Dakota - Municipalities,"7,030","1,381","1,220","1,265",18,"1,311","1,160","1,205",95.3,41,31,31,2.5,29,29,29,2.3
Tennessee - Total,"329,029","42,721","39,836","41,051",12.5,"21,942","20,261","21,008",51.2,8020,"7,243","7,519",18.3,"12,759","12,332","12,524",30.5
Tennessee - State,"78,599","11,269","11,212","11,234",14.3,"1,783","1,776","1,780",15.8,2553,"2,518","2,527",22.5,"6,933","6,918","6,927",61.7
"Tennessee - Local, total","250,430","31,452","28,624","29,817",11.9,"20,159","18,485","19,228",64.5,5467,"4,725","4,992",16.7,"5,826","5,414","5,597",18.8
Tennessee - Counties,"157,296","16,378","14,854","15,407",9.8,"7,741","7,113","7,324",47.5,4308,"3,698","3,916",25.4,"4,329","4,043","4,167",27
Tennessee - Municipalities,"82,761","15,075","13,770","14,410",17.4,"12,418","11,372","11,904",82.6,1160,"1,027","1,076",7.5,"1,497","1,371","1,430",9.9
Texas - Total,"1,486,219","177,323","169,902","172,966",11.6,"78,259","74,860","76,123",44,29378,"26,871","27,931",16.1,"69,686","68,171","68,912",39.8
Texas - State,"309,862","53,675","52,788","53,321",17.2,"7,094","7,035","7,065",13.2,5809,"5,569","5,782",10.8,"40,772","40,184","40,474",75.9
"Texas - Local, total","1,176,357","123,648","117,114","119,645",10.2,"71,165","67,825","69,058",57.7,23569,"21,302","22,149",18.5,"28,914","27,987","28,438",23.8
Texas - Counties,"158,746","69,880","66,443","67,942",42.8,"22,478","21,490","21,901",32.2,18728,"17,188","17,831",26.2,"28,674","27,765","28,210",41.5
Texas - Municipalities,"191,334","53,768","50,671","51,703",27,"48,687","46,335","47,157",91.2,4841,"4,114","4,318",8.4,240,222,228,0.4
Utah - Total,"147,135","16,266","13,628","14,515",9.9,"7,628","5,790","6,337",43.7,3271,"2,796","2,992",20.6,"5,367","5,042","5,186",35.7
Utah - State,"57,733","5,974","5,497","5,713",9.9,980,865,899,15.7,1618,"1,485","1,556",27.2,"3,376","3,147","3,258",57
"Utah - Local, total","89,402","10,292","8,131","8,802",9.8,"6,648","4,925","5,438",61.8,1653,"1,311","1,436",16.3,"1,991","1,895","1,928",21.9
Utah - Counties,"14,173","4,974","4,232","4,466",31.5,"1,986","1,499","1,635",36.6,997,838,903,20.2,"1,991","1,895","1,928",43.2
Utah - Municipalities,"16,493","5,291","3,873","4,307",26.1,"4,635","3,400","3,774",87.6,656,473,533,12.4,0,0,0,0
Vermont - Total,"40,130","3,586","3,187","3,286",8.2,"1,732","1,405","1,493",45.4,763,697,705,21.5,"1,091","1,085","1,088",33.1
Vermont - State,"14,388","2,432","2,338","2,356",16.4,650,585,598,25.4,699,674,678,28.8,"1,083","1,079","1,080",45.8
"Vermont - Local, total","25,742","1,154",849,930,3.6,"1,082",820,895,96.2,64,23,27,2.9,8,6,8,0.9
Vermont - Counties,41,36,21,25,61,9,8,9,36,27,13,16,64,0,0,0,0
Vermont - Municipalities,"2,221",506,400,429,19.3,491,387,414,96.5,11,10,11,2.6,4,3,4,0.9
Virginia - Total,"447,546","57,679","54,277","55,909",12.5,"22,640","21,204","21,923",39.2,9620,"8,575","9,008",16.1,"25,419","24,498","24,978",44.7
Virginia - State,"126,741","21,173","20,311","20,695",16.3,"3,264","3,126","3,199",15.5,4095,"3,758","3,845",18.6,"13,814","13,427","13,651",66
"Virginia - Local, total","320,805","36,506","33,966","35,214",11,"19,376","18,078","18,724",53.2,5525,"4,817","5,163",14.7,"11,605","11,071","11,327",32.2
Virginia - Counties,"190,113","17,326","15,920","16,614",8.7,"9,816","9,087","9,450",56.9,3268,"2,843","3,051",18.4,"4,242","3,990","4,113",24.8
Virginia - Municipalities,"116,635","16,304","15,221","15,742",13.5,"9,560","8,991","9,274",58.9,2257,"1,974","2,112",13.4,"4,487","4,256","4,356",27.7
Washington - Total,"352,641","36,963","35,140","35,990",10.2,"14,636","14,240","14,412",40,8856,"8,149","8,421",23.4,"13,471","12,751","13,157",36.6
Washington - State,"126,970","12,908","12,307","12,599",9.9,"2,172","2,098","2,112",16.8,2058,"2,019","2,035",16.2,"8,678","8,190","8,452",67.1
"Washington - Local, total","225,671","24,055","22,833","23,391",10.4,"12,464","12,142","12,300",52.6,6798,"6,130","6,386",27.3,"4,793","4,561","4,705",20.1
Washington - Counties,"40,399","15,209","14,312","14,699",36.4,"5,122","4,957","5,018",34.1,5659,"5,142","5,333",36.3,"4,428","4,213","4,348",29.6
Washington - Municipalities,"42,436","8,846","8,521","8,692",20.5,"7,342","7,185","7,282",83.8,1139,988,"1,053",12.1,365,348,357,4.1
West Virginia - Total,"104,609","11,098","10,381","10,665",10.2,"4,361","3,962","4,116",38.6,2975,"2,697","2,802",26.3,"3,762","3,722","3,747",35.1
West Virginia - State,"41,422","6,309","6,227","6,275",15.1,"1,058","1,033","1,042",16.6,1698,"1,655","1,683",26.8,"3,553","3,539","3,550",56.6
"West Virginia - Local, total","63,187","4,789","4,154","4,390",6.9,"3,303","2,929","3,074",70,1277,"1,042","1,119",25.5,209,183,197,4.5
West Virginia - Counties,"7,690","2,702","2,362","2,499",32.5,"1,372","1,218","1,278",51.1,1121,961,"1,024",41,209,183,197,7.9
West Virginia - Municipalities,"10,141","2,087","1,792","1,891",18.6,"1,931","1,711","1,796",95,156,81,95,5,0,0,0,0
Wisconsin - Total,"285,316","38,114","33,074","34,828",12.2,"18,085","15,060","15,953",45.8,6137,"5,062","5,427",15.6,"13,892","12,952","13,448",38.6
Wisconsin - State,"72,676","12,938","12,012","12,510",17.2,899,876,888,7.1,2264,"2,020","2,146",17.2,"9,775","9,116","9,476",75.7
"Wisconsin - Local, total","212,640","25,176","21,062","22,318",10.5,"17,186","14,184","15,065",67.5,3873,"3,042","3,281",14.7,"4,117","3,836","3,972",17.8
Wisconsin - Counties,"45,177","13,882","11,875","12,472",27.6,"6,501","5,335","5,623",45.1,3339,"2,738","2,924",23.4,"4,042","3,802","3,925",31.5
Wisconsin - Municipalities,"35,059","11,093","9,069","9,708",27.7,"10,496","8,733","9,307",95.9,522,302,354,3.6,75,34,47,0.5
Wyoming - Total,"50,972","5,147","4,851","4,968",9.7,"2,102","1,996","2,032",40.9,1073,929,988,19.9,"1,972","1,926","1,948",39.2
Wyoming - State,"13,502","2,107","2,055","2,089",15.5,282,282,282,13.5,566,517,549,26.3,"1,259","1,256","1,258",60.2
"Wyoming - Local, total","37,470","3,040","2,796","2,879",7.7,"1,820","1,714","1,750",60.8,507,412,439,15.2,713,670,690,24
Wyoming - Counties,"7,777","1,694","1,581","1,627",20.9,642,604,618,38,346,314,327,20.1,706,663,682,41.9
Wyoming - Municipalities,"4,805","1,346","1,215","1,252",26.1,"1,178","1,110","1,132",90.4,161,98,112,8.9,7,7,8,0.6
Note: Local government data are estimates subject to variability. Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,
"a/Total full-time equivalent employment includes employment of states and all types of local governments, including independent school districts and special districts, which are not displayed separately. The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,
