Counties,"115,333","34,492","31,212","32,953",28.6,,"17,789","15,663","16,727",50.8,,"4,338","3,847","4,146",12.6,,"12,365","11,702","12,080",36.7,,Counties
Municipalities,"517,114","99,264","82,059","88,452",17.1,,"74,733","62,320","67,374",76.2,,"11,021","6,447","7,688",8.7,,"13,510","13,292","13,390",15.1,,Municipalities

North Carolina,"487,296","59,964","56,874","58,238",12,,"26,804","24,911","25,678",44.1,,"6,879","6,589","6,667",11.4,,"26,281","25,374","25,893",44.5,,North Carolina
State,"139,117","30,610","29,760","30,217",21.7,,"3,434","3,422","3,428",11.3,,"6,062","5,884","5,920",19.6,,"21,114","20,454","20,869",69.1,,State
"Local, total","348,179","29,354","27,114","28,021",8,,"23,370","21,489","22,250",79.4,,817,705,747,2.7,,"5,167","4,920","5,024",17.9,,"Local, total"
Counties,"306,292","13,756","12,811","13,223",4.3,,"8,168","7,542","7,811",59.1,,677,589,631,4.8,,"4,911","4,680","4,781",36.2,,Counties
Municipalities,"54,226","15,598","14,303","14,798",27.3,,"15,202","13,947","14,439",97.6,,140,116,116,0.8,,256,240,243,1.6,,Municipalities

North Dakota,"41,220","3,668","3,113","3,260",7.9,,"1,600","1,390","1,412",43.3,,996,796,851,26.1,,"1,072",927,997,30.6,,North Dakota
State,"18,127","1,493","1,341","1,403",7.7,,187,181,184,13.1,,556,505,522,37.2,,750,655,697,49.7,,State
"Local, total","23,093","2,175","1,772","1,857",8,,"1,413","1,209","1,228",66.1,,440,291,329,17.7,,322,272,300,16.2,,"Local, total"
Counties,"3,889","1,185","1,012","1,080",27.8,,536,499,505,46.8,,327,241,275,25.5,,322,272,300,27.8,,Counties
Municipalities,"3,452",990,760,777,22.5,,877,710,723,93.1,,113,50,54,6.9,, -   , -   , -   ,0,,Municipalities

Ohio,"620,936","82,922","74,754","77,956",12.6,,"35,500","30,773","32,447",41.6,,"22,171","19,229","20,509",26.3,,"25,251","24,752","25,000",32.1,,Ohio
State,"136,840","21,874","21,301","21,722",15.9,,"2,688","2,679","2,687",12.4,,"2,952","2,449","2,820",13,,"16,234","16,173","16,215",74.6,,State
"Local, total","484,096","61,048","53,453","56,234",11.6,,"32,812","28,094","29,760",52.9,,"19,219","16,780","17,689",31.5,,"9,017","8,579","8,785",15.6,,"Local, total"
Counties,"100,241","30,726","28,833","29,597",29.5,,"8,127","7,783","7,925",26.8,,"14,262","13,065","13,543",45.8,,"8,337","7,985","8,129",27.5,,Counties
Municipalities,"93,868","30,322","24,620","26,637",28.4,,"24,685","20,311","21,835",82,,"4,957","3,715","4,146",15.6,,680,594,656,2.5,,Municipalities

Oklahoma,"207,748","23,967","21,652","22,636",10.9,,"12,372","10,925","11,619",51.3,,"4,793","4,282","4,424",19.5,,"6,802","6,445","6,593",29.1,,Oklahoma
State,"67,424","10,475","10,045","10,234",15.2,,"1,911","1,852","1,881",18.4,,"2,775","2,627","2,692",26.3,,"5,789","5,566","5,661",55.3,,State
"Local, total","140,324","13,492","11,607","12,402",8.8,,"10,461","9,073","9,738",78.5,,"2,018","1,655","1,732",14,,"1,013",879,932,7.5,,"Local, total"
Counties,"18,319","5,021","4,416","4,702",25.7,,"2,872","2,531","2,710",57.6,,"1,196","1,063","1,117",23.8,,953,822,875,18.6,,Counties
Municipalities,"31,698","8,471","7,191","7,700",24.3,,"7,589","6,542","7,028",91.3,,822,592,615,8,,60,57,57,0.7,,Municipalities

Oregon,"181,943","23,505","21,480","22,379",12.3,,"9,294","8,549","8,834",39.5,,"5,022","4,425","4,760",21.3,,"9,189","8,506","8,785",39.3,,Oregon
State,"57,485","9,576","9,025","9,330",16.2,,"1,349","1,211","1,235",13.2,,"3,162","2,875","3,064",32.8,,"5,065","4,939","5,031",53.9,,State
"Local, total","124,458","13,929","12,455","13,049",10.5,,"7,945","7,338","7,599",58.2,,"1,860","1,550","1,696",13,,"4,124","3,567","3,754",28.8,,"Local, total"
Counties,"20,981","8,460","7,436","7,857",37.4,,"2,889","2,567","2,725",34.7,,"1,447","1,302","1,378",17.5,,"4,124","3,567","3,754",47.8,,Counties
Municipalities,"20,414","5,469","5,019","5,192",25.4,,"5,056","4,771","4,874",93.9,,413,248,318,6.1,, -   , -   , -   ,0,,Municipalities

Pennsylvania,"577,965","88,023","75,735","80,186",13.9,,"37,908","28,998","32,140",40.1,,"19,300","17,294","17,944",22.4,,"30,815","29,443","30,102",37.5,,Pennsylvania
State,"161,136","27,061","26,536","26,754",16.6,,"6,249","6,187","6,221",23.3,,"3,018","3,008","3,016",11.3,,"17,794","17,341","17,517",65.5,,State
"Local, total","416,829","60,962","49,199","53,432",12.8,,"31,659","22,811","25,919",48.5,,"16,282","14,286","14,928",27.9,,"13,021","12,102","12,585",23.6,,"Local, total"
Counties,"58,450","26,044","22,992","24,293",41.6,,"3,064","2,537","2,746",11.3,,"12,422","10,792","11,413",47,,"10,558","9,663","10,134",41.7,,Counties
Municipalities,"74,368","34,918","26,207","29,139",39.2,,"28,595","20,274","23,173",79.5,,"3,860","3,494","3,515",12.1,,"2,463","2,439","2,451",8.4,,Municipalities

Rhode Island,"50,712","6,329","5,938","6,077",12,,"3,291","2,966","3,087",50.8,,"1,336","1,275","1,292",21.3,,"1,702","1,697","1,698",27.9,,Rhode Island
State,"20,594","3,246","3,216","3,228",15.7,,316,312,313,9.7,,"1,228","1,207","1,217",37.7,,"1,702","1,697","1,698",52.6,,State
"Local, total","30,118","3,083","2,722","2,849",9.5,,"2,975","2,654","2,774",97.4,,108,68,75,2.6,, -   , -   , -   ,0,,"Local, total"
Municipalities,"28,331","3,083","2,722","2,849",10.1,,"2,975","2,654","2,774",97.4,,108,68,75,2.6,, -   , -   , -   ,0,,Municipalities

South Carolina,"244,251","28,525","27,128","27,796",11.4,,"13,383","12,647","12,946",46.6,,"4,482","3,883","4,248",15.3,,"10,660","10,598","10,602",38.1,,South Carolina
State,"76,468","10,290","10,271","10,278",13.4,,"1,982","1,975","1,977",19.2,,728,719,723,7,,"7,580","7,577","7,578",73.7,,State
"Local, total","167,783","18,235","16,857","17,518",10.4,,"11,401","10,672","10,969",62.6,,"3,754","3,164","3,525",20.1,,"3,080","3,021","3,024",17.3,,"Local, total"
Counties,"32,735","12,358","11,223","11,752",35.9,,"5,998","5,470","5,684",48.4,,"3,319","2,768","3,082",26.2,,"3,041","2,985","2,986",25.4,,Counties
Municipalities,"19,726","5,877","5,634","5,766",29.2,,"5,403","5,202","5,285",91.7,,435,396,443,7.7,,39,36,38,0.7,,Municipalities

South Dakota,"44,054","4,576","4,015","4,177",9.5,,"2,139","1,866","1,929",46.2,,956,810,863,20.7,,"1,481","1,339","1,385",33.2,,South Dakota
State,"13,905","1,827","1,694","1,756",12.6,,308,302,306,17.4,,634,543,579,33,,885,849,871,49.6,,State
"Local, total","30,149","2,749","2,321","2,421",8,,"1,831","1,564","1,623",67,,322,267,284,11.7,,596,490,514,21.2,,"Local, total"
Counties,"3,784","1,685","1,342","1,416",37.4,,806,612,646,45.6,,300,252,269,19,,579,478,501,35.4,,Counties
Municipalities,"5,860","1,064",979,"1,005",17.2,,"1,025",952,977,97.2,,22,15,15,1.5,,17,12,13,1.3,,Municipalities

Tennessee,"322,285","40,697","37,822","38,870",12.1,,"18,856","16,961","17,663",45.4,,"7,417","6,879","7,069",18.2,,"14,424","13,982","14,138",36.4,,Tennessee
State,"83,117","11,642","11,591","11,617",14,,"1,966","1,954","1,960",16.9,,"2,322","2,313","2,317",19.9,,"7,354","7,324","7,340",63.2,,State
"Local, total","239,168","29,055","26,231","27,253",11.4,,"16,890","15,007","15,703",57.6,,"5,095","4,566","4,752",17.4,,"7,070","6,658","6,798",24.9,,"Local, total"
Counties,"143,991","15,176","14,001","14,366",10,,"5,149","4,679","4,822",33.6,,"3,643","3,334","3,420",23.8,,"6,384","5,988","6,124",42.6,,Counties
Municipalities,"87,717","13,879","12,230","12,887",14.7,,"11,741","10,328","10,881",84.4,,"1,452","1,232","1,332",10.3,,686,670,674,5.2,,Municipalities

Texas,"1,298,198","164,641","155,803","159,095",12.3,,"65,761","61,635","63,115",39.7,,"26,392","23,558","24,420",15.3,,"72,488","70,610","71,560",45,,Texas
State,"281,722","57,560","56,739","57,172",20.3,,"4,126","4,082","4,102",7.2,,"5,595","5,478","5,571",9.7,,"47,839","47,179","47,499",83.1,,State
"Local, total","1,016,476","107,081","99,064","101,923",10,,"61,635","57,553","59,013",57.9,,"20,797","18,080","18,849",18.5,,"24,649","23,431","24,061",23.6,,"Local, total"
Counties,"127,740","56,654","53,394","54,904",43,,"16,284","15,606","15,976",29.1,,"15,721","14,357","14,867",27.1,,"24,649","23,431","24,061",43.8,,Counties
Municipalities,"174,126","50,427","45,670","47,019",27,,"45,351","41,947","43,037",91.5,,"5,076","3,723","3,982",8.5,, -   , -   , -   ,0,,Municipalities

Utah,"128,826","15,624","12,959","13,833",10.7,,"7,039","5,379","5,844",42.2,,"3,221","2,540","2,807",20.3,,"5,364","5,040","5,182",37.5,,Utah
State,"50,277","6,065","5,541","5,743",11.4,,971,891,921,16,,"1,685","1,481","1,561",27.2,,"3,409","3,169","3,261",56.8,,State
"Local, total","78,549","9,559","7,418","8,090",10.3,,"6,068","4,488","4,923",60.9,,"1,536","1,059","1,246",15.4,,"1,955","1,871","1,921",23.7,,"Local, total"
Counties,"10,681","4,633","4,094","4,267",39.9,,"1,700","1,512","1,531",35.9,,979,712,816,19.1,,"1,954","1,870","1,920",45,,Counties
Municipalities,"15,085","4,926","3,324","3,823",25.3,,"4,368","2,976","3,392",88.7,,557,347,430,11.2,,1,1,1,0,,Municipalities

Vermont,"39,683","3,738","3,242","3,381",8.5,,"1,694","1,393","1,478",43.7,,827,642,687,20.3,,"1,217","1,207","1,216",36,,Vermont
State,"14,615","2,533","2,376","2,459",16.8,,662,575,613,24.9,,654,594,630,25.6,,"1,217","1,207","1,216",49.5,,State
"Local, total","25,068","1,205",866,922,3.7,,"1,032",818,865,93.8,,173,48,57,6.2,, -   , -   , -   ,0,,"Local, total"
Counties,85,68,55,64,75.3,,23,21,22,34.4,,45,34,42,65.6,, -   , -   , -   ,0,,Counties
Municipalities,"4,901","1,137",811,858,17.5,,"1,009",797,843,98.3,,128,14,15,1.7,, -   , -   , -   ,0,,Municipalities

Virginia,"420,874","52,559","49,344","50,738",12.1,,"22,073","20,525","21,109",41.6,,"8,637","7,760","8,145",16.1,,"21,849","21,059","21,484",42.3,,Virginia
State,"122,634","21,599","20,541","21,034",17.2,,"3,159","2,904","3,019",14.4,,"3,965","3,620","3,723",17.7,,"14,475","14,017","14,292",67.9,,State
"Local, total","298,240","30,960","28,803","29,704",10,,"18,914","17,621","18,090",60.9,,"4,672","4,140","4,422",14.9,,"7,374","7,042","7,192",24.2,,"Local, total"
Counties,"192,651","17,203","15,722","16,289",8.5,,"10,240","9,349","9,648",59.2,,"2,991","2,580","2,785",17.1,,"3,972","3,793","3,856",23.7,,Counties
Municipalities,"102,805","13,757","13,081","13,415",13,,"8,674","8,272","8,442",62.9,,"1,681","1,560","1,637",12.2,,"3,402","3,249","3,336",24.9,,Municipalities

Washington,"329,534","38,322","35,186","36,206",11,,"15,700","14,436","14,778",40.8,,"8,441","7,488","7,803",21.6,,"14,181","13,262","13,625",37.6,,Washington
State,"116,943","13,451","12,723","13,101",11.2,,"2,211","2,210","2,211",16.9,,"2,009","1,837","1,927",14.7,,"9,231","8,676","8,963",68.4,,State
"Local, total","212,591","24,871","22,463","23,105",10.9,,"13,489","12,226","12,567",54.4,,"6,432","5,651","5,876",25.4,,"4,950","4,586","4,662",20.2,,"Local, total"
Counties,"39,839","14,631","13,487","13,816",34.7,,"4,891","4,591","4,670",33.8,,"5,041","4,554","4,728",34.2,,"4,699","4,342","4,418",32,,Counties
Municipalities,"41,109","10,240","8,976","9,289",22.6,,"8,598","7,635","7,897",85,,"1,391","1,097","1,148",12.4,,251,244,244,2.6,,Municipalities

West Virginia,"97,716","10,587","9,134","9,527",9.7,,"4,472","3,516","3,742",39.3,,"2,627","2,185","2,327",24.4,,"3,488","3,433","3,458",36.3,,West Virginia
State,"37,004","5,604","5,549","5,585",15.1,,"1,014",996,"1,008",18,,"1,376","1,354","1,370",24.5,,"3,214","3,199","3,207",57.4,,State
"Local, total","60,712","4,983","3,585","3,942",6.5,,"3,458","2,520","2,734",69.4,,"1,251",831,957,24.3,,274,234,251,6.4,,"Local, total"
Counties,"7,809","2,279","2,082","2,177",27.9,,"1,116","1,072","1,096",50.3,,890,776,830,38.1,,273,234,251,11.5,,Counties
Municipalities,"8,953","2,704","1,503","1,765",19.7,,"2,342","1,448","1,638",92.8,,361,55,127,7.2,,1, -   , -   ,0,,Municipalities

Wisconsin,"291,666","38,090","32,267","34,430",11.8,,"18,092","14,806","15,706",45.6,,"6,222","5,021","5,532",16.1,,"13,776","12,440","13,192",38.3,,Wisconsin
State,"68,143","12,966","11,631","12,396",18.2,,916,880,897,7.2,,"2,075","1,740","1,930",15.6,,"9,975","9,011","9,569",77.2,,State
"Local, total","223,523","25,124","20,636","22,034",9.9,,"17,176","13,926","14,809",67.2,,"4,147","3,281","3,602",16.3,,"3,801","3,429","3,623",16.4,,"Local, total"
Counties,"46,104","12,890","11,405","12,024",26.1,,"5,534","5,024","5,191",43.2,,"3,555","2,952","3,210",26.7,,"3,801","3,429","3,623",30.1,,Counties
Municipalities,"40,359","12,234","9,231","10,010",24.8,,"11,642","8,902","9,618",96.1,,592,329,392,3.9,, -   , -   , -   ,0,,Municipalities

Wyoming,"44,840","4,639","4,382","4,480",10,,"2,023","1,927","1,965",43.9,,"1,021",899,928,20.7,,"1,595","1,556","1,587",35.4,,Wyoming
State,"12,814","1,768","1,740","1,753",13.7,,264,264,264,15.1,,548,525,536,30.6,,956,951,953,54.4,,State
"Local, total","32,026","2,871","2,642","2,727",8.5,,"1,759","1,663","1,701",62.4,,473,374,392,14.4,,639,605,634,23.2,,"Local, total"
Counties,"6,800","1,737","1,624","1,673",24.6,,753,710,725,43.3,,345,309,314,18.8,,639,605,634,37.9,,Counties
Municipalities,"3,905","1,134","1,018","1,054",27,,"1,006",953,976,92.6,,128,65,78,7.4,, -   , -   , -   ,0,,Municipalities

Notes:  Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,,,,,
a/ Total full-time equivalent employment includes employment of States and all types of local governments including,,,,,,,,,,,,,,,,,,,,,,
"independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which",,,,,,,,,,,,,,,,,,,,,,
"include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,,,,,
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not,,,,,,,,,,,,,,,,,,,,,,
are not available.,,,,,,,,,,,,,,,,,,,,,,
