Bureau of Justice Statistics,,,,,,,,,,,,
Counties,"$415,732 ","$181,844 ",43.7,,"$51,847 ",28.5,,"$55,191 ",30.4,,"$74,806 ",41.1
Municipalities,"$630,772 ","$195,350 ",31,,"$181,460 ",92.9,,"$13,891 ",7.1,,$0 ,0

Utah,"$408,217 ","$47,653 ",11.7,,"$21,199 ",44.5,,"$10,542 ",22.1,,"$15,911 ",33.4
State,"$171,536 ","$19,010 ",11.1,,"$3,198 ",16.8,,"$5,912 ",31.1,,"$9,901 ",52.1
"Local, total","$236,681 ","$28,642 ",12.1,,"$18,001 ",62.8,,"$4,630 ",16.2,,"$6,011 ",21
Counties,"$33,970 ","$14,320 ",42.2,,"$5,303 ",37,,"$3,008 ",21,,"$6,009 ",42
Municipalities,"$52,832 ","$14,322 ",27.1,,"$12,699 ",88.7,,"$1,622 ",11.3,,$2 ,0

Vermont,"$132,112 ","$13,736 ",10.4,,"$6,335 ",46.1,,"$2,804 ",20.4,,"$4,597 ",33.5
State,"$58,275 ","$10,355 ",17.8,,"$3,112 ",30.1,,"$2,646 ",25.6,,"$4,597 ",44.4
"Local, total","$73,837 ","$3,381 ",4.6,,"$3,223 ",95.3,,$158 ,4.7,,$0 ,0
Counties,$248 ,$181 ,73.2,,$78 ,43.1,,$103 ,56.9,,$0 ,0
Municipalities,"$16,573 ","$3,200 ",19.3,,"$3,145 ",98.3,,$55 ,1.7,,$0 ,0

Virginia,"$1,428,629 ","$186,428 ",13,,"$86,076 ",46.2,,"$34,513 ",18.5,,"$65,839 ",35.3
State,"$453,028 ","$69,127 ",15.3,,"$12,671 ",18.3,,"$15,711 ",22.7,,"$40,745 ",58.9
"Local, total","$975,601 ","$117,301 ",12,,"$73,405 ",62.6,,"$18,802 ",16,,"$25,094 ",21.4
Counties,"$675,791 ","$68,002 ",10.1,,"$41,072 ",60.4,,"$12,014 ",17.7,,"$14,916 ",21.9
Municipalities,"$342,894 ","$49,298 ",14.4,,"$32,332 ",65.6,,"$6,788 ",13.8,,"$10,178 ",20.6

Washington,"$1,359,813 ","$168,306 ",12.4,,"$76,930 ",45.7,,"$38,166 ",22.7,,"$53,210 ",31.6
State,"$468,560 ","$53,544 ",11.4,,"$10,804 ",20.2,,"$10,243 ",19.1,,"$32,497 ",60.7
"Local, total","$891,253 ","$114,762 ",12.9,,"$66,126 ",57.6,,"$27,923 ",24.3,,"$20,713 ",18
Counties,"$173,021 ","$64,474 ",37.3,,"$23,186 ",36,,"$21,656 ",33.6,,"$19,631 ",30.4
Municipalities,"$206,614 ","$50,288 ",24.3,,"$42,940 ",85.4,,"$6,267 ",12.5,,"$1,081 ",2.2

West Virginia,"$278,590 ","$26,251 ",9.4,,"$10,863 ",41.4,,"$7,627 ",29.1,,"$7,761 ",29.6
State,"$113,385 ","$15,601 ",13.8,,"$3,298 ",21.1,,"$5,053 ",32.4,,"$7,250 ",46.5
"Local, total","$165,205 ","$10,650 ",6.4,,"$7,564 ",71,,"$2,574 ",24.2,,$512 ,4.8
Counties,"$18,922 ","$5,691 ",30.1,,"$2,875 ",50.5,,"$2,305 ",40.5,,$511 ,9
Municipalities,"$23,266 ","$4,959 ",21.3,,"$4,689 ",94.6,,$269 ,5.4,,$1 ,0

Wisconsin,"$1,093,274 ","$142,183 ",13,,"$67,563 ",47.5,,"$24,229 ",17,,"$50,392 ",35.4
State,"$283,681 ","$51,789 ",18.3,,"$3,806 ",7.3,,"$11,278 ",21.8,,"$36,705 ",70.9
"Local, total","$809,593 ","$90,395 ",11.2,,"$63,757 ",70.5,,"$12,951 ",14.3,,"$13,687 ",15.1
Counties,"$160,140 ","$46,699 ",29.2,,"$21,945 ",47,,"$11,067 ",23.7,,"$13,687 ",29.3
Municipalities,"$156,785 ","$43,696 ",27.9,,"$41,812 ",95.7,,"$1,883 ",4.3,,$0 ,0

Wyoming,"$139,223 ","$15,842 ",11.4,,"$7,500 ",47.3,,"$3,652 ",23.1,,"$4,690 ",29.6
State,"$43,116 ","$6,252 ",14.5,,"$1,192 ",19.1,,"$2,237 ",35.8,,"$2,823 ",45.2
"Local, total","$96,107 ","$9,590 ",10,,"$6,308 ",65.8,,"$1,415 ",14.8,,"$1,867 ",19.5
Counties,"$21,718 ","$5,708 ",26.3,,"$2,698 ",47.3,,"$1,144 ",20,,"$1,867 ",32.7
Municipalities,"$12,935 ","$3,882 ",30,,"$3,610 ",93,,$272 ,7,,$0 ,0

Notes: March payroll data may not sum to total because of rounding.,,,,,,,,,,,,
Local government data are estimates subject to variability.,,,,,,,,,,,,
"a/ Total March payroll includes payrolls of States and all types of local governments including independent school districts,",,,,,,,,,,,,
"which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the",,,,,,,,,,,,
" ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not,,,,,,,,,,,,
available.,,,,,,,,,,,,
