Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename:  jeeus1005.csv,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2010 (final)",,,,,,,,,,,,,,,,,,
"Series title:  Justice Expenditure and Employment Extracts 2010, NCJ 247019",,,,,,,,,,,,,,,,,,
Data source:  Justice Expenditure and Employment Extracts Program (JEE),,,,,,,,,,,,,,,,,,
Author: Tracey Kyckelhahn,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,
Date of version:  ,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2010 (final)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,Total justice system,,,,,Police protection,,,,Judicial and legal,,,,Corrections,,,
Pennsylvania,599674,87087,75391,80375,13.4,30216,23935,25987,32.3,21834,19022,20321,25.3,35037,32434,34067,42.4,Pennsylvania
State,168268,29409,27752,28568,17,6785,6404,6629,23.2,3074,3065,3072,10.8,19550,18283,18867,66,State
"Local, total",431406,57678,47639,51807,12,23431,17531,19358,37.4,18760,15957,17249,33.3,15487,14151,15200,29.3,"Local, total"
Counties,108673,31073,26024,28468,26.2,4262,3239,3679,12.9,14495,11805,12895,45.3,12316,10980,11894,41.8,Counties
Municipalities,93022,26605,21615,23339,25.1,19169,14292,15679,67.2,4265,4152,4354,18.7,3171,3171,3306,14.2,Municipalities
,,,,,,,,,,,,,,,,,,
Rhode Island,49490,5203,5054,5135,10.4,2364,2249,2315,45.1,1253,1220,1235,24.1,1586,1585,1585,30.9,Rhode Island
State,18694,3060,3039,3050,16.3,315,313,313,10.3,1159,1141,1152,37.8,1586,1585,1585,52,State
"Local, total",30796,2143,2015,2085,6.8,2049,1936,2002,96,94,79,83,4,0,0,0,0,"Local, total"
Municipalities,17547,2143,2015,2085,11.9,2049,1936,2002,96,94,79,83,4,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
South Carolina,252002,30320,28693,29432,11.7,14189,13292,13690,46.5,5053,4422,4716,16,11078,10979,11026,37.5,South Carolina
State,77083,10170,10124,10148,13.2,1938,1936,1936,19.1,782,752,768,7.6,7450,7436,7444,73.4,State
"Local, total",174919,20150,18569,19284,11,12251,11356,11754,61,4271,3670,3948,20.5,3628,3543,3582,18.6,"Local, total"
Counties,35356,14478,13200,13799,39,7073,6396,6712,48.6,3818,3299,3544,25.7,3587,3505,3543,25.7,Counties
Municipalities,20241,5672,5369,5485,27.1,5178,4960,5042,91.9,453,371,404,7.4,41,38,39,0.7,Municipalities
,,,,,,,,,,,,,,,,,,
South Dakota,46232,5004,4360,4579,9.9,2209,1939,2020,44.1,1037,870,944,20.6,1758,1551,1615,35.3,South Dakota
State,14310,1876,1745,1818,12.7,308,297,304,16.7,676,581,630,34.7,892,867,884,48.6,State
"Local, total",31922,3128,2615,2761,8.6,1901,1642,1716,62.2,361,289,314,11.4,866,684,731,26.5,"Local, total"
Counties,5059,1748,1382,1491,29.5,586,456,495,33.2,322,265,288,19.3,840,661,708,47.5,Counties
Municipalities,10669,1380,1233,1270,11.9,1315,1186,1221,96.1,39,24,26,2,26,23,23,1.8,Municipalities
,,,,,,,,,,,,,,,,,,
Tennessee,328925,40923,38597,39454,12,20250,18739,19272,48.8,7386,6940,7110,18,13287,12918,13072,33.1,Tennessee
State,82871,11128,11061,11101,13.4,1642,1631,1640,14.8,2478,2471,2473,22.3,7008,6959,6988,62.9,State
"Local, total",246054,29795,27536,28353,11.5,18608,17108,17632,62.2,4908,4469,4637,16.4,6279,5959,6084,21.5,"Local, total"
Counties,135828,14397,13486,13809,10.2,5978,5597,5727,41.5,3537,3245,3345,24.2,4882,4644,4737,34.3,Counties
Municipalities,103810,15398,14050,14544,14,12630,11511,11905,81.9,1371,1224,1292,8.9,1397,1315,1347,9.3,Municipalities
,,,,,,,,,,,,,,,,,,
Texas,1452324,179592,171661,174760,12,75210,70699,72248,41.3,27893,26193,26911,15.4,76489,74769,75601,43.3,Texas
State,317912,57483,56619,57067,18,6602,6509,6553,11.5,5758,5624,5729,10,45123,44486,44785,78.5,State
"Local, total",1134412,122109,115042,117693,10.4,68608,64190,65695,55.8,22135,20569,21182,18,31366,30283,30816,26.2,"Local, total"
Counties,167964,70036,66969,68351,40.7,20830,20028,20412,29.9,17840,16658,17123,25.1,31366,30283,30816,45.1,Counties
Municipalities,188182,52073,48073,49342,26.2,47778,44162,45283,91.8,4295,3911,4059,8.2,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Utah,141356,16103,13719,14591,10.3,7431,5707,6271,43,3156,2832,2984,20.5,5516,5180,5336,36.6,Utah
State,51291,5707,5308,5452,10.6,815,742,771,14.1,1668,1558,1597,29.3,3224,3008,3084,56.6,State
"Local, total",90065,10396,8411,9139,10.1,6616,4965,5500,60.2,1488,1274,1387,15.2,2292,2172,2252,24.6,"Local, total"
Counties,14469,5072,4539,4807,33.2,1831,1522,1648,34.3,949,845,907,18.9,2292,2172,2252,46.8,Counties
Municipalities,15108,5324,3872,4332,28.7,4785,3443,3852,88.9,539,429,480,11.1,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Vermont,40490,3095,2861,2927,7.2,1285,1103,1158,39.6,753,707,717,24.5,1057,1051,1052,35.9,Vermont
State,14408,2502,2392,2423,16.8,756,686,710,29.3,691,657,663,27.4,1055,1049,1050,43.3,State
"Local, total",26082,593,469,504,1.9,529,417,448,88.9,62,50,54,10.7,2,2,2,0.4,"Local, total"
Counties,135,67,50,56,41.5,14,9,11,19.6,53,41,45,80.4,0,0,0,0,Counties
Municipalities,3193,526,419,448,14,515,408,437,97.5,9,9,9,2,2,2,2,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Virginia,443079,56978,53529,55031,12.4,23246,21667,22351,40.6,10112,9109,9516,17.3,23620,22753,23164,42.1,Virginia
State,124709,21011,20223,20520,16.5,3034,2889,2936,14.3,3915,3552,3643,17.8,14062,13782,13941,67.9,State
"Local, total",318370,35967,33306,34511,10.8,20212,18778,19415,56.3,6197,5557,5873,17,9558,8971,9223,26.7,"Local, total"
Counties,182217,17572,16088,16737,9.2,9907,9122,9467,56.6,2955,2586,2771,16.6,4710,4380,4499,26.9,Counties
Municipalities,125067,18395,17218,17774,14.2,10305,9656,9948,56,3242,2971,3102,17.5,4848,4591,4724,26.6,Municipalities
,,,,,,,,,,,,,,,,,,
Washington,350449,39191,37030,37979,10.8,14597,14230,14380,37.9,9221,8254,8620,22.7,15373,14546,14979,39.4,Washington
State,122772,14040,13328,13737,11.2,2177,2133,2157,15.7,2062,1915,1995,14.5,9801,9280,9585,69.8,State
"Local, total",227677,25151,23702,24242,10.6,12420,12097,12223,50.4,7159,6339,6625,27.3,5572,5266,5394,22.3,"Local, total"
Counties,46188,15843,14814,15178,32.9,4632,4516,4558,30,5875,5248,5455,35.9,5336,5050,5165,34,Counties
Municipalities,44240,9308,8888,9064,20.5,7788,7581,7665,84.6,1284,1091,1170,12.9,236,216,229,2.5,Municipalities
,,,,,,,,,,,,,,,,,,
West Virginia,101724,10349,9594,9837,9.7,4111,3699,3813,38.8,2723,2432,2542,25.8,3515,3463,3482,35.4,West Virginia
State,39375,5877,5817,5846,14.8,1029,1010,1015,17.4,1506,1472,1492,25.5,3342,3335,3339,57.1,State
"Local, total",62349,4472,3777,3991,6.4,3082,2689,2798,70.1,1217,960,1050,26.3,173,128,143,3.6,"Local, total"
Counties,8562,2497,2160,2284,26.7,1259,1150,1187,52,1065,882,954,41.8,173,128,143,6.3,Counties
Municipalities,10866,1975,1617,1707,15.7,1823,1539,1611,94.4,152,78,96,5.6,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Wisconsin,286316,38974,33856,35526,12.4,17275,14520,15198,42.8,6455,5294,5719,16.1,15244,14042,14609,41.1,Wisconsin
State,72428,13707,12690,13228,18.3,911,884,896,6.8,2281,1987,2160,16.3,10515,9819,10172,76.9,State
"Local, total",213888,25267,21166,22298,10.4,16364,13636,14302,64.1,4174,3307,3559,16,4729,4223,4437,19.9,"Local, total"
Counties,67869,13996,12174,12777,18.8,5721,4996,5206,40.7,3607,2988,3176,24.9,4668,4190,4395,34.4,Counties
Municipalities,49001,11271,8992,9521,19.4,10643,8640,9096,95.5,567,319,383,4,61,33,42,0.4,Municipalities
,,,,,,,,,,,,,,,,,,
Wyoming,50813,5269,4952,5082,10,2164,2019,2062,40.6,1063,954,1012,19.9,2042,1979,2008,39.5,Wyoming
State,13577,2231,2179,2212,16.3,300,300,300,13.6,576,528,559,25.3,1355,1351,1353,61.2,State
"Local, total",37236,3038,2773,2870,7.7,1864,1719,1762,61.4,487,426,453,15.8,687,628,655,22.8,"Local, total"
Counties,9596,1728,1578,1641,17.1,673,620,638,38.9,368,330,348,21.2,687,628,655,39.9,Counties
Municipalities,5603,1310,1195,1229,21.9,1191,1099,1124,91.5,119,96,105,8.5,0,0,0,0,Municipalities
,,,,,,,,,,,,,,,,,,
Notes:  Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,
"a/ Total full-time equivalent employment includes employment of states and all types of local governments including independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,
b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,,
