Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,
filename:  cjee0405.csv,,,,,,,,,,,,,,,,,,,,,,
"table #:  5 Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2004",,,,,,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 2004, NCJ 215648",,,,,,,,,,,,,,,,,,,,,,
data source:  U.S. Bureau of the Census' Criminal Justice Expenditure and Employment Extracts Program (CJEE),,,,,,,,,,,,,,,,,,,,,,
author:  Kristen Hughes,,,,,,,,,,,,,,,,,,,,,,
refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,
date of version:  11/15/2006,,,,,,,,,,,,,,,,,,,,,,

"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,  by State and type of government, March 2004",,,,,,,,,,,,,,,,,,,,,,

,,Total justice system,,,,,,Police protection,,,,,Judicial and legal,,,,,Corrections,,,,
"Local, total","75,356","7,745","6,974","7,285",9.7,,"5,485","4,941","5,151",70.7,,438,264,330,4.5,,"1,822","1,769","1,804",24.8,,"Local, total"
Counties,"8,722","3,144","2,880","3,014",34.6,,"1,764","1,602","1,671",55.4,,105,56,86,2.9,,"1,275","1,222","1,257",41.7,,Counties
Municipalities,"16,504","4,601","4,094","4,271",25.9,,"3,721","3,339","3,480",81.5,,333,208,244,5.7,,547,547,547,12.8,,Municipalities

New York,"1,184,344","190,796","169,679","178,730",15.1,,"93,879","79,632","85,814",48,,"38,117","32,380","34,633",19.4,,"58,800","57,667","58,283",32.6,,New York
State,"246,335","62,598","61,203","62,107",25.2,,"6,372","6,215","6,299",10.1,,"22,772","21,942","22,518",36.3,,"33,454","33,046","33,290",53.6,,State
"Local, total","938,009","128,198","108,476","116,623",12.4,,"87,507","73,417","79,515",68.2,,"15,345","10,438","12,115",10.4,,"25,346","24,621","24,993",21.4,,"Local, total"
Counties,"111,382","28,926","26,412","27,661",24.8,,"13,028","11,438","12,225",44.2,,"4,185","3,773","3,991",14.4,,"11,713","11,201","11,445",41.4,,Counties
Municipalities,"510,628","99,272","82,064","88,962",17.4,,"74,479","61,979","67,290",75.6,,"11,160","6,665","8,124",9.1,,"13,633","13,420","13,548",15.2,,Municipalities

North Carolina,"453,865","55,156","52,621","53,632",11.8,,"24,294","22,830","23,306",43.5,,"6,956","6,621","6,721",12.5,,"23,906","23,170","23,605",44,,North Carolina
State,"132,035","28,884","28,174","28,529",21.6,,"3,326","3,311","3,319",11.6,,"6,069","5,870","5,921",20.8,,"19,489","18,993","19,289",67.6,,State
"Local, total","321,830","26,272","24,447","25,103",7.8,,"20,968","19,519","19,987",79.6,,887,751,800,3.2,,"4,417","4,177","4,316",17.2,,"Local, total"
Counties,"260,753","12,711","11,851","12,223",4.7,,"7,805","7,271","7,459",61,,738,636,684,5.6,,"4,168","3,944","4,080",33.4,,Counties
Municipalities,"49,462","13,561","12,596","12,880",26,,"13,163","12,248","12,528",97.3,,149,115,116,0.9,,249,233,236,1.8,,Municipalities

North Dakota,"40,986","3,746","3,035","3,197",7.8,,"1,576","1,404","1,436",44.9,,"1,176",761,818,25.6,,994,870,943,29.5,,North Dakota
State,"17,734","1,459","1,306","1,377",7.8,,208,201,204,14.8,,563,498,518,37.6,,688,607,655,47.6,,State
"Local, total","23,252","2,287","1,729","1,820",7.8,,"1,368","1,203","1,232",67.7,,613,263,300,16.5,,306,263,288,15.8,,"Local, total"
Counties,"3,958","1,155",989,"1,060",26.8,,564,508,523,49.3,,288,220,251,23.7,,303,261,286,27,,Counties
Municipalities,"3,484","1,132",740,760,21.8,,804,695,709,93.3,,325,43,49,6.4,,3,2,2,0.3,,Municipalities

Ohio,"623,085","84,271","75,362","78,411",12.6,,"37,745","31,928","33,592",42.8,,"21,614","19,033","20,174",25.7,,"24,912","24,401","24,645",31.4,,Ohio
State,"135,900","21,634","21,105","21,475",15.8,,"2,665","2,650","2,663",12.4,,"2,873","2,418","2,731",12.7,,"16,096","16,037","16,081",74.9,,State
"Local, total","487,185","62,637","54,257","56,936",11.7,,"35,080","29,278","30,929",54.3,,"18,741","16,615","17,443",30.6,,"8,816","8,364","8,564",15,,"Local, total"
Counties,"100,012","30,764","28,977","29,795",29.8,,"8,610","8,294","8,461",28.4,,"13,857","12,790","13,265",44.5,,"8,297","7,893","8,069",27.1,,Counties
Municipalities,"95,296","31,873","25,280","27,141",28.5,,"26,470","20,984","22,468",82.8,,"4,884","3,825","4,178",15.4,,519,471,495,1.8,,Municipalities

Oklahoma,"200,902","23,370","20,604","21,867",10.9,,"11,850","10,359","11,252",51.5,,"4,751","3,884","4,084",18.7,,"6,769","6,361","6,531",29.9,,Oklahoma
State,"64,057","10,231","9,730","9,949",15.5,,"1,893","1,863","1,876",18.9,,"2,661","2,453","2,564",25.8,,"5,677","5,414","5,509",55.4,,State
"Local, total","136,845","13,139","10,874","11,918",8.7,,"9,957","8,496","9,376",78.7,,"2,090","1,431","1,520",12.8,,"1,092",947,"1,022",8.6,,"Local, total"
Counties,"17,641","4,856","4,206","4,692",26.6,,"2,688","2,306","2,659",56.7,,"1,136","1,010","1,068",22.8,,"1,032",890,965,20.6,,Counties
Municipalities,"31,744","8,283","6,668","7,226",22.8,,"7,269","6,190","6,717",93,,954,421,452,6.3,,60,57,57,0.8,,Municipalities

Oregon,"179,778","22,861","20,584","21,580",12,,"9,062","8,255","8,594",39.8,,"5,005","4,184","4,533",21,,"8,794","8,145","8,453",39.2,,Oregon
State,"57,384","9,373","8,516","8,871",15.5,,"1,334","1,122","1,178",13.3,,"3,247","2,784","2,968",33.5,,"4,792","4,610","4,725",53.3,,State
"Local, total","122,394","13,488","12,068","12,709",10.4,,"7,728","7,133","7,416",58.4,,"1,758","1,400","1,565",12.3,,"4,002","3,535","3,728",29.3,,"Local, total"
Counties,"20,361","8,001","7,028","7,476",36.7,,"2,647","2,359","2,534",33.9,,"1,385","1,167","1,247",16.7,,"3,969","3,502","3,695",49.4,,Counties
Municipalities,"20,370","5,487","5,040","5,233",25.7,,"5,081","4,774","4,882",93.3,,373,233,318,6.1,,33,33,33,0.6,,Municipalities

Pennsylvania,"570,326","85,775","74,072","78,465",13.8,,"36,782","28,382","31,157",39.7,,"18,953","17,090","17,749",22.6,,"30,040","28,600","29,559",37.7,,Pennsylvania
State,"161,036","26,376","25,835","26,298",16.3,,"5,977","5,915","5,955",22.6,,"3,031","3,001","3,024",11.5,,"17,368","16,919","17,319",65.9,,State
"Local, total","409,290","59,399","48,237","52,167",12.7,,"30,805","22,467","25,202",48.3,,"15,922","14,089","14,725",28.2,,"12,672","11,681","12,240",23.5,,"Local, total"
Counties,"58,029","25,133","22,132","23,473",40.5,,"2,693","2,211","2,391",10.2,,"12,050","10,498","11,114",47.3,,"10,390","9,423","9,968",42.5,,Counties
Municipalities,"72,664","34,266","26,105","28,694",39.5,,"28,112","20,256","22,811",79.5,,"3,872","3,591","3,611",12.6,,"2,282","2,258","2,272",7.9,,Municipalities

Rhode Island,"50,513","6,176","5,798","5,951",11.8,,"3,172","2,862","2,988",50.2,,"1,284","1,221","1,247",21,,"1,720","1,715","1,716",28.8,,Rhode Island
State,"20,150","3,172","3,133","3,151",15.6,,284,281,281,8.9,,"1,168","1,137","1,154",36.6,,"1,720","1,715","1,716",54.5,,State
"Local, total","30,363","3,004","2,665","2,800",9.2,,"2,888","2,581","2,707",96.7,,116,84,93,3.3,,0,0,0,0,,"Local, total"
Municipalities,"28,031","3,004","2,665","2,800",10,,"2,888","2,581","2,707",96.7,,116,84,93,3.3,,0,0,0,0,,Municipalities

South Carolina,"243,002","29,293","27,550","28,167",11.6,,"14,156","13,378","13,683",48.6,,"4,847","3,944","4,245",15.1,,"10,290","10,228","10,239",36.4,,South Carolina
State,"75,601","11,209","11,188","11,196",14.8,,"2,959","2,950","2,953",26.4,,676,670,673,6,,"7,574","7,568","7,570",67.6,,State
"Local, total","167,401","18,084","16,362","16,971",10.1,,"11,197","10,428","10,730",63.2,,"4,171","3,274","3,572",21,,"2,716","2,660","2,669",15.7,,"Local, total"
Counties,"31,180","11,820","10,792","11,251",36.1,,"5,705","5,197","5,401",48,,"3,442","2,977","3,224",28.7,,"2,673","2,618","2,626",23.3,,Counties
Municipalities,"19,410","6,264","5,570","5,720",29.5,,"5,492","5,231","5,329",93.2,,729,297,348,6.1,,43,42,43,0.8,,Municipalities

South Dakota,"43,537","4,350","3,646","3,912",9,,"2,016","1,728","1,778",45.4,,947,737,843,21.5,,"1,387","1,181","1,291",33,,South Dakota
State,"13,189","1,744","1,466","1,640",12.4,,275,269,274,16.7,,643,491,575,35.1,,826,706,791,48.2,,State
"Local, total","30,348","2,606","2,180","2,272",7.5,,"1,741","1,459","1,504",66.2,,304,246,268,11.8,,561,475,500,22,,"Local, total"
Counties,"3,789","1,526","1,245","1,312",34.6,,710,558,581,44.3,,270,224,244,18.6,,546,463,487,37.1,,Counties
Municipalities,"5,848","1,080",935,960,16.4,,"1,031",901,923,96.1,,34,22,24,2.5,,15,12,13,1.4,,Municipalities

Tennessee,"317,496","39,036","36,568","37,509",11.8,,"19,249","17,524","18,182",48.5,,"6,670","6,209","6,371",17,,"13,117","12,835","12,956",34.5,,Tennessee
State,"81,887","10,963","10,898","10,933",13.4,,"1,956","1,955","1,956",17.9,,"2,024","2,014","2,018",18.5,,"6,983","6,929","6,959",63.7,,State
"Local, total","235,609","28,073","25,670","26,576",11.3,,"17,293","15,569","16,226",61.1,,"4,646","4,195","4,353",16.4,,"6,134","5,906","5,997",22.6,,"Local, total"
Counties,"138,196","13,915","13,100","13,420",9.7,,"5,196","4,820","4,946",36.9,,"3,311","3,085","3,193",23.8,,"5,408","5,195","5,281",39.4,,Counties
Municipalities,"88,785","14,158","12,570","13,156",14.8,,"12,097","10,749","11,280",85.7,,"1,335","1,110","1,160",8.8,,726,711,716,5.4,,Municipalities

Texas,"1,273,431","160,784","153,366","156,347",12.3,,"64,277","60,828","62,055",39.7,,"25,491","23,091","24,052",15.4,,"71,016","69,447","70,240",44.9,,Texas
State,"270,439","56,668","55,845","56,251",20.8,,"4,059","4,036","4,046",7.2,,"5,409","5,212","5,314",9.4,,"47,200","46,597","46,891",83.4,,State
"Local, total","1,002,992","104,116","97,521","100,096",10,,"60,218","56,792","58,009",58,,"20,082","17,879","18,738",18.7,,"23,816","22,850","23,349",23.3,,"Local, total"
Counties,"121,607","54,535","51,785","53,201",43.7,,"15,435","14,843","15,227",28.6,,"15,284","14,092","14,625",27.5,,"23,816","22,850","23,349",43.9,,Counties
Municipalities,"172,205","49,581","45,736","46,895",27.2,,"44,783","41,949","42,782",91.2,,"4,798","3,787","4,113",8.8,,0,0,0,0,,Municipalities

Utah,"127,563","15,009","12,466","13,259",10.4,,"6,593","5,146","5,521",41.6,,"3,238","2,511","2,759",20.8,,"5,178","4,809","4,979",37.6,,Utah
State,"48,868","5,768","5,237","5,452",11.2,,807,753,778,14.3,,"1,642","1,448","1,524",28,,"3,319","3,036","3,150",57.8,,State
"Local, total","78,695","9,241","7,229","7,807",9.9,,"5,786","4,393","4,743",60.8,,"1,596","1,063","1,235",15.8,,"1,859","1,773","1,829",23.4,,"Local, total"
Counties,"11,055","4,715","4,028","4,220",38.2,,"1,912","1,559","1,587",37.6,,945,697,805,19.1,,"1,858","1,772","1,828",43.3,,Counties
Municipalities,"14,374","4,526","3,201","3,587",25,,"3,874","2,834","3,156",88,,651,366,430,12,,1,1,1,0,,Municipalities

Vermont,"38,140","3,205","2,887","2,994",7.9,,"1,343","1,167","1,221",40.8,,746,618,661,22.1,,"1,116","1,102","1,112",37.1,,Vermont
State,"13,913","2,139","2,051","2,103",15.1,,403,380,390,18.5,,620,569,601,28.6,,"1,116","1,102","1,112",52.9,,State
"Local, total","24,227","1,066",836,891,3.7,,940,787,831,93.3,,126,49,60,6.7,,0,0,0,0,,"Local, total"
Counties,80,75,52,64,80,,15,14,15,23.4,,60,38,49,76.6,,0,0,0,0,,Counties
Municipalities,"4,534",991,784,827,18.2,,925,773,816,98.7,,66,11,11,1.3,,0,0,0,0,,Municipalities

Virginia,"410,788","50,670","47,593","48,866",11.9,,"21,015","19,630","20,129",41.2,,"8,269","7,336","7,733",15.8,,"21,386","20,627","21,004",43,,Virginia
State,"119,220","20,938","19,995","20,416",17.1,,"2,953","2,780","2,863",14,,"3,834","3,435","3,558",17.4,,"14,151","13,780","13,995",68.5,,State
"Local, total","291,568","29,732","27,598","28,450",9.8,,"18,062","16,850","17,266",60.7,,"4,435","3,901","4,175",14.7,,"7,235","6,847","7,009",24.6,,"Local, total"
Counties,"179,065","16,114","14,700","15,229",8.5,,"9,529","8,757","9,008",59.2,,"3,052","2,584","2,808",18.4,,"3,533","3,359","3,413",22.4,,Counties
Municipalities,"101,983","13,618","12,898","13,221",13,,"8,533","8,093","8,258",62.5,,"1,383","1,317","1,367",10.3,,"3,702","3,488","3,596",27.2,,Municipalities

Washington,"322,883","37,339","34,199","35,296",10.9,,"15,013","13,865","14,217",40.3,,"8,053","7,145","7,477",21.2,,"14,273","13,189","13,602",38.5,,Washington
State,"112,630","13,525","12,782","13,102",11.6,,"2,210","2,210","2,210",16.9,,"1,939","1,759","1,825",13.9,,"9,376","8,813","9,067",69.2,,State
"Local, total","210,253","23,814","21,417","22,194",10.6,,"12,803","11,655","12,007",54.1,,"6,114","5,386","5,652",25.5,,"4,897","4,376","4,535",20.4,,"Local, total"
Counties,"38,199","14,001","12,865","13,242",34.7,,"4,515","4,346","4,389",33.1,,"4,863","4,387","4,575",34.5,,"4,623","4,132","4,278",32.3,,Counties
Municipalities,"40,622","9,813","8,552","8,952",22,,"8,288","7,309","7,618",85.1,,"1,251",999,"1,077",12,,274,244,257,2.9,,Municipalities

West Virginia,"98,235","10,293","9,070","9,336",9.5,,"4,400","3,461","3,643",39,,"2,603","2,356","2,423",26,,"3,290","3,253","3,270",35,,West Virginia
State,"37,586","5,379","5,343","5,357",14.3,,975,963,966,18,,"1,360","1,346","1,351",25.2,,"3,044","3,034","3,040",56.7,,State
"Local, total","60,649","4,914","3,727","3,979",6.6,,"3,425","2,498","2,677",67.3,,"1,243","1,010","1,072",26.9,,246,219,230,5.8,,"Local, total"
Counties,"7,669","2,245","2,093","2,156",28.1,,"1,058","1,009","1,028",47.7,,942,865,898,41.7,,245,219,230,10.7,,Counties
Municipalities,"9,098","2,669","1,634","1,823",20,,"2,367","1,489","1,649",90.5,,301,145,174,9.5,,1,0,0,0,,Municipalities

Wisconsin,"287,192","38,287","33,183","35,148",12.2,,"17,777","14,948","15,771",44.9,,"6,684","5,566","6,057",17.2,,"13,826","12,669","13,320",37.9,,Wisconsin
State,"69,752","12,811","11,621","12,343",17.7,,933,910,921,7.5,,"2,100","1,838","2,018",16.3,,"9,778","8,873","9,404",76.2,,State
"Local, total","217,440","25,476","21,562","22,805",10.5,,"16,844","14,038","14,850",65.1,,"4,584","3,728","4,039",17.7,,"4,048","3,796","3,916",17.2,,"Local, total"
Counties,"47,601","13,492","12,202","12,718",26.7,,"5,501","5,020","5,184",40.8,,"3,943","3,386","3,618",28.4,,"4,048","3,796","3,916",30.8,,Counties
Municipalities,"39,528","11,984","9,360","10,087",25.5,,"11,343","9,018","9,666",95.8,,641,342,421,4.2,,0,0,0,0,,Municipalities

Wyoming,"43,538","4,364","4,113","4,191",9.6,,"1,911","1,793","1,841",43.9,,931,828,851,20.3,,"1,522","1,492","1,499",35.8,,Wyoming
State,"12,068","1,700","1,669","1,684",14,,253,253,253,15,,499,473,486,28.9,,948,943,945,56.1,,State
"Local, total","31,470","2,664","2,444","2,507",8,,"1,658","1,540","1,588",63.3,,432,355,365,14.6,,574,549,554,22.1,,"Local, total"
Counties,"5,894","1,543","1,453","1,480",25.1,,675,631,651,44,,303,282,284,19.2,,565,540,545,36.8,,Counties
Municipalities,"3,762","1,121",991,"1,027",27.3,,983,909,937,91.2,,129,73,81,7.9,,9,9,9,0.9,,Municipalities

Notes:  Local government data are estimates subject to variability.,,,,,,,,,,,,,,,,,,,,,,
a/ Total full-time equivalent employment includes employment of States and all types of local governments including,,,,,,,,,,,,,,,,,,,,,,
"independent school districts and special districts, which are not displayed separately.  The ""Local, total"" lines, which",,,,,,,,,,,,,,,,,,,,,,
"include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,,,,,,
b/ Justice system employment of independent school districts and special school districts (primarily for special police),,,,,,,,,,,,,,,,,,,,,,
are not available.,,,,,,,,,,,,,,,,,,,,,,
