Bureau of Justice Statistics,,,,,,,,,,,,,,,,,
Filename: jeee12fut05.csv,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2012",,,,,,,,,,,,,,,,,
"Series title: Justice Expenditure and Employment Extracts, 2012 - Final (Update) NCJ 250326",,,,,,,,,,,,,,,,,
Data source: Justice Expenditure and Employment Extracts Program (JEEE),,,,,,,,,,,,,,,,,
"Author: Emily D. Buehler, Ph.D., BJS Statistician",,,,,,,,,,,,,,,,,
Refer questions to: askbjs@ojp.usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,
Date of version: 7/7/2021,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Table 5. Justice system employment and percent distribution of full-time equivalent employment, by state and type of government, March 2012",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State and type of government,Total full-time equivalent employment/a,Total justice system total number of employees,Total justice system number of full-time employees only,Total justice system number of full-time equivalent employees,Total justice system full-time equivalent employees as a percent of total ,Police protection total number of employees,Police protection full-time employees only,Police protection number of full-time equivalent employees,Police protection full-time equivalent employees as a percent of total justice system,Judicial and legal total number of employees,Judicial and legal full-time employees only,Judicial and legal full-time equivalent employees,Judicial and legal full-time equivalent employees as a percent of total justice system,Corrections total number of employees,Corrections full-time employees only,Corrections full-time equivalent employees ,Corrections full-time equivalent employees as a percent of total justice system 
New York - Counties,"110,551","29,426","26,392","27,948",25.3,"13,281","11,454","12,388",44.3,"4,225","3,671","3,947",14.1,"11,920","11,267","11,613",41.6
New York - Municipalities,"464,433","83,718","77,136","79,482",17.1,"65,514","60,061","62,045",78.1,"6,902","5,841","6,166",7.8,"11,302","11,234","11,271",14.2
North Carolina - Total,"559,643","63,260","60,271","61,221",10.9,"28,815","27,012","27,696",45.2,"8,129","7,461","7,565",12.4,"26,316","25,798","25,960",42.4
North Carolina - State,"149,543","31,825","31,091","31,143",20.8,"3,713","3,660","3,669",11.8,"7,183","6,695","6,730",21.6,"20,929","20,736","20,744",66.6
"North Carolina - Local, total","410,100","31,435","29,180","30,078",7.3,"25,102","23,352","24,027",79.9,946,766,835,2.8,"5,387","5,062","5,216",17.3
North Carolina - Counties,"316,144","15,449","14,340","14,814",4.7,"9,502","8,859","9,120",61.6,791,633,696,4.7,"5,156","4,848","4,998",33.7
North Carolina - Municipalities,"58,093","15,986","14,840","15,264",26.3,"15,600","14,493","14,907",97.7,155,133,139,0.9,231,214,218,1.4
North Dakota - Total,"44,517","4,110","3,648","3,791",8.5,"1,676","1,578","1,606",42.4,"1,021",813,851,22.4,"1,413","1,257","1,334",35.2
North Dakota - State,"18,804","1,653","1,533","1,581",8.4,200,195,198,12.5,598,556,566,35.8,855,782,817,51.7
"North Dakota - Local, total","25,713","2,457","2,115","2,210",8.6,"1,476","1,383","1,408",63.7,423,257,285,12.9,558,475,517,23.4
North Dakota - Counties,"4,295","1,467","1,293","1,361",31.7,621,587,594,43.6,288,231,250,18.4,558,475,517,38
North Dakota - Municipalities,"3,918",987,822,849,21.7,855,796,814,95.9,132,26,35,4.1,0,0,0,0
Ohio - Total,"585,914","77,714","69,127","72,661",12.4,"34,068","29,065","31,057",42.7,"21,862","18,898","20,139",27.7,"21,784","21,164","21,465",29.5
Ohio - State,"136,861","19,201","18,629","18,884",13.8,"2,614","2,606","2,614",13.8,"3,342","2,805","3,031",16.1,"13,245","13,218","13,239",70.1
"Ohio - Local, total","449,053","58,513","50,498","53,777",12,"31,454","26,459","28,443",52.9,"18,520","16,093","17,108",31.8,"8,539","7,946","8,226",15.3
Ohio - Counties,"89,068","28,991","26,959","27,857",31.3,"7,590","7,182","7,362",26.4,"13,533","12,366","12,867",46.2,"7,868","7,411","7,628",27.4
Ohio - Municipalities,"76,248","27,238","21,822","23,988",31.5,"21,623","17,571","19,163",79.9,"4,944","3,716","4,228",17.6,671,535,597,2.5
Oklahoma - Total,"211,401","22,925","21,207","21,793",10.3,"11,645","10,627","11,000",50.5,"4,557","4,034","4,161",19.1,"6,723","6,546","6,632",30.4
Oklahoma - State,"65,104","9,335","9,105","9,208",14.1,"1,868","1,795","1,828",19.9,"2,693","2,591","2,633",28.6,"4,774","4,719","4,747",51.6
"Oklahoma - Local, total","146,297","13,590","12,102","12,585",8.6,"9,777","8,832","9,172",72.9,"1,864","1,443","1,528",12.1,"1,949","1,827","1,885",15
Oklahoma - Counties,"17,644","5,525","5,066","5,260",29.8,"2,576","2,336","2,438",46.3,"1,123","1,016","1,054",20,"1,826","1,714","1,768",33.6
Oklahoma - Municipalities,"32,329","8,065","7,036","7,325",22.7,"7,201","6,496","6,734",91.9,741,427,474,6.5,123,113,117,1.6
Oregon - Total,"192,550","22,906","21,337","21,996",11.4,"9,279","8,729","8,979",40.8,"4,893","4,406","4,611",21,"8,734","8,202","8,406",38.2
Oregon - State,"65,653","9,544","9,224","9,386",14.3,"1,374","1,330","1,359",14.5,"3,030","2,860","2,949",31.4,"5,140","5,034","5,078",54.1
"Oregon - Local, total","126,897","13,362","12,113","12,610",9.9,"7,905","7,399","7,620",60.4,"1,863","1,546","1,662",13.2,"3,594","3,168","3,328",26.4
Oregon - Counties,"19,755","7,901","7,041","7,412",37.5,"2,920","2,658","2,790",37.6,"1,404","1,231","1,310",17.7,"3,577","3,152","3,312",44.7
Oregon - Municipalities,"20,384","5,460","5,071","5,197",25.5,"4,985","4,741","4,830",92.9,459,315,352,6.8,16,15,15,0.3
Pennsylvania - Total,"577,900","89,353","77,366","82,109",14.2,"38,146","29,288","32,659",39.8,"18,631","17,143","17,717",21.6,"32,576","30,935","31,733",38.6
Pennsylvania - State,"161,537","28,617","27,631","28,023",17.3,"6,647","6,411","6,485",23.1,"2,963","2,959","2,960",10.6,"19,007","18,261","18,578",66.3
"Pennsylvania - Local, total","416,363","60,736","49,735","54,086",13,"31,499","22,877","26,174",48.4,"15,668","14,184","14,757",27.3,"13,569","12,674","13,155",24.3
Pennsylvania - Counties,"57,666","26,446","23,819","25,049",43.4,"3,134","2,673","2,884",11.5,"12,104","10,825","11,365",45.4,"11,208","10,321","10,800",43.1
Pennsylvania - Municipalities,"54,198","26,457","20,054","22,368",41.3,"20,607","14,347","16,636",74.4,"3,489","3,354","3,377",15.1,"2,361","2,353","2,355",10.5
Rhode Island - Total,"48,689","6,164","5,744","5,864",12,"3,320","2,966","3,068",52.3,"1,274","1,208","1,226",20.9,"1,570","1,570","1,570",26.8
Rhode Island - State,"18,705","3,068","3,051","3,062",16.4,347,345,346,11.3,"1,151","1,136","1,146",37.4,"1,570","1,570","1,570",51.3
"Rhode Island - Local, total","29,984","3,096","2,693","2,802",9.3,"2,973","2,621","2,722",97.1,123,72,80,2.9,0,0,0,0
Rhode Island - Municipalities,"14,511","1,636","1,441","1,505",10.4,"1,562","1,377","1,439",95.6,74,64,66,4.4,0,0,0,0
South Carolina - Total,"257,721","31,114","29,553","30,246",11.7,"14,337","13,504","13,866",45.8,"4,899","4,310","4,567",15.1,"11,878","11,739","11,813",39.1
South Carolina - State,"78,585","11,184","11,094","11,139",14.2,"1,968","1,955","1,965",17.6,790,774,783,7,"8,426","8,365","8,391",75.3
"South Carolina - Local, total","179,136","19,930","18,459","19,107",10.7,"12,369","11,549","11,901",62.3,"4,109","3,536","3,784",19.8,"3,452","3,374","3,422",17.9
South Carolina - Counties,"31,891","13,239","12,257","12,723",39.9,"6,331","5,831","6,049",47.5,"3,500","3,095","3,296",25.9,"3,408","3,331","3,378",26.6
South Carolina - Municipalities,"21,266","6,691","6,202","6,384",30,"6,038","5,718","5,852",91.7,609,441,488,7.6,44,43,44,0.7
South Dakota - Total,"45,040","4,767","4,192","4,423",9.8,"2,118","1,867","1,955",44.2,"1,022",853,932,21.1,"1,627","1,472","1,536",34.7
South Dakota - State,"14,401","1,891","1,747","1,823",12.7,335,324,331,18.2,677,574,625,34.3,879,849,867,47.6
"South Dakota - Local, total","30,639","2,876","2,445","2,600",8.5,"1,783","1,543","1,624",62.5,345,279,307,11.8,748,623,669,25.7
South Dakota - Counties,"4,118","1,733","1,440","1,562",37.9,703,580,631,40.4,307,259,286,18.3,723,601,645,41.3
South Dakota - Municipalities,"5,952","1,139","1,005","1,038",17.4,"1,079",963,993,95.7,35,20,21,2,25,22,24,2.3
Tennessee - Total,"324,287","40,933","38,070","39,420",12.2,"21,095","19,363","20,208",51.3,"7,657","6,882","7,195",18.3,"12,181","11,825","12,017",30.5
Tennessee - State,"80,215","10,951","10,860","10,916",13.6,"1,543","1,538","1,542",14.1,"2,481","2,446","2,457",22.5,"6,927","6,876","6,917",63.4
"Tennessee - Local, total","244,072","29,982","27,210","28,504",11.7,"19,552","17,825","18,666",65.5,"5,176","4,436","4,738",16.6,"5,254","4,949","5,100",17.9
Tennessee - Counties,"146,078","15,213","13,900","14,542",10,"7,027","6,463","6,746",46.4,"3,921","3,419","3,651",25.1,"4,265","4,018","4,145",28.5
Tennessee - Municipalities,"88,718","14,769","13,310","13,962",15.7,"12,525","11,362","11,920",85.4,"1,255","1,017","1,087",7.8,989,931,955,6.8
Texas - Total,"1,405,436","173,949","166,092","169,172",12,"75,470","71,626","73,098",43.2,"28,265","25,793","26,629",15.7,"70,214","68,673","69,445",41
Texas - State,"301,260","53,431","52,600","53,036",17.6,"6,623","6,535","6,579",12.4,"5,629","5,508","5,605",10.6,"41,179","40,557","40,852",77
"Texas - Local, total","1,104,176","120,518","113,492","116,136",10.5,"68,847","65,091","66,519",57.3,"22,636","20,285","21,024",18.1,"29,035","28,116","28,593",24.6
Texas - Counties,"143,948","66,776","63,510","64,936",45.1,"19,972","19,115","19,606",30.2,"17,769","16,279","16,737",25.8,"29,035","28,116","28,593",44
Texas - Municipalities,"181,579","53,742","49,982","51,200",28.2,"48,875","45,976","46,913",91.6,"4,867","4,006","4,287",8.4,0,0,0,0
Utah - Total,"142,018","16,081","13,576","14,577",10.3,"7,507","5,766","6,446",44.2,"3,207","2,775","2,979",20.4,"5,367","5,035","5,152",35.3
Utah - State,"53,236","5,640","5,289","5,441",10.2,843,807,820,15.1,"1,646","1,547","1,613",29.6,"3,151","2,935","3,008",55.3
"Utah - Local, total","88,782","10,441","8,287","9,136",10.3,"6,664","4,959","5,626",61.6,"1,561","1,228","1,366",15,"2,216","2,100","2,144",23.5
Utah - Counties,"14,584","5,348","4,570","5,002",34.3,"2,214","1,671","2,001",40,919,799,857,17.1,"2,215","2,100","2,144",42.9
Utah - Municipalities,"15,666","5,075","3,699","4,116",26.3,"4,432","3,270","3,607",87.6,642,429,509,12.4,1,0,0,0
Vermont - Total,"40,913","3,589","3,264","3,357",8.2,"1,736","1,457","1,539",45.8,744,703,713,21.2,"1,109","1,104","1,105",32.9
Vermont - State,"14,197","2,475","2,399","2,414",17,669,619,629,26.1,699,678,682,28.3,"1,107","1,102","1,103",45.7
"Vermont - Local, total","26,716","1,114",865,943,3.5,"1,067",838,910,96.5,45,25,31,3.3,2,2,2,0.2
Vermont - Counties,45,36,21,27,60,7,6,7,25.9,29,15,20,74.1,0,0,0,0
Vermont - Municipalities,"1,737",486,396,418,24.1,475,387,409,97.8,9,7,7,1.7,2,2,2,0.5
Virginia - Total,"452,082","56,733","53,428","54,970",12.2,"22,536","21,083","21,785",39.6,"9,278","8,212","8,628",15.7,"24,919","24,133","24,557",44.7
Virginia - State,"126,238","20,909","20,053","20,428",16.2,"3,119","2,964","3,048",14.9,"3,959","3,578","3,670",18,"13,831","13,511","13,710",67.1
"Virginia - Local, total","325,844","35,824","33,375","34,542",10.6,"19,417","18,119","18,737",54.2,"5,319","4,634","4,958",14.4,"11,088","10,622","10,847",31.4
Virginia - Counties,"198,277","17,131","15,751","16,404",8.3,"9,784","9,069","9,419",57.4,"3,223","2,786","2,992",18.2,"4,124","3,896","3,993",24.3
Virginia - Municipalities,"111,237","15,387","14,391","14,868",13.4,"9,583","9,006","9,269",62.3,"2,096","1,848","1,966",13.2,"3,708","3,537","3,633",24.4
Washington - Total,"345,447","36,244","34,655","35,284",10.2,"14,363","13,946","14,119",40,"8,333","7,587","7,891",22.4,"13,548","13,122","13,274",37.6
Washington - State,"120,886","12,892","12,517","12,642",10.5,"2,238","2,160","2,198",17.4,"1,971","1,892","1,919",15.2,"8,683","8,465","8,525",67.4
"Washington - Local, total","224,561","23,352","22,138","22,642",10.1,"12,125","11,786","11,921",52.6,"6,362","5,695","5,972",26.4,"4,865","4,657","4,749",21
Washington - Counties,"35,743","13,711","12,983","13,273",37.1,"4,178","4,071","4,106",30.9,"5,030","4,607","4,777",36,"4,503","4,305","4,390",33.1
Washington - Municipalities,"38,906","9,641","9,155","9,369",24.1,"7,947","7,715","7,815",83.4,"1,332","1,088","1,195",12.8,362,352,359,3.8
West Virginia - Total,"103,725","10,616","9,883","10,150",9.8,"4,248","3,817","3,970",39.1,"2,823","2,547","2,646",26.1,"3,545","3,519","3,534",34.8
West Virginia - State,"40,295","6,055","5,989","6,013",14.9,"1,060","1,038","1,043",17.3,"1,577","1,539","1,554",25.8,"3,418","3,412","3,416",56.8
"West Virginia - Local, total","63,430","4,561","3,894","4,137",6.5,"3,188","2,779","2,927",70.8,"1,246","1,008","1,092",26.4,127,107,118,2.9
West Virginia - Counties,"7,759","2,411","2,213","2,315",29.8,"1,218","1,166","1,188",51.3,"1,066",940,"1,009",43.6,127,107,118,5.1
West Virginia - Municipalities,"9,228","2,150","1,681","1,822",19.7,"1,970","1,613","1,739",95.4,180,68,83,4.6,0,0,0,0
Wisconsin - Total,"279,028","38,123","33,162","34,904",12.5,"17,890","14,943","15,771",45.2,"6,121","5,065","5,479",15.7,"14,112","13,154","13,654",39.1
Wisconsin - State,"70,543","13,021","12,079","12,613",17.9,765,738,757,6,"2,314","2,053","2,215",17.6,"9,942","9,288","9,641",76.4
"Wisconsin - Local, total","208,485","25,102","21,083","22,291",10.7,"17,125","14,205","15,014",67.4,"3,807","3,012","3,264",14.6,"4,170","3,866","4,013",18
Wisconsin - Counties,"40,863","12,379","11,309","11,755",28.8,"5,237","4,801","4,956",42.2,"3,031","2,673","2,828",24.1,"4,111","3,835","3,971",33.8
Wisconsin - Municipalities,"35,353","12,114","9,523","10,246",29,"11,391","9,163","9,782",95.5,667,329,422,4.1,56,31,42,0.4
Wyoming - Total,"51,290","5,247","4,947","5,069",9.9,"2,073","1,970","2,006",39.6,"1,077",942,992,19.6,"2,097","2,035","2,071",40.9
Wyoming - State,"13,672","2,242","2,194","2,219",16.2,291,291,291,13.1,572,528,551,24.8,"1,379","1,375","1,377",62.1
"Wyoming - Local, total","37,618","3,005","2,753","2,850",7.6,"1,782","1,679","1,715",60.2,505,414,441,15.5,718,660,694,24.4
Wyoming - Counties,"7,846","1,823","1,695","1,759",22.4,740,706,716,40.7,374,338,358,20.4,709,651,685,38.9
Wyoming - Municipalities,"4,124","1,173","1,049","1,082",26.2,"1,042",973,999,92.3,131,76,83,7.7,0,0,0,0
Note: March payroll data may not sum to total because of rounding. Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.,,,,,,,,,,,,,,,,,
"a/Total full-time equivalent employment includes employment of states and all types of local governments, including independent school districts and special districts, which are not displayed separately. The Local, total lines, which include these districts, will not equal the sum of the ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,,,,,
