"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,,,,,
"filename:  cjee0105.wk1",,,,,,,,,,,,,,,,,,,,,,
"Table 5.   State and local justice system employment, and percent of all employment, by State and level of government, March 2001",,,,,,,,,,,,,,,,,,,,,,
"report title:  Justice Expenditure and Employment in the United States, 2001 NCJ 202792",,,,,,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,,,,,
"author:  Lynn Bauer",,,,,,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,,,,,
"date of version:  12/19/2003",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Table 5.   State and local justice system employment, and percent of all employment, by State, March 2001",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,"Total justice system",,,,,,"Police protection",,,,,"Judicial and legal",,,,,"Corrections",,,,
,,,,,,,,,,,,,,,,,,,,,,
"North Dakota",38200,3327,2958,3084,8.1,,1558,1466,1500,48.6,,863,731,766,24.8,,906,761,818,26.5,,"North Dakota"
"State",15898,1250,1179,1198,7.5,,226,224,225,18.8,,424,392,398,33.2,,600,563,575,48.0,,"State"
"Local, total",22302,2077,1779,1886,8.5,,1332,1242,1275,67.6,,439,339,368,19.5,,306,198,243,12.9,,"Local, total"
"Counties",3835,1168,964,1043,27.2,,506,456,471,45.2,,361,310,331,31.7,,301,198,241,23.1,,"Counties"
"Municipalities",3396,909,815,843,24.8,,826,786,804,95.4,,78,29,37,4.4,,5,0,2,0.2,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Ohio",607466,87541,78446,81753,13.5,,37859,32238,34102,41.7,,21969,19157,20324,24.9,,27713,27051,27327,33.4,,"Ohio"
"State",139368,24336,23755,24150,17.3,,2705,2693,2701,11.2,,2984,2508,2827,11.7,,18647,18554,18622,77.1,,"State"
"Local, total",468098,63205,54691,57603,12.3,,35154,29545,31401,54.5,,18985,16649,17497,30.4,,9066,8497,8705,15.1,,"Local, total"
"Counties",101297,29751,27794,28648,28.3,,7669,7246,7416,25.9,,13566,12531,13020,45.4,,8516,8017,8212,28.7,,"Counties"
"Municipalities",94826,33454,26897,28955,30.5,,27485,22299,23985,82.8,,5419,4118,4477,15.5,,550,480,493,1.7,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Oklahoma",199806,23317,21301,22086,11.1,,11584,10592,11037,50.0,,4553,3895,4091,18.5,,7180,6814,6958,31.5,,"Oklahoma"
"State",64704,10682,10105,10355,16.0,,1853,1794,1819,17.6,,2709,2488,2590,25.0,,6120,5823,5946,57.4,,"State"
"Local, total",135102,12635,11196,11731,8.7,,9731,8798,9218,78.6,,1844,1407,1501,12.8,,1060,991,1012,8.6,,"Local, total"
"Counties",17942,4448,3876,4117,22.9,,2427,2018,2217,53.8,,1025,931,952,23.1,,996,927,948,23.0,,"Counties"
"Municipalities",31068,8187,7320,7614,24.5,,7304,6780,7001,91.9,,819,476,549,7.2,,64,64,64,0.8,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Oregon",179195,23348,20933,22279,12.4,,9046,8429,8704,39.1,,5297,4392,5011,22.5,,9005,8112,8564,38.4,,"Oregon"
"State",54173,9694,8725,9500,17.5,,1524,1332,1432,15.1,,3277,2736,3212,33.8,,4893,4657,4856,51.1,,"State"
"Local, total",125022,13654,12208,12779,10.2,,7522,7097,7272,56.9,,2020,1656,1799,14.1,,4112,3455,3708,29.0,,"Local, total"
"Counties",21558,8390,7304,7756,36.0,,2644,2466,2542,32.8,,1634,1383,1506,19.4,,4112,3455,3708,47.8,,"Counties"
"Municipalities",19773,5264,4904,5023,25.4,,4878,4631,4730,94.2,,386,273,293,5.8,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Pennsylvania",540326,85289,73636,77998,14.4,,37830,29084,31938,40.9,,18896,17256,17917,23.0,,28563,27296,28143,36.1,,"Pennsylvania"
"State",153818,24449,24066,24372,15.8,,5712,5654,5709,23.4,,2850,2840,2846,11.7,,15887,15572,15817,64.9,,"State"
"Local, total",386508,60840,49570,53626,13.9,,32118,23430,26229,48.9,,16046,14416,15071,28.1,,12676,11724,12326,23.0,,"Local, total"
"Counties",61743,25283,22573,23969,38.8,,2722,2295,2500,10.4,,12098,10759,11351,47.4,,10463,9519,10118,42.2,,"Counties"
"Municipalities",75765,35557,26997,29657,39.1,,29396,21135,23729,80.0,,3948,3657,3720,12.5,,2213,2205,2208,7.4,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Rhode Island",57016,6956,6391,6598,11.6,,3781,3322,3489,52.9,,1307,1222,1257,19.1,,1868,1847,1852,28.1,,"Rhode Island"
"State",20145,3347,3273,3302,16.4,,312,299,305,9.2,,1167,1127,1145,34.7,,1868,1847,1852,56.1,,"State"
"Local, total",36871,3609,3118,3296,8.9,,3469,3023,3184,96.6,,140,95,112,3.4,,0,0,0,0.0,,"Local, total"
"Municipalities",34074,3609,3118,3296,9.7,,3469,3023,3184,96.6,,140,95,112,3.4,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"South Carolina",237382,29063,27809,28514,12.0,,14069,13295,13737,48.2,,3715,3283,3523,12.4,,11279,11231,11254,39.5,,"South Carolina"
"State",81219,13175,13150,13157,16.2,,3359,3348,3351,25.5,,705,698,700,5.3,,9111,9104,9106,69.2,,"State"
"Local, total",156163,15888,14659,15357,9.8,,10710,9947,10386,67.6,,3010,2585,2823,18.4,,2168,2127,2148,14.0,,"Local, total"
"Counties",26630,9614,8907,9348,35.1,,4993,4604,4822,51.6,,2516,2231,2434,26.0,,2105,2072,2092,22.4,,"Counties"
"Municipalities",18947,6274,5752,6009,31.7,,5717,5343,5564,92.6,,494,354,389,6.5,,63,55,56,0.9,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"South Dakota",40744,4124,3624,3795,9.3,,1873,1654,1703,44.9,,850,711,762,20.1,,1401,1259,1330,35.0,,"South Dakota"
"State",13269,1751,1592,1669,12.6,,286,279,281,16.8,,571,482,519,31.1,,894,831,869,52.1,,"State"
"Local, total",27475,2373,2032,2126,7.7,,1587,1375,1422,66.9,,279,229,243,11.4,,507,428,461,21.7,,"Local, total"
"Counties",3648,1385,1168,1236,33.9,,643,542,565,45.7,,250,210,223,18.0,,492,416,448,36.2,,"Counties"
"Municipalities",5380,988,864,890,16.5,,944,833,857,96.3,,29,19,20,2.2,,15,12,13,1.5,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Tennessee",303725,36842,34332,35554,11.7,,19468,17912,18711,52.6,,5977,5346,5597,15.7,,11397,11074,11246,31.6,,"Tennessee"
"State",82681,10577,10465,10513,12.7,,1924,1918,1921,18.3,,2022,1985,1991,18.9,,6631,6562,6601,62.8,,"State"
"Local, total",221044,26265,23867,25041,11.3,,17544,15994,16790,67.1,,3955,3361,3606,14.4,,4766,4512,4645,18.5,,"Local, total"
"Counties",124897,12123,11057,11519,9.2,,5264,4794,4984,43.3,,2744,2383,2533,22.0,,4115,3880,4002,34.7,,"Counties"
"Municipalities",89025,14142,12810,13522,15.2,,12280,11200,11806,87.3,,1211,978,1073,7.9,,651,632,643,4.8,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Texas",1209402,158125,150926,153628,12.7,,62067,58684,59604,38.8,,25484,23122,24191,15.7,,70574,69120,69833,45.5,,"Texas"
"State",268637,55953,55263,55617,20.7,,3674,3640,3655,6.6,,5219,5119,5178,9.3,,47060,46504,46784,84.1,,"State"
"Local, total",940765,102172,95663,98011,10.4,,58393,55044,55949,57.1,,20265,18003,19013,19.4,,23514,22616,23049,23.5,,"Local, total"
"Counties",119483,53289,50769,51991,43.5,,14158,13864,14064,27.1,,15660,14332,14921,28.7,,23471,22573,23006,44.2,,"Counties"
"Municipalities",168364,48883,44894,46020,27.3,,44235,41180,41885,91.0,,4605,3671,4092,8.9,,43,43,43,0.1,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Utah",125971,14333,11909,12871,10.2,,6320,5053,5541,43.1,,3137,2456,2704,21.0,,4876,4400,4626,35.9,,"Utah"
"State",52070,5846,5169,5479,10.5,,794,737,763,13.9,,1744,1501,1606,29.3,,3308,2931,3110,56.8,,"State"
"Local, total",73901,8487,6740,7392,10.0,,5526,4316,4778,64.6,,1393,955,1098,14.9,,1568,1469,1516,20.5,,"Local, total"
"Counties",10252,4192,3690,3898,38.0,,1915,1602,1726,44.3,,709,619,656,16.8,,1568,1469,1516,38.9,,"Counties"
"Municipalities",13507,4295,3050,3494,25.9,,3611,2714,3052,87.3,,684,336,442,12.7,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Vermont",36969,3108,2779,2913,7.9,,1421,1191,1259,43.2,,686,604,656,22.5,,1001,984,998,34.3,,"Vermont"
"State",13666,2152,2024,2093,15.3,,524,478,489,23.4,,627,562,606,29.0,,1001,984,998,47.7,,"State"
"Local, total",23303,956,755,820,3.5,,897,713,770,93.9,,59,42,50,6.1,,0,0,0,0.0,,"Local, total"
"Counties",94,80,64,72,76.6,,29,29,29,40.3,,51,35,43,59.7,,0,0,0,0.0,,"Counties"
"Municipalities",4730,876,691,748,15.8,,868,684,741,99.1,,8,7,7,0.9,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Virginia",397418,51364,47825,49197,12.4,,20189,18599,19202,39.0,,8040,7104,7413,15.1,,23135,22122,22582,45.9,,"Virginia"
"State",123521,22371,21319,21697,17.6,,2763,2605,2678,12.3,,3804,3348,3457,15.9,,15804,15366,15562,71.7,,"State"
"Local, total",273897,28993,26506,27500,10.0,,17426,15994,16524,60.1,,4236,3756,3956,14.4,,7331,6756,7020,25.5,,"Local, total"
"Counties",157782,14721,13218,13801,8.7,,8598,7687,8021,58.1,,2770,2366,2535,18.4,,3353,3165,3245,23.5,,"Counties"
"Municipalities",104582,14272,13288,13699,13.1,,8828,8307,8503,62.1,,1466,1390,1421,10.4,,3978,3591,3775,27.6,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Washington",306774,36188,31935,34145,11.1,,14711,13791,14162,41.5,,8671,7605,8076,23.7,,12806,10539,11907,34.9,,"Washington"
"State",111132,12489,10323,11676,10.5,,2160,2159,2160,18.5,,1890,1674,1776,15.2,,8439,6490,7740,66.3,,"State"
"Local, total",195642,23699,21612,22469,11.5,,12551,11632,12002,53.4,,6781,5931,6300,28.0,,4367,4049,4167,18.5,,"Local, total"
"Counties",38074,13830,12844,13233,34.8,,4179,4095,4126,31.2,,5486,4879,5128,38.8,,4165,3870,3979,30.1,,"Counties"
"Municipalities",37407,9869,8768,9236,24.7,,8372,7537,7876,85.3,,1295,1052,1172,12.7,,202,179,188,2.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"West Virginia",96531,7998,7328,7517,7.8,,3944,3601,3720,49.5,,2407,2110,2167,28.8,,1647,1617,1630,21.7,,"West Virginia"
"State",35348,3669,3632,3652,10.3,,1042,1033,1038,28.4,,1297,1274,1287,35.2,,1330,1325,1327,36.3,,"State"
"Local, total",61183,4329,3696,3865,6.3,,2902,2568,2682,69.4,,1110,836,880,22.8,,317,292,303,7.8,,"Local, total"
"Counties",7568,2181,2060,2120,28.0,,1018,986,1008,47.5,,846,782,809,38.2,,317,292,303,14.3,,"Counties"
"Municipalities",9495,2148,1636,1745,18.4,,1884,1582,1674,95.9,,264,54,71,4.1,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Wisconsin",288027,38524,32609,34931,12.1,,17824,14772,15731,45.0,,6408,5276,5752,16.5,,14292,12561,13448,38.5,,"Wisconsin"
"State",69428,12791,11265,12145,17.5,,966,932,949,7.8,,2216,1871,2068,17.0,,9609,8462,9128,75.2,,"State"
"Local, total",218599,25733,21344,22786,10.4,,16858,13840,14782,64.9,,4192,3405,3684,16.2,,4683,4099,4320,19.0,,"Local, total"
"Counties",47849,12845,11185,11852,24.8,,4642,4020,4269,36.0,,3520,3066,3263,27.5,,4683,4099,4320,36.4,,"Counties"
"Municipalities",41071,12888,10159,10934,26.6,,12216,9820,10513,96.1,,672,339,421,3.9,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Wyoming",40301,3899,3524,3631,9.0,,1724,1596,1639,45.1,,904,673,730,20.1,,1271,1255,1262,34.8,,"Wyoming"
"State",11158,1516,1488,1500,13.4,,189,189,189,12.6,,426,402,412,27.5,,901,897,899,59.9,,"State"
"Local, total",29143,2383,2036,2131,7.3,,1535,1407,1450,68.0,,478,271,318,14.9,,370,358,363,17.0,,"Local, total"
"Counties",5566,1235,1108,1163,20.9,,575,545,555,47.7,,290,205,245,21.1,,370,358,363,31.2,,"Counties"
"Municipalities",3503,1148,928,968,27.6,,960,862,895,92.5,,188,66,73,7.5,,0,0,0,0.0,,"Municipalities"
,,,,,,,,,,,,,,,,,,,,,,
"Notes:  Local government data are estimates subject to variability. ",,,,,,,,,,,,,,,,,,,,,,
"a/Total full-time equivalent employment  includes employment of States and all types of local governments including independent school districts and special districts, ",,,,,,,,,,,,,,,,,,,,,,
"which are not displayed separately. The ""Local, Total"" lines, which include these districts, will not sum to the ""counties"" and ""Municipalities"" lines. ",,,,,,,,,,,,,,,,,,,,,,
"b/ Justice system employment of indepdndent school districts and special school districts (primarily for special police).",,,,,,,,,,,,,,,,,,,,,,
