"Bureau of Justice Statistics",,,,,,,,,,,,,
"Municipalities",$12521.17,$2313.07,18.5,,$2286.03,98.8,,$27.04,1.2,,$0.00,0.0,
,,,,,,,,,,,,,
"Virginia",$1175418.85,$154079.38,13.1,,$65113.15,42.3,,$27680.51,18.0,,$61285.72,39.8,
"State",$385895.81,$64528.52,16.7,,$9910.69,15.4,,$13803.81,21.4,,$40814.01,63.2,
"Local, total",$789523.04,$89550.87,11.3,,$55202.45,61.6,,$13876.70,15.5,,$20471.72,22.9,
"Counties",$461959.02,$47136.53,10.2,,$27754.20,58.9,,$9000.67,19.1,,$10381.65,22.0,
"Municipalities",$293063.62,$42414.34,14.5,,$27448.25,64.7,,$4876.03,11.5,,$10090.07,23.8,
,,,,,,,,,,,,,
"Washington",$1101974.23,$133868.96,12.1,,$61637.10,46.0,,$32292.41,24.1,,$39939.44,29.8,
"State",$386884.76,$42165.55,10.9,,$8867.15,21.0,,$8111.57,19.2,,$25186.83,59.7,
"Local, total",$715089.47,$91703.41,12.8,,$52769.96,57.5,,$24180.84,26.4,,$14752.61,16.1,
"Counties",$140420.64,$51050.23,36.4,,$17448.69,34.2,,$19555.95,38.3,,$14045.60,27.5,
"Municipalities",$152811.30,$40653.18,26.6,,$35321.27,86.9,,$4624.89,11.4,,$707.02,1.7,
,,,,,,,,,,,,,
"West Virginia",$251072.49,$18068.65,7.2,,$9035.42,50.0,,$5782.86,32.0,,$3250.38,18.0,
"State",$95838.23,$9447.78,9.9,,$2917.43,30.9,,$3799.17,40.2,,$2731.18,28.9,
"Local, total",$155234.26,$8620.87,5.6,,$6117.99,71.0,,$1983.69,23.0,,$519.19,6.0,
"Counties",$15004.52,$4467.59,29.8,,$2157.94,48.3,,$1790.46,40.1,,$519.19,11.6,
"Municipalities",$20944.89,$4153.28,19.8,,$3960.05,95.3,,$193.23,4.7,,$0.00,0.0,
,,,,,,,,,,,,,
"Wisconsin",$933965.42,$119752.30,12.8,,$56297.62,47.0,,$21985.84,18.4,,$41468.84,34.6,
"State",$257604.80,$43947.56,17.1,,$3529.48,8.0,,$10881.98,24.8,,$29536.10,67.2,
"Local, total",$676360.62,$75804.74,11.2,,$52768.14,69.6,,$11103.86,14.6,,$11932.74,15.7,
"Counties",$134803.35,$35966.03,26.7,,$14521.67,40.4,,$9511.62,26.4,,$11932.74,33.2,
"Municipalities",$137351.56,$39838.71,29.0,,$38246.47,96.0,,$1592.24,4.0,,$0.00,0.0,
,,,,,,,,,,,,,
"Wyoming",$105136.43,$10189.02,9.7,,$4803.21,47.1,,$2329.15,22.9,,$3056.66,30.0,
"State",$30741.59,$4175.84,13.6,,$605.92,14.5,,$1417.68,33.9,,$2152.24,51.5,
"Local, total",$74394.84,$6013.18,8.1,,$4197.29,69.8,,$911.47,15.2,,$904.42,15.0,
"Counties",$14044.54,$3052.63,21.7,,$1469.01,48.1,,$679.20,22.2,,$904.42,29.6,
"Municipalities",$9981.71,$2960.55,29.7,,$2728.27,92.2,,$232.27,7.8,,$0.00,0.0,
,,,,,,,,,,,,,
"Notes: March payroll data may not sum to total because of rounding. Local government data are estimates subject to variability. ",,,,,,,,,,,,,
"a/ Total March payroll includes payrolls of States and all types of local governments including independent school districts, which are not displayed separately.  The ""Local, total"" lines, which include these districts, will not equal the ",,,,,,,,,,,,,
" ""Counties"" and ""Municipalities"" lines.",,,,,,,,,,,,,
"b/ Justice system payrolls of independent school districts and special districts (primarily for special police forces) are not available.",,,,,,,,,,,,,
