"Bureau of Justice Statistics",,,,,,,,,,,,,,,,,,
"filename:  cjee9705.csv",,,,,,,,,,,,,,,,,,
"table 5:  Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,
"by State and level of government, March 1997",,,,,,,,,,,,,,,,,,
"series title:  Justice Expenditure and Employment Extracts 1997, NCJ 185672",,,,,,,,,,,,,,,,,,
"data source:  Criminal Justice Expenditure and Employment Extracts Program (CJEE)",,,,,,,,,,,,,,,,,,
"author:  Sidra Lea Gifford",,,,,,,,,,,,,,,,,,
"refer questions to:  askbjs@ojp.usdoj.gov (202) 307-0765",,,,,,,,,,,,,,,,,,
"date of version:  12/19/2000",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5.   Justice system employment and percent distribution of full-time equivalent employment,",,,,,,,,,,,,,,,,,,
"by State and level of government, March 1997",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"                                 Total justice system",,,,"                                 Police protection",,,,"                                   Judicial and legal",,,,"                                      Corrections",,,,
,,,,,,,,,,,,,,,,,,
,,,,,"Percent of",,,,"Percent of",,,,"Percent of",,,,"Percent of",
,,"                    Number of employees",,,"total","                    Number of employees",,,"total justice","                    Number of employees",,,"total justice","                    Number of employees",,,"total justice",
,"Total full-time",,,,"full-time",,,,"full-time",,,,"full-time",,,,"full-time",
"State and level","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent",,"Full-time","Full-time","equivalent","State and level"
"of government","employment/a","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","Total","only","equivalent","employment/b","of government"
,,,,,,,,,,,,,,,,,,
"Municipalities",2716321,653977,568506,597606,22.0,559616,488990,513500,85.9,57005,43174,47216,7.9,37356,36342,36890,6.2,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Alabama",256458,24077,22310,22954,9.0,12490,11517,11852,51.6,4766,4137,4341,18.9,6821,6656,6761,29.5,"Alabama"
"State",81089,8373,8186,8285,10.2,1276,1239,1247,15.1,2892,2760,2841,34.3,4205,4187,4197,50.7,"State"
"Local, total",175369,15704,14124,14669,8.4,11214,10278,10605,72.3,1874,1377,1500,10.2,2616,2469,2564,17.5,"Local, total"
"Counties",18120,5682,5258,5443,30.0,2305,2204,2239,41.1,1057,871,932,17.1,2320,2183,2272,41.7,"Counties"
"Municipalities",36740,10022,8866,9226,25.1,8909,8074,8366,90.7,817,506,568,6.2,296,286,292,3.2,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Alaska",45490,4309,4112,4188,9.2,1668,1565,1604,38.3,1328,1241,1275,30.4,1313,1306,1309,31.3,"Alaska"
"State",22358,2931,2840,2877,12.9,427,426,427,14.8,1230,1144,1178,40.9,1274,1270,1272,44.2,"State"
"Local, total",23132,1378,1272,1311,5.7,1241,1139,1177,89.8,98,97,97,7.4,39,36,37,2.8,"Local, total"
"Boroughs",8656,114,114,114,1.3,86,86,86,75.4,20,20,20,17.5,8,8,8,7.0,"Boroughs"
"Municipalities",14023,1264,1158,1197,8.5,1155,1053,1091,91.1,78,77,77,6.4,31,28,29,2.4,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Arizona",227574,35656,33949,34660,15.2,14881,14505,14702,42.4,8440,7562,7891,22.8,12335,11882,12067,34.8,"Arizona"
"State",62243,11129,10991,11054,17.8,1718,1705,1708,15.5,1239,1146,1190,10.8,8172,8140,8156,73.8,"State"
"Local, total",165331,24527,22958,23606,14.3,13163,12800,12994,55.0,7201,6416,6701,28.4,4163,3742,3911,16.6,"Local, total"
"Counties",27581,13626,12564,12955,47.0,3809,3749,3773,29.1,5662,5081,5279,40.7,4155,3734,3903,30.1,"Counties"
"Municipalities",34991,10901,10394,10651,30.4,9354,9051,9221,86.6,1539,1335,1422,13.4,8,8,8,0.1,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Arkansas",139367,14369,13162,13586,9.7,6968,6436,6609,48.6,2372,1809,2005,14.8,5029,4917,4972,36.6,"Arkansas"
"State",48561,4923,4902,4915,10.1,932,932,932,19.0,390,375,382,7.8,3601,3595,3601,73.3,"State"
"Local, total",90806,9446,8260,8671,9.5,6036,5504,5677,65.5,1982,1434,1623,18.7,1428,1322,1371,15.8,"Local, total"
"Counties",12739,4250,3709,3933,30.9,1607,1447,1501,38.2,1294,1017,1139,29.0,1349,1245,1293,32.9,"Counties"
"Municipalities",18178,5196,4551,4738,26.1,4429,4057,4176,88.1,688,417,484,10.2,79,77,78,1.6,"Municipalities"
,,,,,,,,,,,,,,,,,,
"California",1529599,213227,196105,204894,13.4,97665,89457,92644,45.2,40738,38167,39514,19.3,74824,68481,72736,35.5,"California"
"State",335430,61349,55878,59280,17.7,13238,12012,12337,20.8,2903,2631,2750,4.6,45208,41235,44193,74.5,"State"
"Local, total",1194169,151878,140227,145614,12.2,84427,77445,80307,55.2,37835,35536,36764,25.2,29616,27246,28543,19.6,"Local, total"
"Counties",291750,91614,85471,88426,30.3,28659,27066,27556,31.2,34698,32518,33686,38.1,28257,25887,27184,30.7,"Counties"
"Municipalities",221688,60264,54756,57188,25.8,55768,50379,52751,92.2,3137,3018,3078,5.4,1359,1359,1359,2.4,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Colorado",212578,24978,23287,23993,11.3,11750,11239,11423,47.6,5647,4637,5069,21.1,7581,7411,7501,31.3,"Colorado"
"State",59432,9013,8267,8657,14.6,1137,1123,1126,13.0,3292,2643,2980,34.4,4584,4501,4551,52.6,"State"
"Local, total",153146,15965,15020,15336,10.0,10613,10116,10297,67.1,2355,1994,2089,13.6,2997,2910,2950,19.2,"Local, total"
"Counties",21182,5918,5621,5732,27.1,2714,2552,2610,45.5,1021,967,984,17.2,2183,2102,2138,37.3,"Counties"
"Municipalities",40710,10047,9399,9604,23.6,7899,7564,7687,80.0,1334,1027,1105,11.5,814,808,812,8.5,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Connecticut",164112,22476,21006,21622,13.2,10557,9287,9762,45.1,3761,3643,3729,17.2,8158,8076,8131,37.6,"Connecticut"
"State",59774,13423,13213,13370,22.4,1697,1658,1690,12.6,3568,3479,3549,26.5,8158,8076,8131,60.8,"State"
"Local, total",104338,9053,7793,8252,7.9,8860,7629,8072,97.8,193,164,180,2.2,0,0,0,0.0,"Local, total"
"Municipalities",97436,9053,7793,8252,8.5,8860,7629,8072,97.8,193,164,180,2.2,0,0,0,0.0,"Municipalities"
,,,,,,,,,,,,,,,,,,
"Delaware",40741,5801,5298,5595,13.7,2221,1909,2113,37.8,1480,1448,1460,26.1,2100,1941,2022,36.1,"Delaware"
"State",21876,4281,4079,4185,19.1,848,822,840,20.1,1333,1316,1323,31.6,2100,1941,2022,48.3,"State"
